name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude,Report_Data_Extracted,Beds,Total_LTC_Resident_Deaths,outbreak_status,Total_LTC_Resident_Cases,Total_LTC_HCW_Cases
BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,Central,For-Profit,No,Yes,Yes,Yes, L3Z3H5,2011-01-10,40,19,8,20,8,3,14,7,4,10,7,2,bradford valley care community,1,246,Bradford West Gwillimbury,3543014,44.09967975,-79.57244678,2020-04-24,246,7,active,20,10
BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,For-Profit,No,Yes,No,Yes, N0G2W0,2010-08-24,40,15,7,18,7,2,11,4,4,13,6,1,braemar retirement centre,1,69,Morris-Turnberry,3540050,43.90065854,-81.30031372,2020-05-19,69,0,inactive,,
BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,For-Profit,No,Yes,No,Yes, N0G2W0,2010-08-24,40,15,7,18,7,2,11,4,4,13,6,1,braemar retirement centre,1,69,Morris-Turnberry,3540050,43.90065854,-81.30031372,2020-05-01,69,0,active,0,<5
BRIERWOOD GARDENS,425 Park Road North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes, N3R7G5,2010-11-08,55,15,9,20,3,1,13,5,4,26,7,4,brierwood gardens,1,79,Brantford,3529006,43.17853986,-80.24747732,2020-07-24,79,0,inactive,,
BRIERWOOD GARDENS,425 Park Road North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes, N3R7G5,2010-11-08,55,15,9,20,3,1,13,5,4,26,7,4,brierwood gardens,1,79,Brantford,3529006,43.17853986,-80.24747732,2020-07-13,79,0,active,0,<5
BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,South West,Municipal,No,Yes,No,No, N0G2V0,2010-09-08,79,28,17,33,6,2,22,6,2,14,11,9,brucelea haven long term care home - corporation of the county of bruce,1,144,Brockton,3541032,44.12121858,-81.15427199,2020-05-13,144,0,inactive,,
BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,South West,Municipal,No,Yes,No,No, N0G2V0,2010-09-08,79,28,17,33,6,2,22,6,2,14,11,9,brucelea haven long term care home - corporation of the county of bruce,1,144,Brockton,3541032,44.12121858,-81.15427199,2020-04-28,144,0,active,0,<5
BURTON MANOR,5 Sterritt Drive,Central West,For-Profit,No,Yes,Yes,Yes, L6Y5P3,2010-09-22,27,9,6,11,2,1,8,3,3,6,3,2,burton manor,1,128,Brampton,3521010,43.66143557,-79.77341911,2020-05-29,128,0,inactive,,
BURTON MANOR,5 Sterritt Drive,Central West,For-Profit,No,Yes,Yes,Yes, L6Y5P3,2010-09-22,27,9,6,11,2,1,8,3,3,6,3,2,burton manor,1,128,Brampton,3521010,43.66143557,-79.77341911,2020-04-24,128,0,active,22,8
CAMA WOODLANDS NURSING HOME,159 Panin Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No, L7P5A6,2010-12-08,18,12,4,1,1,,6,5,3,7,6,3,cama woodlands nursing home,1,134,Burlington,3524002,43.3099325,-79.86719201,2020-07-03,134,0,inactive,,
CAMA WOODLANDS NURSING HOME,159 Panin Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No, L7P5A6,2010-12-08,18,12,4,1,1,,6,5,3,7,6,3,cama woodlands nursing home,1,134,Burlington,3524002,43.3099325,-79.86719201,2020-06-10,134,0,active,0,<5
CAMILLA CARE COMMUNITY,2250 Hurontario Street,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes, L5B1M8,2010-08-17,57,29,15,27,13,7,17,6,3,9,7,4,camilla care community,1,236,Mississauga,3521005,43.57311436,-79.60700205,2020-06-09,236,68,inactive,,
CAMILLA CARE COMMUNITY,2250 Hurontario Street,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes, L5B1M8,2010-08-17,57,29,15,27,13,7,17,6,3,9,7,4,camilla care community,1,236,Mississauga,3521005,43.57311436,-79.60700205,2020-04-24,236,7,active,114,29
CAREFREE LODGE,306 Finch Avenue East,Central,Municipal,No,Yes,Yes,Yes, M2N4S5,2011-11-21,20,14,9,8,4,3,3,3,3,5,3,2,carefree lodge,1,127,Toronto,3520005,43.78501831,-79.3941154,2020-05-25,127,0,inactive,,
CAREFREE LODGE,306 Finch Avenue East,Central,Municipal,No,Yes,Yes,Yes, M2N4S5,2011-11-21,20,14,9,8,4,3,3,3,3,5,3,2,carefree lodge,1,127,Toronto,3520005,43.78501831,-79.3941154,2020-05-01,127,0,active,<5,0
CARESSANT CARE COURTLAND,4850 Hwy #59 P.O. Box 279,South West,For-Profit,No,Yes,No,Yes, N0J1E0,2010-11-30,34,13,9,11,4,4,16,5,4,3,1,,caressant care courtland,1,55,Norfolk County,3528052,42.83110128,-80.63239781,2020-05-21,55,0,inactive,,
CARESSANT CARE COURTLAND,4850 Hwy #59 P.O. Box 279,South West,For-Profit,No,Yes,No,Yes, N0J1E0,2010-11-30,34,13,9,11,4,4,16,5,4,3,1,,caressant care courtland,1,55,Norfolk County,3528052,42.83110128,-80.63239781,2020-04-26,55,0,active,0,<5
CARESSANT CARE FERGUS NURSING HOME,450 Queen Street East,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes, N1M2Y7,2010-10-04,71,48,29,26,12,7,16,11,6,27,23,14,caressant care fergus nursing home,1,87,Centre Wellington,3523025,43.70904655,-80.3698587,2020-05-06,87,0,inactive,,
CARESSANT CARE FERGUS NURSING HOME,450 Queen Street East,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes, N1M2Y7,2010-10-04,71,48,29,26,12,7,16,11,6,27,23,14,caressant care fergus nursing home,1,87,Centre Wellington,3523025,43.70904655,-80.3698587,2020-04-24,87,0,active,<5,0
CARESSANT CARE LINDSAY NURSING HOME,240 Mary Street West,Central East,For-Profit,No,Yes,No,Yes, K9V5K5,2010-08-12,51,27,14,23,9,5,17,11,6,6,4,3,caressant care lindsay nursing home,1,124,Kawartha Lakes,3516010,44.34327843,-78.75034644,2020-05-23,124,0,inactive,,
CARESSANT CARE LINDSAY NURSING HOME,240 Mary Street West,Central East,For-Profit,No,Yes,No,Yes, K9V5K5,2010-08-12,51,27,14,23,9,5,17,11,6,6,4,3,caressant care lindsay nursing home,1,124,Kawartha Lakes,3516010,44.34327843,-78.75034644,2020-05-07,124,0,active,<5,<5
CARESSANT CARE ON BONNIE PLACE,15 Bonnie Place,South West,For-Profit,No,Yes,No,Yes, N5R5T8,2010-07-08,92,39,20,33,17,5,47,15,12,14,11,8,caressant care on bonnie place,1,116,St. Thomas,3534021,42.77305945,-81.16165267,2020-05-06,116,0,inactive,,
CARESSANT CARE ON BONNIE PLACE,15 Bonnie Place,South West,For-Profit,No,Yes,No,Yes, N5R5T8,2010-07-08,92,39,20,33,17,5,47,15,12,14,11,8,caressant care on bonnie place,1,116,St. Thomas,3534021,42.77305945,-81.16165267,2020-04-24,116,0,active,0,<5
CARLETON LODGE,55 Lodge Road R. R. #2,Champlain,Municipal,No,Yes,Yes,Yes, K2C3H1,2011-09-01,29,23,10,6,4,2,16,14,6,2,1,,carleton lodge,1,161,Ottawa,3506008,45.26559733,-75.70705903,2020-07-27,161,0,active,0,<5
CARLINGVIEW MANOR,2330 Carling Avenue,Champlain,For-Profit,No,Yes,Yes,Yes, K2B7H1,2010-08-25,107,59,33,52,30,16,40,19,11,14,7,6,carlingview manor,1,303,Ottawa,3506008,45.36711344,-75.77672586,2020-06-23,303,61,inactive,,
CARLINGVIEW MANOR,2330 Carling Avenue,Champlain,For-Profit,No,Yes,Yes,Yes, K2B7H1,2010-08-25,107,59,33,52,30,16,40,19,11,14,7,6,carlingview manor,1,303,Ottawa,3506008,45.36711344,-75.77672586,2020-04-24,303,<5,active,32,5
CASE MANOR CARE COMMUNITY,28 Boyd Street P.O. Box 670,Central East,For-Profit,No,Yes,Yes,Yes, K0M1A0,2011-09-19,24,17,9,7,4,1,11,8,6,2,2,1,case manor care community,1,96,Kawartha Lakes,3516010,44.54008478,-78.54103519,2020-05-08,96,0,inactive,,
CASE MANOR CARE COMMUNITY,28 Boyd Street P.O. Box 670,Central East,For-Profit,No,Yes,Yes,Yes, K0M1A0,2011-09-19,24,17,9,7,4,1,11,8,6,2,2,1,case manor care community,1,96,Kawartha Lakes,3516010,44.54008478,-78.54103519,2020-04-27,96,0,active,6,6
CASSELLHOLME,400 Olive Street,North East,Municipal,Yes,Yes,Yes,Yes, P1B6J4,2011-04-12,49,27,18,20,9,7,18,9,8,10,8,3,cassellholme,1,240,North Bay,3548044,46.31926603,-79.44608166,2020-05-21,240,0,inactive,,
CASSELLHOLME,400 Olive Street,North East,Municipal,Yes,Yes,Yes,Yes, P1B6J4,2011-04-12,49,27,18,20,9,7,18,9,8,10,8,3,cassellholme,1,240,North Bay,3548044,46.31926603,-79.44608166,2020-05-04,240,0,active,<5,0
CASTLEVIEW WYCHWOOD TOWERS,351 Christie Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes, M6G3C3,2010-10-05,80,29,14,37,13,6,21,9,6,21,6,1,castleview wychwood towers,1,456,Toronto,3520005,43.67317759,-79.4217856,2020-05-13,456,0,inactive,,
CASTLEVIEW WYCHWOOD TOWERS,351 Christie Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes, M6G3C3,2010-10-05,80,29,14,37,13,6,21,9,6,21,6,1,castleview wychwood towers,1,456,Toronto,3520005,43.67317759,-79.4217856,2020-04-24,456,0,active,0,<5
CAWTHRA GARDENS,590 Lolita Gardens,Mississauga Halton,For-Profit,No,Yes,Yes,Yes, L5A4N8,2010-11-17,27,17,7,11,6,2,10,6,4,5,5,1,cawthra gardens,1,192,Mississauga,3521005,43.59302306,-79.60362445,2020-05-27,192,0,inactive,,
CAWTHRA GARDENS,590 Lolita Gardens,Mississauga Halton,For-Profit,No,Yes,Yes,Yes, L5A4N8,2010-11-17,27,17,7,11,6,2,10,6,4,5,5,1,cawthra gardens,1,192,Mississauga,3521005,43.59302306,-79.60362445,2020-05-13,192,0,active,0,<5
CEDARVALE TERRACE,429 Walmer Road,Toronto Central,For-Profit,Yes,Yes,Yes,Yes, M5P2X9,2010-09-02,65,25,16,40,14,10,11,6,5,16,7,6,cedarvale terrace,1,218,Toronto,3520005,43.68545859,-79.4124234,2020-05-17,218,0,inactive,,
CEDARVALE TERRACE,429 Walmer Road,Toronto Central,For-Profit,Yes,Yes,Yes,Yes, M5P2X9,2010-09-02,65,25,16,40,14,10,11,6,5,16,7,6,cedarvale terrace,1,218,Toronto,3520005,43.68545859,-79.4124234,2020-04-24,218,0,active,0,<5
CEDARWOOD VILLAGE,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes, N3Y4R4,2010-11-08,36,27,15,14,8,5,7,7,4,15,13,7,cedarwood village,1,90,Norfolk County,3528052,42.8408326,-80.32971141,2020-06-22,90,0,inactive,,
CEDARWOOD VILLAGE,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes, N3Y4R4,2010-11-08,36,27,15,14,8,5,7,7,4,15,13,7,cedarwood village,1,90,Norfolk County,3528052,42.8408326,-80.32971141,2020-05-22,90,0,active,0,<5
CENTRE D'ACCUEIL CHAMPLAIN,275 Perrier Street,Champlain,Municipal,No,Yes,Yes,Yes, K1L5C6,2010-09-09,128,92,50,34,20,6,64,42,28,22,22,12,centre d'accueil champlain,1,160,Ottawa,3506008,45.44308406,-75.66040993,2020-05-14,160,0,inactive,,
CENTRE D'ACCUEIL CHAMPLAIN,275 Perrier Street,Champlain,Municipal,No,Yes,Yes,Yes, K1L5C6,2010-09-09,128,92,50,34,20,6,64,42,28,22,22,12,centre d'accueil champlain,1,160,Ottawa,3506008,45.44308406,-75.66040993,2020-05-03,160,0,active,0,<5
CENTRE D'ACCUEIL ROGER SEGUIN,435 Lemay Street,Champlain,Non-Profit,Yes,Yes,Yes,No, K0A1N0,2011-11-01,51,30,20,8,2,,19,14,14,16,8,4,centre d'accueil roger seguin,1,113,Clarence-Rockland,3502036,45.51025689,-75.21616879,2020-05-01,113,0,inactive,,
CENTRE D'ACCUEIL ROGER SEGUIN,435 Lemay Street,Champlain,Non-Profit,Yes,Yes,Yes,No, K0A1N0,2011-11-01,51,30,20,8,2,,19,14,14,16,8,4,centre d'accueil roger seguin,1,113,Clarence-Rockland,3502036,45.51025689,-75.21616879,2020-04-24,113,0,active,0,<5
CHARTWELL AURORA LONG TERM CARE RESIDENCE,32 Mill Street,Central,For-Profit,Yes,Yes,Yes,Yes, L4G2R9,2010-08-18,30,15,10,16,7,6,7,3,3,1,,,chartwell aurora long term care residence,1,235,Aurora,3519046,43.99779774,-79.47131474,2020-05-27,235,11,inactive,,
CHARTWELL AURORA LONG TERM CARE RESIDENCE,32 Mill Street,Central,For-Profit,Yes,Yes,Yes,Yes, L4G2R9,2010-08-18,30,15,10,16,7,6,7,3,3,1,,,chartwell aurora long term care residence,1,235,Aurora,3519046,43.99779774,-79.47131474,2020-04-24,235,<5,active,25,<5
CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,70 Station Street,Central East,For-Profit,No,Yes,Yes,Yes, L1S1R9,2010-09-10,66,44,8,28,21,4,19,13,3,12,5,,chartwell ballycliffe long term care residence,1,100,Ajax,3518005,43.85095764,-79.02534179,2020-06-15,100,32,inactive,,
CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,70 Station Street,Central East,For-Profit,No,Yes,Yes,Yes, L1S1R9,2010-09-10,66,44,8,28,21,4,19,13,3,12,5,,chartwell ballycliffe long term care residence,1,100,Ajax,3518005,43.85095764,-79.02534179,2020-04-24,100,18,active,53,28
