name,address,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,last_rqi_date,first_inspection_date,last_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
BELLA SENIOR CARE RESIDENCES INC.,8720 Willoughby Drive,Hamilton Niagara Haldimand Brant (Hnhb),Bella Senior Care Residences Inc.,Extendicare (Canada) Inc.,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Niagara Falls, L2G7X3,161.0,2018-10-01,2010-09-29,2020-10-01,66.0,45.0,12.0,36.0,21.0,4.0,13.0,8.0,4.0,19.0,12.0,3.0
BELMONT HOUSE,55 Belmont Street,Toronto Central,Toronto Aged Men's And Women's Homes,,Non-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Toronto, M5R1R1,140.0,2018-01-11,2011-09-06,2020-01-08,12.0,7.0,5.0,2.0,,,4.0,2.0,2.0,2.0,2.0,2.0
BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,South East,Belcrest Nursing Homes Limited,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,,Belleville, K8P5N3,128.0,2018-01-17,2010-08-10,2020-09-02,34.0,19.0,7.0,11.0,3.0,1.0,17.0,10.0,4.0,3.0,1.0,
BELVEDERE HEIGHTS,21 Belvedere Avenue,North East,Board Of Management Of The District Of Parry Sound West,,Municipal,Home with approximately 101 beds,No,Yes,Yes,Yes,,Parry Sound, P2A2A2,101.0,2018-09-12,2010-12-07,2020-08-25,37.0,20.0,10.0,16.0,5.0,3.0,12.0,6.0,4.0,17.0,10.0,3.0
BENDALE ACRES,2920 Lawrence Avenue East,Central East,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 302 beds,Yes,Yes,Yes,Yes,"pavillon omer deslauriers, 37 beds, long term care services provided in french and english. ",Scarborough, M1P2T8,302.0,2018-05-14,2010-07-23,2020-10-28,34.0,16.0,9.0,17.0,7.0,5.0,14.0,4.0,3.0,6.0,4.0,2.0
BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,Mississauga Halton,Bennett Centre Long Term Care At Bennett Village,,Non-Profit,Home with approximately 66 beds,No,Yes,Yes,Yes,,Georgetown, L7G2B8,66.0,2017-06-01,2011-02-09,2020-07-21,24.0,14.0,6.0,9.0,3.0,2.0,9.0,4.0,3.0,6.0,6.0,3.0
BERKSHIRE CARE CENTRE,350 Dougall Avenue,Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 231 beds,No,Yes,Yes,Yes,,Windsor, N9A4P4,231.0,2018-10-03,2010-09-09,2020-10-19,168.0,68.0,21.0,95.0,33.0,8.0,61.0,24.0,10.0,12.0,6.0,2.0
BETHAMMI NURSING HOME,63 Carrie Street,North West,St. Joseph's Care Group,,Non-Profit,Home with approximately 110 beds,No,Yes,Yes,Yes,,Thunder Bay, P7A4J2,110.0,2019-04-15,2011-12-01,2020-06-17,33.0,27.0,17.0,8.0,4.0,2.0,11.0,6.0,4.0,16.0,13.0,8.0
BETHANY LODGE,23 Second Street,Central,Bethany Lodge,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,No,,Markham, L3R2C2,128.0,2018-09-28,2011-03-28,2020-07-15,15.0,11.0,3.0,2.0,,,6.0,4.0,1.0,4.0,3.0,
BILLINGS COURT MANOR,3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),Maryban Holdings Ltd.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Burlington, L7N3N6,160.0,2018-05-04,2010-08-10,2020-10-29,24.0,16.0,8.0,9.0,5.0,4.0,7.0,3.0,2.0,8.0,6.0,3.0
BIRCHWOOD TERRACE,237 Lakeview Drive R. R. #1,North West,Southbridge Capital,Extendicare Assist,For-Profit,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Kenora, P9N4J7,96.0,2018-11-14,2010-07-14,2020-11-06,53.0,31.0,14.0,20.0,10.0,5.0,21.0,9.0,5.0,24.0,17.0,6.0
BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),Blackadar Continuing Care Centre Inc.,,For-Profit,Home with approximately 80 beds,No,Yes,No,No,,Dundas, L9H3B7,80.0,2018-06-18,2010-08-24,2020-10-27,29.0,17.0,7.0,11.0,3.0,1.0,6.0,2.0,1.0,12.0,7.0,4.0
BLENHEIM COMMUNITY VILLAGE,10 Mary Avenue,Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,Home with approximately 65 beds,No,Yes,Yes,Yes,,Blenheim, N0P1A0,65.0,2018-05-24,2011-06-21,2020-10-23,33.0,11.0,5.0,8.0,3.0,1.0,16.0,4.0,3.0,4.0,,
BLOOMINGTON COVE CARE COMMUNITY,13621 Ninth  Line RR #2,Central,Specialty Care Inc.,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Stouffville, L4A7X3,112.0,2018-05-11,2010-09-10,2020-10-08,38.0,17.0,10.0,19.0,9.0,6.0,14.0,3.0,2.0,6.0,3.0,1.0
BLUE WATER REST HOME,37792 Zurich-Hensall RD,South West,Blue Water Rest Home,,Non-Profit,Home with approximately 65 beds,No,Yes,No,No,,Zurich, N0M2T0,65.0,2018-10-10,2010-10-27,2020-08-13,21.0,13.0,4.0,6.0,3.0,,9.0,5.0,3.0,1.0,1.0,
BOB RUMBALL HOME FOR THE DEAF,1 Royal Parkside Drive,North Simcoe Muskoka,The Ontario Mission Of The Deaf,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Barrie, L4M0C4,64.0,2019-01-28,2010-12-02,2020-08-26,33.0,15.0,5.0,12.0,5.0,,9.0,4.0,2.0,16.0,9.0,3.0
BOBIER VILLA,1 Bobier Lane,South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 57 beds,Yes,Yes,Yes,No,,Dutton, N0L1J0,57.0,2018-10-05,2010-11-18,2020-10-13,19.0,8.0,2.0,4.0,3.0,1.0,10.0,1.0,,,,
BON AIR LONG TERM CARE RESIDENCE,131 Laidlaw Street South,Central East,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,,Cannington, L0E1E0,57.0,2017-11-24,2010-11-24,2020-04-15,21.0,11.0,5.0,7.0,2.0,2.0,8.0,5.0,3.0,3.0,,
BONNECHERE MANOR,470 Albert Street,Champlain,County Of Renfrew,,Municipal,Home with approximately 180 beds,Yes,Yes,Yes,Yes,,Renfrew, K7V4L5,180.0,2018-09-10,2010-09-23,2020-10-29,42.0,17.0,10.0,16.0,5.0,4.0,23.0,7.0,4.0,3.0,1.0,1.0
BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,Central,Specialty Care - Bradford Inc.,,For-Profit,Home with approximately 246 beds,No,Yes,Yes,Yes,,Bradford, L3Z3H5,246.0,2018-04-09,2011-01-10,2020-10-23,39.0,18.0,7.0,21.0,8.0,3.0,15.0,6.0,3.0,12.0,7.0,2.0
BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,Macgowan Nursing Homes Ltd.,,For-Profit,Home with approximately 69 beds,No,Yes,No,Yes,,Wingham, N0G2W0,69.0,2017-08-16,2010-08-24,2020-10-23,38.0,13.0,5.0,19.0,6.0,1.0,11.0,3.0,3.0,13.0,6.0,1.0
BRIERWOOD GARDENS,425 Park Road North,Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 79 beds,No,Yes,Yes,Yes,,Brantford, N3R7G5,79.0,2018-08-20,2010-11-08,2020-10-21,53.0,13.0,7.0,20.0,2.0,,14.0,4.0,3.0,26.0,7.0,4.0
BROADVIEW NURSING CENTRE,210 Brockville Street,South East,Broadview Nursing Centre Limited,,For-Profit,Home with approximately 75 beds,No,Yes,No,No,,Smiths Falls, K7A3Z4,75.0,2018-07-18,2011-04-12,2020-08-12,31.0,18.0,10.0,14.0,7.0,5.0,11.0,7.0,4.0,3.0,1.0,1.0
BROUILLETTE MANOR,11900 Brouillette Court,Erie St. Clair,1230839 Ontario Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Tecumseh, N8N4X8,60.0,2018-08-21,2011-01-05,2020-07-08,32.0,12.0,3.0,8.0,1.0,,15.0,6.0,2.0,3.0,,
BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 144 beds,No,Yes,No,No,,Walkerton, N0G2V0,144.0,2018-01-09,2010-09-08,2020-10-07,75.0,24.0,13.0,33.0,6.0,2.0,23.0,6.0,2.0,14.0,11.0,9.0
BURLOAK,5959 New Street,Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7L6W5,144.0,2017-09-20,2010-12-01,2020-07-15,20.0,7.0,4.0,12.0,2.0,2.0,7.0,2.0,2.0,1.0,,
BURNBRAE GARDENS LONG TERM CARE RESIDENCE,320 Burnbrae Road East P.O. Box 1090,Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 43 beds,No,Yes,Yes,Yes,,Campbellford, K0L1L0,43.0,2017-07-10,2011-11-03,2020-09-18,28.0,16.0,5.0,7.0,6.0,4.0,8.0,4.0,1.0,6.0,1.0,
BURTON MANOR,5 Sterritt Drive,Central West,1245556 Ontario Inc.,Primacare Living Solutions Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Brampton, L6Y5P3,128.0,2018-01-10,2010-09-22,2020-10-29,26.0,8.0,5.0,11.0,2.0,1.0,9.0,2.0,2.0,6.0,3.0,2.0
CAMA WOODLANDS NURSING HOME,159 Panin Road,Hamilton Niagara Haldimand Brant (Hnhb),The Central Canadian District Of The Christian And Missionary Alliance In Canada,,Non-Profit,Home with approximately 134 beds,No,Yes,Yes,No,,Burlington, L7P5A6,134.0,2017-11-07,2010-12-08,2020-11-02,16.0,10.0,2.0,1.0,1.0,,7.0,3.0,1.0,8.0,4.0,1.0
CAMBRIDGE COUNTRY MANOR,3680 Speedsville Road R R 31,Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Cambridge, N3H4R6,80.0,2017-10-16,2010-09-15,2020-10-22,35.0,19.0,8.0,15.0,6.0,3.0,11.0,5.0,3.0,6.0,5.0,2.0
CAMILLA CARE COMMUNITY,2250 Hurontario Street,Mississauga Halton,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 237 beds,Yes,Yes,Yes,Yes,,Mississauga, L5B1M8,237.0,2019-03-19,2010-08-17,2020-09-29,52.0,24.0,10.0,28.0,10.0,4.0,17.0,4.0,1.0,10.0,6.0,3.0
CAREFREE LODGE,306 Finch Avenue East,Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 127 beds,No,Yes,Yes,Yes,,North York, M2N4S5,127.0,2018-11-02,2011-11-21,2020-06-22,18.0,12.0,7.0,8.0,4.0,3.0,3.0,1.0,1.0,5.0,3.0,2.0
CARESSANT CARE ARTHUR NURSING HOME,215 Eliza Street P.O. Box 700,Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Arthur, N0G1A0,80.0,2017-05-15,2010-08-31,2020-05-22,64.0,27.0,8.0,31.0,12.0,3.0,23.0,9.0,3.0,12.0,8.0,5.0
CARESSANT CARE BOURGET,2279 Laval Street P.O. Box 99,Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Bourget, K0A1E0,60.0,2018-09-26,2010-11-17,2020-01-10,114.0,54.0,22.0,52.0,24.0,12.0,30.0,12.0,8.0,22.0,6.0,
CARESSANT CARE COBDEN,12 Wren Drive P.O. Box 430,Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Cobden, K0J1K0,64.0,2017-11-30,2010-08-24,2020-10-20,22.0,10.0,4.0,5.0,2.0,1.0,12.0,4.0,3.0,2.0,1.0,
CARESSANT CARE COURTLAND,4850 Hwy #59 P.O. Box 279,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 55 beds,No,Yes,No,Yes,,Courtland, N0J1E0,55.0,2018-01-08,2010-11-30,2020-10-05,32.0,11.0,7.0,11.0,4.0,4.0,17.0,3.0,2.0,3.0,1.0,
CARESSANT CARE FERGUS NURSING HOME,450 Queen Street East,Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 87 beds,No,Yes,Yes,Yes,,Fergus, N1M2Y7,87.0,2018-02-23,2010-10-04,2020-11-04,67.0,44.0,25.0,26.0,12.0,7.0,17.0,10.0,5.0,28.0,22.0,13.0
CARESSANT CARE HARRISTON,24 Louise Street P.O. Box 520,Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Harriston, N0G1Z0,92.0,2017-11-16,2011-03-22,2020-02-03,26.0,9.0,3.0,7.0,,,13.0,5.0,3.0,2.0,1.0,
CARESSANT CARE LINDSAY NURSING HOME,240 Mary Street West,Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 124 beds,No,Yes,No,Yes,,Lindsay, K9V5K5,124.0,2019-03-22,2010-08-12,2020-10-28,48.0,24.0,11.0,24.0,8.0,4.0,17.0,9.0,4.0,6.0,4.0,3.0
CARESSANT CARE LISTOWEL NURSING HOME,710 Reserve Avenue South,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 52 beds,Yes,Yes,No,Yes,,Listowel, N4W2L1,52.0,2018-05-29,2010-11-17,2020-10-20,27.0,12.0,3.0,11.0,3.0,,8.0,2.0,1.0,5.0,4.0,1.0
CARESSANT CARE MARMORA,58 Bursthall Street P.O. Box 429,South East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Marmora, K0K2M0,84.0,2018-03-29,2010-11-16,2020-10-01,46.0,26.0,14.0,18.0,8.0,5.0,16.0,10.0,7.0,6.0,3.0,1.0
CARESSANT CARE ON BONNIE PLACE,15 Bonnie Place,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 116 beds,No,Yes,No,Yes,,St Thomas, N5R5T8,116.0,2018-05-04,2010-07-08,2020-11-12,84.0,31.0,12.0,33.0,15.0,3.0,48.0,9.0,6.0,14.0,9.0,6.0
CARESSANT CARE ON MARY BUCKE,4 Mary Bucke Street,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,St. Thomas, N5R5J6,60.0,2018-04-09,2010-08-19,2020-07-28,34.0,11.0,5.0,13.0,,,16.0,3.0,2.0,8.0,7.0,2.0
CARESSANT CARE ON MCLAUGHLIN ROAD,114 McLaughlin Road,Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,,Lindsay, K9V6L1,96.0,2018-06-29,2011-06-06,2020-08-21,38.0,18.0,5.0,13.0,8.0,3.0,14.0,4.0,1.0,8.0,4.0,
CARESSANT CARE WOODSTOCK NURSING HOME,81 Fyfe Avenue,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 163 beds,Yes,Yes,Yes,Yes,,Woodstock, N4S8Y2,163.0,2018-10-23,2010-08-25,2020-07-22,89.0,45.0,15.0,42.0,15.0,5.0,30.0,13.0,4.0,29.0,25.0,10.0
CARLETON LODGE,55 Lodge Road R. R. #2,Champlain,City Of Ottawa,,Municipal,Home with approximately 161 beds,No,Yes,Yes,Yes,,Nepean, K2C3H1,161.0,2018-08-03,2011-09-01,2020-02-25,27.0,21.0,8.0,6.0,4.0,2.0,16.0,12.0,4.0,2.0,1.0,
CARLINGVIEW MANOR,2330 Carling Avenue,Champlain,Carlingview Manor Operating Inc.,,For-Profit,Home with approximately 303 beds,No,Yes,Yes,Yes,,Ottawa, K2B7H1,303.0,2018-08-31,2010-08-25,2020-06-02,102.0,54.0,28.0,52.0,26.0,12.0,40.0,18.0,10.0,14.0,5.0,4.0
CARVETH CARE CENTRE,375 James Street,South East,Carveth Nursing Home Limited,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Gananoque, K7G2Z1,104.0,2018-05-08,2011-07-12,2020-07-24,29.0,19.0,6.0,13.0,6.0,2.0,7.0,5.0,3.0,4.0,3.0,
CASE MANOR CARE COMMUNITY,28 Boyd Street P.O. Box 670,Central East,Specialty Care Case Manor Inc.,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,,Bobcaygeon, K0M1A0,96.0,2018-05-22,2011-09-19,2020-01-17,23.0,16.0,8.0,7.0,4.0,1.0,11.0,7.0,5.0,2.0,2.0,1.0
CASSELLHOLME,400 Olive Street,North East,Board Of Management Of The District Of Nipissing East,,Municipal,Home with approximately 240 beds,Yes,Yes,Yes,Yes,,North Bay, P1B6J4,240.0,2017-03-23,2011-04-12,2020-08-06,42.0,20.0,11.0,20.0,6.0,4.0,18.0,6.0,5.0,10.0,7.0,2.0
CASTLEVIEW WYCHWOOD TOWERS,351 Christie Street,Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 456 beds,Yes,Yes,Yes,Yes,,Toronto, M6G3C3,456.0,2018-09-11,2010-10-05,2020-06-10,78.0,27.0,12.0,37.0,12.0,5.0,21.0,8.0,5.0,21.0,6.0,1.0
CAWTHRA GARDENS,590 Lolita Gardens,Mississauga Halton,Delcare Ltc Inc.,Chartwell Seniors Housing Reit,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Mississauga, L5A4N8,192.0,2018-09-06,2010-11-17,2020-01-21,26.0,16.0,6.0,11.0,6.0,2.0,10.0,5.0,3.0,5.0,5.0,1.0
CEDARVALE LODGE RETIREMENT AND CARE COMMUNITY,121 Morton Avenue,Central,Specialty Care Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Keswick, L4P2M5,60.0,2018-09-28,2011-10-24,2020-03-05,18.0,13.0,9.0,5.0,3.0,3.0,6.0,5.0,4.0,3.0,3.0,2.0
CEDARVALE TERRACE,429 Walmer Road,Toronto Central,Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership,,For-Profit,Home with approximately 218 beds,Yes,Yes,Yes,Yes,,Toronto, M5P2X9,218.0,2017-12-15,2010-09-02,2020-09-25,63.0,23.0,14.0,40.0,13.0,9.0,12.0,5.0,4.0,17.0,7.0,6.0
CEDARWOOD LODGE,860 Great Northern Road,North East,Autumnwood Mature Lifestyle Communities Inc.,Universalcare Canada Inc.,For-Profit,Home with approximately 50 beds,No,Yes,Yes,No,,Sault Ste. Marie, P6A5K7,50.0,2018-02-21,2015-06-03,2020-06-12,35.0,35.0,3.0,10.0,8.0,1.0,8.0,8.0,1.0,14.0,14.0,
CEDARWOOD VILLAGE,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),Maplewood Nursing Home Limited,,For-Profit,Home with approximately 91 beds,Yes,Yes,Yes,Yes,,Simcoe, N3Y4R4,91.0,2019-03-26,2010-11-08,2020-07-30,34.0,25.0,13.0,14.0,7.0,4.0,7.0,6.0,3.0,15.0,12.0,6.0
