name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude
ATIKOKAN GENERAL HOSPITAL,120 Dorothy Street,North West,Non-Profit,No,No,Yes,Yes,,Atikokan, P0T1C0,2011-08-16,11,7,4,1,,,2,1,1,3,2,1,atikokan general hospital,0,26,Atikokan,3559001,48.754155,-91.597609
AU CHATEAU,100 Michaud Street,North East,Municipal,Yes,Yes,Yes,No,,Sturgeon Falls, P2B2Z4,2011-02-10,47,28,13,18,9,4,14,7,4,14,12,6,au chateau,0,162,West Nipissing / Nipissing Ouest,3548055,46.37203452,-79.92058532
AVALON RETIREMENT CENTRE,355 Broadway Avenue,Central West,For-Profit,Yes,Yes,Yes,Yes,,Orangeville, L9W3Y3,2011-11-08,31,17,11,15,8,5,9,4,4,7,5,3,avalon retirement centre,1,137,Orangeville,3522014,43.9169995,-80.11650514
BABCOCK COMMUNITY CARE CENTRE,196 Wellington Street P. O. Box 190,South West,For-Profit,No,Yes,Yes,Yes,,Wardsville, N0L2N0,2010-09-17,33,18,11,6,4,3,19,9,6,3,2,1,babcock community care centre,0,60,Southwest Middlesex,3539005,42.6583997,-81.75796234
BANWELL GARDENS CARE CENTRE,3000 Banwell Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,,Tecumseh, N8N2M4,2010-10-07,74,36,16,34,23,11,31,8,3,3,3,,banwell gardens care centre,1,142,Windsor,3537039,42.31060008,-82.89979807
BARNSWALLOW PLACE CARE COMMUNITY,120 Barnswallow Drive,Waterloo Wellington,For-Profit,No,Yes,No,Yes,,Elmira, N3B2Y9,2010-09-14,18,10,4,3,1,1,10,4,3,1,1,,barnswallow place care community,0,96,Woolwich,3530035,43.59297082,-80.57796106
BAY HAVEN NURSING HOME,499 Hume Street,North Simcoe Muskoka,For-Profit,No,Yes,No,No,,Collingwood, L9Y4H8,2011-11-15,15,11,7,5,4,3,4,4,4,,,,bay haven nursing home,0,60,Collingwood,3543031,44.49946329,-80.19803202
BAY RIDGES,900 Sandy Beach Road,Central East,For-Profit,No,Yes,Yes,Yes,,Pickering, L1W1Z4,2010-09-10,56,29,15,29,14,9,19,8,4,6,6,1,bay ridges,1,124,Pickering,3518001,43.82847003,-79.0771309
BAYFIELD MANOR,100 Elvira Street P.O. Bag 3000,Champlain,For-Profit,No,Yes,Yes,No,,Kemptville, K0G1J0,2011-04-11,22,17,4,3,2,,7,7,3,5,4,,bayfield manor,0,66,North Grenville,3507065,45.01874519,-75.65323739
BAYWOODS PLACE,330 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Hamilton, L8N3T9,2010-08-05,47,18,12,23,9,7,14,5,5,7,1,,baywoods place,0,128,Hamilton,3525005,43.25176169,-79.8569424
BELLA SENIOR CARE RESIDENCES INC.,8720 Willoughby Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Niagara Falls, L2G7X3,2010-09-29,67,46,13,35,22,5,12,8,4,18,12,3,bella senior care residences,0,161,Niagara Falls,3526043,43.05084229,-79.04543772
BELMONT HOUSE,55 Belmont Street,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M5R1R1,2011-09-06,13,8,6,2,,,4,3,3,2,2,2,belmont house,1,140,Toronto,3520005,43.67461349,-79.39106979
BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,South East,For-Profit,No,Yes,No,Yes,,Belleville, K8P5N3,2010-08-10,37,22,10,11,3,1,17,13,7,3,1,,belmont long term care facility,1,128,Belleville,3512005,44.16007616,-77.40393509
BELVEDERE HEIGHTS,21 Belvedere Avenue,North East,Municipal,No,Yes,Yes,Yes,,Parry Sound, P2A2A2,2010-12-07,44,27,17,16,7,5,12,9,7,17,11,4,belvedere heights,1,101,Parry Sound,3549032,45.34272524,-80.03862375
BENDALE ACRES,2920 Lawrence Avenue East,Central East,Municipal,Yes,Yes,Yes,Yes,"pavillon omer deslauriers, 37 beds, long term care services provided in french and english. ",Scarborough, M1P2T8,2010-07-23,37,19,12,17,8,6,13,6,5,6,4,2,bendale acres,1,302,Toronto,3520005,43.75493801,-79.25183955
BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,,Georgetown, L7G2B8,2011-02-09,26,16,8,9,4,3,9,5,4,6,6,3,bennett health care centre,1,66,Halton Hills,3524015,43.64477486,-79.93394806
BERKSHIRE CARE CENTRE,350 Dougall Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N9A4P4,2010-09-09,175,75,28,94,34,9,61,28,14,12,8,4,berkshire care centre,1,231,Windsor,3537039,42.31631637,-83.04161991
BETHAMMI NURSING HOME,63 Carrie Street,North West,Non-Profit,No,Yes,Yes,Yes,,Thunder Bay, P7A4J2,2011-12-01,38,32,22,8,6,4,11,8,6,16,15,10,bethammi nursing home,0,110,Thunder Bay,3558004,48.44135877,-89.24131667
BETHANY LODGE,23 Second Street,Central,Non-Profit,No,Yes,Yes,No,,Markham, L3R2C2,2011-03-28,18,14,6,2,1,1,6,6,3,4,4,1,bethany lodge,1,128,Markham,3519036,43.86204073,-79.30139068
BILLINGS COURT MANOR,3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7N3N6,2010-08-10,26,18,10,8,5,4,6,5,4,8,7,4,billings court manor,1,160,Burlington,3524002,43.36439192,-79.78777539
BIRCHWOOD TERRACE,237 Lakeview Drive R. R. #1,North West,For-Profit,Yes,Yes,Yes,Yes,,Kenora, P9N4J7,2010-07-14,58,36,19,20,11,6,21,11,7,24,21,10,birchwood terrace,0,96,Kenora,3560010,49.76559284,-94.504978
BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,,Dundas, L9H3B7,2010-08-24,32,20,10,10,3,1,5,4,3,11,9,6,blackadar continuing care centre,1,80,Hamilton,3525005,43.26120069,-79.96830854
BLENHEIM COMMUNITY VILLAGE,10 Mary Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Blenheim, N0P1A0,2011-06-21,34,12,6,7,3,1,16,5,4,4,,,blenheim community village,0,65,Chatham-Kent,3536020,42.33971663,-81.98799919
BLOOMINGTON COVE CARE COMMUNITY,13621 Ninth  Line RR #2,Central,For-Profit,Yes,Yes,Yes,Yes,,Stouffville, L4A7X3,2010-09-10,39,18,11,18,9,6,13,4,3,6,3,1,bloomington cove care community,0,112,Whitchurch-Stouffville,3519044,44.00278365,-79.26290138
BLUE WATER REST HOME,37792 Zurich-Hensall RD,South West,Non-Profit,No,Yes,No,No,,Zurich, N0M2T0,2010-10-27,22,14,5,6,3,,9,6,4,1,1,,blue water rest home,1,65,Bluewater,3540010,43.41978964,-81.63774028
BOB RUMBALL HOME FOR THE DEAF,1 Royal Parkside Drive,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,No,,Barrie, L4M0C4,2010-12-02,36,18,8,12,5,,9,6,4,16,10,4,bob rumball home for the deaf,0,64,Barrie,3543042,44.3641363,-79.62310322
BOBIER VILLA,1 Bobier Lane,South West,Municipal,Yes,Yes,Yes,No,,Dutton, N0L1J0,2010-11-18,19,8,2,4,3,1,10,1,,,,,bobier villa,0,57,Dutton/Dunwich,3534030,42.66709281,-81.51387127
BON AIR LONG TERM CARE RESIDENCE,131 Laidlaw Street South,Central East,For-Profit,Yes,Yes,Yes,Yes,,Cannington, L0E1E0,2010-11-24,22,12,6,7,2,2,8,6,4,3,1,1,chartwell bon air long term care residence,0,57,Brock,3518039,44.34590892,-79.03751134
BONNECHERE MANOR,470 Albert Street,Champlain,Municipal,Yes,Yes,Yes,Yes,,Renfrew, K7V4L5,2010-09-23,45,20,13,15,6,5,22,9,6,3,1,1,bonnechere manor,1,180,Renfrew,3547048,45.48345932,-76.70256458
BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,Central,For-Profit,No,Yes,Yes,Yes,,Bradford, L3Z3H5,2011-01-10,40,19,8,20,8,3,14,7,4,10,7,2,bradford valley care community,1,246,Bradford West Gwillimbury,3543014,44.09967975,-79.57244678
BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,For-Profit,No,Yes,No,Yes,,Wingham, N0G2W0,2010-08-24,40,15,7,18,7,2,11,4,4,13,6,1,braemar retirement centre,1,69,Morris-Turnberry,3540050,43.90065854,-81.30031372
BRIERWOOD GARDENS,425 Park Road North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Brantford, N3R7G5,2010-11-08,55,15,9,20,3,1,13,5,4,26,7,4,brierwood gardens,1,79,Brantford,3529006,43.17853986,-80.24747732
BROADVIEW NURSING CENTRE,210 Brockville Street,South East,For-Profit,No,Yes,No,No,,Smiths Falls, K7A3Z4,2011-04-12,33,20,12,14,8,6,11,8,5,3,1,1,broadview nursing centre,0,75,Smiths Falls,3509004,44.88786035,-76.0208378
BROUILLETTE MANOR,11900 Brouillette Court,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Tecumseh, N8N4X8,2011-01-05,34,14,5,8,2,1,15,7,3,3,,,brouillette manor,0,60,Tecumseh,3537048,42.3064019,-82.8920717
BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,South West,Municipal,No,Yes,No,No,,Walkerton, N0G2V0,2010-09-08,79,28,17,33,6,2,22,6,2,14,11,9,brucelea haven long term care home - corporation of the county of bruce,1,144,Brockton,3541032,44.12121858,-81.15427199
BURLOAK,5959 New Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7L6W5,2010-12-01,24,11,8,12,4,4,7,4,4,1,1,1,burloak,0,144,Burlington,3524002,43.38147032,-79.73937757
BURNBRAE GARDENS LONG TERM CARE RESIDENCE,320 Burnbrae Road East P.O. Box 1090,Central East,For-Profit,No,Yes,Yes,Yes,,Campbellford, K0L1L0,2011-11-03,29,17,6,7,6,4,8,5,2,6,1,,burnbrae gardens long term care residence,0,43,Trent Hills,3514045,44.28480207,-77.84842135
BURTON MANOR,5 Sterritt Drive,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6Y5P3,2010-09-22,27,9,6,11,2,1,8,3,3,6,3,2,burton manor,1,128,Brampton,3521010,43.66143557,-79.77341911
CAMA WOODLANDS NURSING HOME,159 Panin Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Burlington, L7P5A6,2010-12-08,18,12,4,1,1,,6,5,3,7,6,3,cama woodlands nursing home,1,134,Burlington,3524002,43.3099325,-79.86719201
CAMBRIDGE COUNTRY MANOR,3680 Speedsville Road R R 31,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Cambridge, N3H4R6,2010-09-15,35,19,8,15,6,3,11,5,3,6,5,2,cambridge country manor,0,80,Cambridge,3530010,43.4552726,-80.3577529
CAMILLA CARE COMMUNITY,2250 Hurontario Street,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,,Mississauga, L5B1M8,2010-08-17,57,29,15,27,13,7,17,6,3,9,7,4,camilla care community,1,236,Mississauga,3521005,43.57311436,-79.60700205
CAREFREE LODGE,306 Finch Avenue East,Central,Municipal,No,Yes,Yes,Yes,,North York, M2N4S5,2011-11-21,20,14,9,8,4,3,3,3,3,5,3,2,carefree lodge,1,127,Toronto,3520005,43.78501831,-79.3941154
CARESSANT CARE ARTHUR NURSING HOME,215 Eliza Street P.O. Box 700,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Arthur, N0G1A0,2010-08-31,66,29,10,31,12,3,23,10,4,12,8,5,caressant care arthur nursing home,0,80,Wellington North,3523050,43.83174956,-80.53012776
CARESSANT CARE BOURGET,2279 Laval Street P.O. Box 99,Champlain,For-Profit,No,Yes,Yes,Yes,,Bourget, K0A1E0,2010-11-17,116,56,24,52,26,14,30,12,8,22,6,,caressant care bourget,0,60,Clarence-Rockland,3502036,45.43608988,-75.15507656
CARESSANT CARE COBDEN,12 Wren Drive P.O. Box 430,Champlain,For-Profit,No,Yes,No,Yes,,Cobden, K0J1K0,2010-08-24,22,10,4,4,2,1,12,4,3,2,1,,caressant care - cobden,0,64,Whitewater Region,3547056,45.62876664,-76.88767295
CARESSANT CARE COURTLAND,4850 Hwy #59 P.O. Box 279,South West,For-Profit,No,Yes,No,Yes,,Courtland, N0J1E0,2010-11-30,34,13,9,11,4,4,16,5,4,3,1,,caressant care courtland,1,55,Norfolk County,3528052,42.83110128,-80.63239781
CARESSANT CARE FERGUS NURSING HOME,450 Queen Street East,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Fergus, N1M2Y7,2010-10-04,71,48,29,26,12,7,16,11,6,27,23,14,caressant care fergus nursing home,1,87,Centre Wellington,3523025,43.70904655,-80.3698587
CARESSANT CARE HARRISTON,24 Louise Street P.O. Box 520,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Harriston, N0G1Z0,2011-03-22,28,11,5,7,1,1,13,5,3,2,1,,caressant care - harriston,0,92,Minto,3523043,43.91461596,-80.87806388
CARESSANT CARE LINDSAY NURSING HOME,240 Mary Street West,Central East,For-Profit,No,Yes,No,Yes,,Lindsay, K9V5K5,2010-08-12,51,27,14,23,9,5,17,11,6,6,4,3,caressant care lindsay nursing home,1,124,Kawartha Lakes,3516010,44.34327843,-78.75034644
CARESSANT CARE LISTOWEL NURSING HOME,710 Reserve Avenue South,South West,For-Profit,Yes,Yes,No,Yes,,Listowel, N4W2L1,2010-11-17,29,14,5,11,3,,7,4,3,5,4,1,caressant care listowel nursing home,0,52,North Perth,3531040,43.72273922,-80.95335159
CARESSANT CARE MARMORA,58 Bursthall Street P.O. Box 429,South East,For-Profit,No,Yes,Yes,Yes,,Marmora, K0K2M0,2010-11-16,49,29,17,18,9,6,16,12,9,6,3,1,caressant care marmora,0,84,Marmora and Lake,3512046,44.48072361,-77.67733231
CARESSANT CARE ON BONNIE PLACE,15 Bonnie Place,South West,For-Profit,No,Yes,No,Yes,,St Thomas, N5R5T8,2010-07-08,92,39,20,33,17,5,47,15,12,14,11,8,caressant care on bonnie place,1,116,St. Thomas,3534021,42.77305945,-81.16165267
CARESSANT CARE ON MARY BUCKE,4 Mary Bucke Street,South West,For-Profit,No,Yes,No,Yes,,St. Thomas, N5R5J6,2010-08-19,39,16,10,13,,,16,8,7,8,7,2,caressant care on mary bucke,0,60,St. Thomas,3534021,42.76681534,-81.16897487
CARESSANT CARE ON MCLAUGHLIN ROAD,114 McLaughlin Road,Central East,For-Profit,No,Yes,Yes,Yes,,Lindsay, K9V6L1,2011-06-06,39,19,6,13,8,3,14,5,2,8,4,,caressant care on mclaughlin road,0,96,Kawartha Lakes,3516010,44.3447647,-78.7610205
CARESSANT CARE WOODSTOCK NURSING HOME,81 Fyfe Avenue,South West,For-Profit,Yes,Yes,Yes,Yes,,Woodstock, N4S8Y2,2010-08-25,97,53,23,42,17,7,30,15,6,29,27,12,caressant care woodstock nursing home,0,163,Woodstock,3532042,43.12334673,-80.74298547
CARLETON LODGE,55 Lodge Road R. R. #2,Champlain,Municipal,No,Yes,Yes,Yes,,Nepean, K2C3H1,2011-09-01,29,23,10,6,4,2,16,14,6,2,1,,carleton lodge,1,161,Ottawa,3506008,45.26559733,-75.70705903
CARLINGVIEW MANOR,2330 Carling Avenue,Champlain,For-Profit,No,Yes,Yes,Yes,,Ottawa, K2B7H1,2010-08-25,107,59,33,52,30,16,40,19,11,14,7,6,carlingview manor,1,303,Ottawa,3506008,45.36711344,-75.77672586
CARVETH CARE CENTRE,375 James Street,South East,For-Profit,No,Yes,Yes,Yes,,Gananoque, K7G2Z1,2011-07-12,31,21,8,13,7,3,7,6,4,4,3,,carveth care centre,0,104,Gananoque,3507024,44.33633895,-76.1592067
CASE MANOR CARE COMMUNITY,28 Boyd Street P.O. Box 670,Central East,For-Profit,No,Yes,Yes,Yes,,Bobcaygeon, K0M1A0,2011-09-19,24,17,9,7,4,1,11,8,6,2,2,1,case manor care community,1,96,Kawartha Lakes,3516010,44.54008478,-78.54103519
CASSELLHOLME,400 Olive Street,North East,Municipal,Yes,Yes,Yes,Yes,,North Bay, P1B6J4,2011-04-12,49,27,18,20,9,7,18,9,8,10,8,3,cassellholme,1,240,North Bay,3548044,46.31926603,-79.44608166
CASTLEVIEW WYCHWOOD TOWERS,351 Christie Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,,Toronto, M6G3C3,2010-10-05,80,29,14,37,13,6,21,9,6,21,6,1,castleview wychwood towers,1,456,Toronto,3520005,43.67317759,-79.4217856
CAWTHRA GARDENS,590 Lolita Gardens,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5A4N8,2010-11-17,27,17,7,11,6,2,10,6,4,5,5,1,cawthra gardens,1,192,Mississauga,3521005,43.59302306,-79.60362445
CEDARVALE LODGE RETIREMENT AND CARE COMMUNITY,121 Morton Avenue,Central,For-Profit,No,Yes,Yes,Yes,,Keswick, L4P2M5,2011-10-24,19,14,10,5,3,3,6,5,4,3,3,2,cedarvale lodge retirement and care community,0,60,Georgina,3519070,44.232338,-79.456847
CEDARVALE TERRACE,429 Walmer Road,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M5P2X9,2010-09-02,65,25,16,40,14,10,11,6,5,16,7,6,cedarvale terrace,1,218,Toronto,3520005,43.68545859,-79.4124234
CEDARWOOD LODGE,860 Great Northern Road,North East,For-Profit,No,Yes,Yes,No,,Sault Ste. Marie, P6A5K7,2015-06-03,38,38,6,10,10,3,8,8,1,14,14,,cedarwood lodge,0,50,Sault Ste. Marie,3557061,46.55200831,-84.31955276
CEDARWOOD VILLAGE,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Simcoe, N3Y4R4,2010-11-08,36,27,15,14,8,5,7,7,4,15,13,7,cedarwood village,1,90,Norfolk County,3528052,42.8408326,-80.32971141
CENTENNIAL PLACE LONG-TERM CARE HOME,2 Centennial Lane North,Central East,For-Profit,No,Yes,No,Yes,,Millbrook, L0A1G0,2011-08-04,30,20,8,9,5,3,12,8,3,5,4,2,centennial place long-term care home,0,128,Cavan Monaghan,3515013,44.1562909,-78.4477515
CENTRE D'ACCUEIL CHAMPLAIN,275 Perrier Street,Champlain,Municipal,No,Yes,Yes,Yes,,Vanier, K1L5C6,2010-09-09,128,92,50,34,20,6,64,42,28,22,22,12,centre d'accueil champlain,1,160,Ottawa,3506008,45.44308406,-75.66040993
CENTRE D'ACCUEIL ROGER SEGUIN,435 Lemay Street,Champlain,Non-Profit,Yes,Yes,Yes,No,,Clarence Creek, K0A1N0,2011-11-01,51,30,20,8,2,,19,14,14,16,8,4,centre d'accueil roger seguin,1,113,Clarence-Rockland,3502036,45.51025689,-75.21616879
CHAMPLAIN LONG TERM CARE RESIDENCE,428 Front Road West,Champlain,For-Profit,No,Yes,Yes,Yes,,L'Orignal, K0B1K0,2011-10-25,30,19,10,2,,,11,8,6,6,4,2,chartwell champlain long term care residence,0,60,Champlain,3502010,45.62972163,-74.67048831
CHARTWELL AURORA LONG TERM CARE RESIDENCE,32 Mill Street,Central,For-Profit,Yes,Yes,Yes,Yes,,Aurora, L4G2R9,2010-08-18,30,15,10,16,7,6,7,3,3,1,,,chartwell aurora long term care residence,1,235,Aurora,3519046,43.99779774,-79.47131474
CHARTWELL AYLMER LONG TERM CARE RESIDENCE,465 Talbot Street West,South West,For-Profit,No,Yes,No,Yes,,Aylmer, N5H1K8,2010-09-27,30,10,5,4,1,1,16,3,1,4,2,1,chartwell aylmer long term care residence,0,64,Aylmer,3534011,42.77395085,-80.99760032
CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,70 Station Street,Central East,For-Profit,No,Yes,Yes,Yes,,Ajax, L1S1R9,2010-09-10,66,44,8,28,21,4,19,13,3,12,5,,chartwell ballycliffe long term care residence,1,100,Ajax,3518005,43.85095764,-79.02534179
CHARTWELL BRANT CENTRE LONG TERM CARE RESIDENCE,1182 Northshore Blvd. East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7S1C5,2010-10-05,43,14,7,21,7,4,16,3,3,2,1,,chartwell brant centre long term care residence,1,175,Burlington,3524002,43.31651571,-79.80381069
CHARTWELL ELMIRA LONG TERM CARE RESIDENCE,11 Herbert Street,Waterloo Wellington,For-Profit,No,Yes,No,Yes,,Elmira, N3B2B8,2011-10-13,18,10,5,1,1,1,10,5,3,2,1,1,chartwell elmira long term care residence,1,48,Woolwich,3530035,43.60150562,-80.56368125
CHARTWELL GIBSON LONG TERM CARE RESIDENCE,1925 Steeles Avenue East,Central,For-Profit,No,Yes,No,Yes,,North York, M2H2H3,2010-12-13,58,11,6,20,2,1,21,4,4,9,1,,chartwell gibson long term care residence,1,202,Toronto,3520005,43.80765981,-79.37379369
CHARTWELL LONDON LONG TERM CARE RESIDENCE,2000 Blackwater Road,South West,For-Profit,No,Yes,No,Yes,,London, N5X4K6,2010-07-20,45,21,10,10,6,2,28,11,7,1,,,chartwell london long term care residence,0,95,London,3539036,43.04406869,-81.26074922
CHARTWELL PARKHILL LONG TERM CARE RESIDENCE,250 Tain Street P.O. Box 129,South West,For-Profit,No,Yes,No,Yes,,Parkhill, N0M2K0,2010-10-19,23,16,12,6,5,4,7,4,3,4,3,3,chartwell parkhill long term care residence,0,59,North Middlesex,3539041,43.15701009,-81.68166257
CHARTWELL PINE GROVE LONG TERM CARE RESIDENCE,8403 Islington Avenue North,Central West,For-Profit,Yes,Yes,Yes,Yes,,Woodbridge, L4L1X3,2011-07-25,16,11,6,6,1,1,4,4,3,1,1,1,chartwell pine grove long term care residence,1,96,Vaughan,3519028,43.797729,-79.58431476
CHARTWELL ROYAL OAK LONG TERM CARE RESIDENCE,1750 Division Road North,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Kingsville, N9Y4G7,2010-08-23,78,46,20,38,20,8,32,19,10,5,5,3,chartwell royal oak long term care residence,1,160,Kingsville,3537013,42.0501946,-82.7375796
CHARTWELL TRILOGY LONG TERM CARE RESIDENCE,340 McCowan Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1J3P4,2011-06-15,33,21,11,12,7,5,15,9,4,4,4,2,chartwell trilogy long term care residence,1,197,Toronto,3520005,43.73848531,-79.23864245
CHARTWELL WATERFORD LONG TERM CARE RESIDENCE,2140 Baronwood Drive,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Oakville, L6M4V6,2010-08-24,42,21,11,18,9,5,12,5,4,9,5,1,chartwell waterford long term care residence,1,168,Oakville,3524001,43.42715623,-79.76303438
CHARTWELL WENLEIGH LONG TERM CARE RESIDENCE,2065 Leanne Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5K2L6,2010-11-16,27,13,7,13,5,3,8,4,3,2,2,,chartwell wenleigh long term care residence,1,161,Mississauga,3521005,43.52485635,-79.65178876
CHARTWELL WESTBURY LONG TERM CARE RESIDENCE,495 The West Mall,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Etobicoke, M9C5S3,2010-10-28,22,14,5,11,7,2,4,3,3,2,,,chartwell westbury long term care residence,1,187,Toronto,3520005,43.64832328,-79.56767874
CHARTWELL WESTMOUNT LONG TERM CARE RESIDENCE,200 David Bergey Drive,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Kitchener, N2E3Y4,2010-08-23,45,20,10,18,9,4,21,6,4,3,3,2,chartwell westmount long term care residence,1,160,Kitchener,3530013,43.40613299,-80.51775782
