outbreak,cleaned_name,name,address,city,postal_code,LHIN,home_type,number_beds,short_stay,residents_council,family_council,accreditation,antipsychotic_percent,pressure_ulcers_percent,falls_percent,restraints_percent,depression_percent,pain_percent,first_inspection_date,last_inspection_date,last_rqi_date,3y_inspections,2y_inspections,1y_inspections,3y_withOrders,2y_withOrders,1y_withOrders,cum_resident_deaths,max_resident_cases,max_hcw_cases,date_first_outbreak,date_max_cases,date_max_HCWcases,date_first_resolved,CSDname,CSDuid,latitude,longitude
1.0,vermont square,VERMONT SQUARE,914 Bathurst Street,Toronto, M5R3G5,Toronto Central,For-Profit,130.0,Yes,Yes,Yes,Yes,17.3,1.0,9.8,2.1,4.9,1.8,2012-02-01,2020-10-13,2018-01-17,12.0,12.0,6.0,3.0,3.0,2.0,0.0,1.0,1.0,2020-05-02,2020-05-02,2020-05-09,2020-06-09,Toronto,3520005.0,43.66830209,-79.41276169
1.0,the o'neill centre,THE O'NEILL CENTRE,33 Christie Street,Toronto, M6G3B1,Toronto Central,For-Profit,162.0,Yes,Yes,No,Yes,9.4,1.7,12.2,0.0,9.4,2.0,2011-07-07,2020-07-16,2017-06-26,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2020-04-24,2020-04-24,2020-05-02,2020-05-23,Toronto,3520005.0,43.66476219,-79.4186887
0.0,nipissing manor nursing care center,NIPISSING MANOR NURSING CARE CENTER,1202 Highway 94,Corbeil, P0H1K0,North East,For-Profit,120.0,No,Yes,Yes,Yes,8.3,1.7,8.5,2.9,3.1,6.0,2011-10-02,2020-10-28,2018-10-12,12.0,10.0,4.0,3.0,3.0,1.0,,,,,,,,East Ferris,3548034.0,46.24835493,-79.33681562
1.0,valleyview residence,VALLEYVIEW RESIDENCE,541 Finch Avenue West,North York, M2R3Y3,Central,Non-Profit,174.0,No,Yes,No,No,21.4,5.0,27.5,9.3,15.5,8.6,2011-01-25,2020-02-18,2019-01-31,15.0,14.0,12.0,4.0,3.0,2.0,1.0,6.0,7.0,2020-04-24,2020-04-24,2020-04-24,2020-05-16,Toronto,3520005.0,43.77088320000001,-79.44630321
0.0,algonquin nursing home,ALGONQUIN NURSING HOME,207 Turcotte Park Road P.O. Box 270,Mattawa, P0H1V0,North East,Non-Profit,73.0,Yes,Yes,Yes,Yes,24.4,2.0,17.2,3.3,19.2,22.9,2011-12-01,2020-11-13,2017-11-30,5.0,4.0,3.0,0.0,0.0,0.0,,,,,,,,Mattawa,3548021.0,46.31349257,-78.71984132
0.0,fairview manor,FAIRVIEW MANOR,75 Spring Street,Almonte, K0A1A0,Champlain,Non-Profit,112.0,Yes,Yes,Yes,Yes,24.3,1.8,12.7,4.9,20.7,9.5,2011-08-09,2020-01-21,2018-05-17,11.0,10.0,7.0,0.0,0.0,0.0,,,,,,,,Mississippi Mills,3509030.0,45.2287855,-76.18998128
1.0,south centennial manor,SOUTH CENTENNIAL MANOR,240 Fyfe Street,Iroquois Falls, P0K1E0,North East,Non-Profit,69.0,Yes,Yes,Yes,Yes,25.7,2.6,11.5,10.8,23.8,4.3,2011-11-15,2020-09-01,2018-05-22,13.0,10.0,7.0,3.0,3.0,1.0,0.0,1.0,1.0,2020-05-08,2020-05-08,2020-07-13,2020-05-29,Iroquois Falls,3556031.0,48.76584185,-80.68247105
0.0,centennial place long-term care home,CENTENNIAL PLACE LONG-TERM CARE HOME,2 Centennial Lane North,Millbrook, L0A1G0,Central East,For-Profit,128.0,No,Yes,No,Yes,13.3,2.0,14.6,1.1,31.6,8.2,2011-08-04,2020-06-26,2018-05-29,7.0,5.0,4.0,1.0,1.0,1.0,,,,,,,,Cavan Monaghan,3515013.0,44.1562909,-78.4477515
1.0,moira place long-term care home,MOIRA PLACE LONG-TERM CARE HOME,415 River Street West P.O. Box 200,Tweed, K0K3J0,South East,For-Profit,128.0,No,Yes,Yes,Yes,10.7,1.6,14.0,0.0,34.4,2.5,2011-07-28,2020-10-19,2018-05-08,15.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-04-24,2020-04-24,2020-04-24,2020-05-08,Tweed,3512030.0,44.47111572,-77.31915479
0.0,copper terrace,COPPER TERRACE,91 Tecumseh Road,Chatham, N7M1B3,Erie St. Clair,For-Profit,138.0,Yes,Yes,Yes,Yes,30.6,4.6,25.6,1.0,25.7,9.6,2010-07-28,2020-10-19,2018-05-28,29.0,15.0,10.0,8.0,6.0,4.0,,,,,,,,Chatham-Kent,3536020.0,42.39831463,-82.20038906
0.0,middlesex terrace,MIDDLESEX TERRACE,2094 Gideon Drive R.R. #1,Delaware, N0L1E0,South West,For-Profit,105.0,No,Yes,Yes,Yes,21.2,3.5,22.3,0.0,29.8,3.5,2010-08-24,2020-09-18,2018-10-04,9.0,5.0,3.0,0.0,0.0,0.0,,,,,,,,Middlesex Centre,3539033.0,42.92353736,-81.42514196
0.0,park lane terrace,PARK LANE TERRACE,295 Grand River Street North,Paris, N3L2N9,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,132.0,No,Yes,Yes,Yes,14.0,1.9,14.3,2.0,28.3,4.8,2010-11-24,2020-07-29,2019-03-27,23.0,13.0,11.0,9.0,5.0,4.0,,,,,,,,Brant,3529005.0,43.21149506,-80.38916816
0.0,richmond terrace,RICHMOND TERRACE,89 Rankin Avenue,Amherstburg, N9V1E7,Erie St. Clair,For-Profit,120.0,Yes,Yes,Yes,Yes,21.5,1.7,19.1,5.4,29.7,2.0,2010-09-21,2020-07-22,2018-08-30,18.0,13.0,11.0,1.0,1.0,1.0,,,,,,,,Amherstburg,3537028.0,42.10422443,-83.11025501
0.0,watford quality care centre,WATFORD QUALITY CARE CENTRE,344 Victoria Street,Watford, N0M2S0,Erie St. Clair,For-Profit,63.0,Yes,Yes,Yes,Yes,22.9,2.8,19.1,0.8,26.7,16.0,2010-11-23,2020-06-10,2018-03-26,4.0,3.0,2.0,0.0,0.0,0.0,,,,,,,,Warwick,3538043.0,42.95217584,-81.88556091
1.0,exeter villa,EXETER VILLA,155 John Street East,Exeter, N0M1S1,South West,For-Profit,47.0,Yes,Yes,No,Yes,20.1,4.0,11.3,12.8,35.0,9.9,2011-02-15,2020-10-28,2017-11-07,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-05-12,2020-05-12,2020-05-12,2020-05-14,South Huron,3540005.0,43.34653763,-81.47441712
1.0,river glen haven nursing home,RIVER GLEN HAVEN NURSING HOME,160 High Street P.O. Box 368,Sutton West, L0E1R0,Central,For-Profit,119.0,No,Yes,Yes,Yes,27.8,4.7,18.8,12.0,36.6,12.8,2010-08-23,2020-09-25,2018-07-16,11.0,5.0,3.0,4.0,1.0,0.0,36.0,62.0,30.0,2020-04-28,2020-05-20,2020-05-26,2020-07-03,Georgina,3519070.0,44.30394879999999,-79.36171604
0.0,the fordwich village nursing home,THE FORDWICH VILLAGE NURSING HOME,3063 Adelaide Street,Fordwich, N0G1V0,South West,For-Profit,33.0,No,Yes,Yes,Yes,3.8,1.3,26.9,3.4,39.0,14.1,2010-08-04,2020-09-22,2017-10-23,5.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,Howick,3540046.0,43.87084494,-81.02944763
0.0,cedarwood lodge,CEDARWOOD LODGE,860 Great Northern Road,Sault Ste. Marie, P6A5K7,North East,For-Profit,50.0,No,Yes,Yes,No,28.8,4.3,20.3,20.1,29.9,10.5,2015-06-03,2020-06-12,2018-02-21,16.0,3.0,2.0,5.0,0.0,0.0,,,,,,,,Sault Ste. Marie,3557061.0,46.55200831,-84.31955276
0.0,babcock community care centre,BABCOCK COMMUNITY CARE CENTRE,196 Wellington Street P. O. Box 190,Wardsville, N0L2N0,South West,For-Profit,60.0,No,Yes,Yes,Yes,21.9,3.6,6.4,11.7,21.4,16.2,2010-09-17,2020-06-25,2017-10-18,9.0,8.0,2.0,2.0,1.0,0.0,,,,,,,,Southwest Middlesex,3539005.0,42.658399700000004,-81.75796234
0.0,the wellington nursing home,THE WELLINGTON NURSING HOME,1430 Upper Wellington Street,Hamilton, L9A5H3,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,102.0,No,Yes,Yes,Yes,19.2,4.9,13.0,2.3,28.4,5.9,2010-07-29,2020-02-25,2018-12-17,14.0,8.0,6.0,5.0,3.0,2.0,,,,,,,,Hamilton,3525005.0,43.20948778,-79.8796767
0.0,bay haven nursing home,BAY HAVEN NURSING HOME,499 Hume Street,Collingwood, L9Y4H8,North Simcoe Muskoka,For-Profit,60.0,No,Yes,No,No,13.3,2.0,21.3,2.4,26.4,9.4,2011-11-15,2020-09-11,2017-12-12,7.0,5.0,5.0,0.0,0.0,0.0,,,,,,,,Collingwood,3543031.0,44.49946329,-80.19803202
1.0,the jewish home for the aged,THE JEWISH HOME FOR THE AGED,3560 Bathurst Street,North York, M6A2E1,Toronto Central,Non-Profit,472.0,No,Yes,Yes,Yes,23.1,2.4,13.0,0.0,10.8,2.2,2010-11-09,2020-10-16,2018-11-13,25.0,17.0,13.0,9.0,6.0,4.0,1.0,5.0,8.0,2020-04-24,2020-05-04,2020-05-23,2020-05-29,Toronto,3520005.0,43.7300765,-79.43421181
1.0,belmont long term care facility,BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,Belleville, K8P5N3,South East,For-Profit,128.0,No,Yes,No,Yes,12.9,3.5,15.3,6.7,37.3,7.6,2010-08-10,2020-09-02,2018-01-17,9.0,7.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,2020-04-29,2020-04-29,2020-04-29,2020-05-05,Belleville,3512005.0,44.16007616,-77.40393509
0.0,heidehof long term care home,HEIDEHOF LONG TERM CARE HOME,600 Lake Street,St. Catharines, L2N4J4,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,106.0,No,Yes,No,No,32.2,2.0,17.1,2.0,16.0,2.1,2011-05-05,2020-02-19,2018-08-27,5.0,3.0,1.0,0.0,0.0,0.0,,,,,,,,St. Catharines,3526053.0,43.19665771,-79.251902
1.0,bethany lodge,BETHANY LODGE,23 Second Street,Markham, L3R2C2,Central,Non-Profit,128.0,No,Yes,Yes,No,7.0,4.7,16.4,1.7,22.5,15.6,2011-03-28,2020-07-15,2018-09-28,7.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2020-04-24,2020-04-24,2020-04-24,2020-05-20,Markham,3519036.0,43.86204073,-79.30139068
0.0,rosedale centre,ROSEDALE CENTRE,507- 8th Avenue P.O. Box 70,Matheson, P0K1N0,North East,Non-Profit,20.0,No,Yes,Yes,No,27.3,0.0,4.5,1.7,22.2,11.5,2011-05-11,2020-05-21,2018-04-24,3.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,Black River-Matheson,3556014.0,48.53944263,-80.46973105
