,HCC_CODE,FACILITY_NAME,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,address,location,point,geo_lat,geo_lon
30,9A5F3,Cairnsmore Place,Vancouver Island Health,HA,250 Cairnsmore Street,Duncan,V9L4H2,(250) 709-3080,Vancouver Island Health,1965,Resident & Family Council (combined),Scheduled as needed,Yes (no fee),Hospital Act,Accredited,April 2022,Manager,(250) 709-3080,Yes,Operator,No,$10.90,$11.41,"English, Punjabi",2.86,0.36,3.22,2.86,0.36,3.22,Yes,No,No,Clothing labelling fee,0,100,100,8,4,21,2,0,,,,,,,,,,,,,,,,,0,83,68.3%,49.4%,5.8%,752,27.0%,33.0%,18.7%,57.0%,1.7%,3.7,29.3%,0.64,63.3%,0.0%,41.0%,56.3%,18.1%,5.5%,https://cdhfoundation.ca/about-us/cairnsmore-place/,https://surveybcseniors.org/carehomeresults/cairnsmore-place-island/,,No,No,Yes,No,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cairnsmore place,533.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9L4H2,duncan,bc,,Duncan,,59.0,48.7854979,-123.7106333,"250 Cairnsmore Street, Duncan, British Columbia, Canada","Cairnsmore Street, Duncan, Cowichan Valley Regional District, British Columbia, V9L 1V2, Canada","(48.7854979, -123.7106333, 0.0)",48.7854979,-123.7106333
35,992EJ,Cartier House Seniors Community,Fraser Health,PFP,1419 Cartier St,Coquitlam,V3K2C6,(604) 939-4654,Park Place Seniors Living Inc.,1974,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Site Leader / Director of Care,(604) 939-4654,Yes,Operator & Outside Contractor,Yes,$5.62,$5.96,"English, Tagalog, Cantonese, Mandarin, Hindi, Punjabi, ",2.43,0.3,2.73,2.67,0.3,2.97,No,No,No,,0,78,78,30,24,0,1,1,2,1,8,0,0,0,0,0,2.6,1.3,10.3,0.0,0.0,0.0,0.0,0.0,not applicable,88,83.1%,68.8%,1.6%,346,40.2%,24.8%,26.7%,74.3%,10.6%,2.6,51.1%,0.59,4.2%,27.3%,0.6%,49.2%,23.7%,8.3%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/lower-mainland/cartier-house/,https://surveybcseniors.org/carehomeresults/cartier-house-fha/,,Yes,Yes,Yes,,$200.69,$212.96,2.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cartier house seniors community,,,,,,,,,,,,,,,49.28317715,-122.78734899022074,"1419 Cartier St, Coquitlam, British Columbia, Canada","The Cartier, 1189, Eastwood Street, Hoy Creek Housing Coop, River Springs, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 7W7, Canada","(49.28317715, -122.78734899022074, 0.0)",49.28317715,-122.78734899022074
45,915C7,Columbia House - Invermere District Hospital,Interior Health,HA,1030 - 10th Street,Invermere,V0A1K0,(250) 342-2329,Interior Health,1994,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Resident Care Coordinator / Site Manager,(250) 342-2350,Yes,Operator,Yes,$7.63,$8.07,"English, French, German",2.8,0.34,3.14,2.77,0.39,3.16,Yes,No,No,Specialty equipment,0,35,35,35,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.9,not applicable,84,61.9%,58.9%,8.9%,"1,116",23.1%,21.4%,20.5%,67.5%,4.3%,2.8,46.2%,0.56,32.5%,70.9%,4.3%,13.7%,5.7%,23.7%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Columbia%20House,https://surveybcseniors.org/carehomeresults/columbia-house-invermere-district-hospital-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,columbia house - invermere district hospital,,,,,,,,,,,,,,,50.5060821,-116.0328794,"1030 - 10th Street, Invermere, British Columbia, Canada","Canadian Red Cross, 1030, 10th Street, Invermere, Regional District of East Kootenay, British Columbia, V0A 1K0, Canada","(50.5060821, -116.0328794, 0.0)",50.5060821,-116.0328794
50,9A6GA,Cottage and Worthington Pavilions - MSA Hospital,Fraser Health,HA,33457 Cottage Lane,Abbotsford,V2S0B3,(604) 870-7999,Fraser Health,,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Resident Care Coordinator,Cottage: (604) 807-7967 / Worthington: (604) 870-7996,Yes,Outside Contractor,No,$6.49,$7.67,"Spanish, Italian, Arabic, French, Korean, Thai, Mandarin, Dutch, Afrikaans, Punjabi, Polish, Japanese, Filipino, German, Swedish, Portuguese",3.05,0.3,3.35,3.05,0.3,3.35,No,No,No,,0,119,119,11,6,24,3,1,1,0,0,0,0,0,0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,89,65.6%,73.9%,3.2%,90,17.3%,38.8%,27.1%,32.0%,5.8%,2.3,62.6%,0.58,25.2%,75.7%,1.2%,48.6%,20.7%,7.8%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/A/B/residential-care---cottage-worthington-pavilion#.XROCs0mouUk,https://surveybcseniors.org/carehomeresults/the-cottage-worthington-pavilion-fha/,,No,No,Yes,No,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cottage and worthington pavilions - msa hospital,,,,,,,,,,,,,,,49.0411856,-122.2963164,"33457 Cottage Lane, Abbotsford, British Columbia, Canada","Cottage Lane, Mill Lake, Abbotsford, British Columbia, V2S 6B8, Canada","(49.0411856, -122.2963164, 0.0)",49.0411856,-122.2963164
51,9A6EF,Cottonwoods Care Centre,Interior Health,HA,2255 Ethel Street,Kelowna,V1Y2Z9,(250) 862-4100,Interior Health,1976,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Patient Care Quality Office,1-877-442-2001,Yes,Operator,Yes,$9.88,$10.22,"English, French, German, Spanish, Italian, Mandarin, Punjabi, Cantonese, Russian, Vietnamese, Thai, Korean, Japanese, Croatian",2.86,0.34,3.2,2.91,0.35,3.26,No,No,No,,0,221,221,34,29,33,0,0,4,3,22,0,1,41,11,0,1.8,1.4,10.0,0.0,0.5,18.6,5.0,0.0,not applicable,85,66.2%,64.0%,6.3%,668,28.1%,31.1%,30.1%,60.7%,6.7%,2.9,38.7%,0.61,6.0%,36.6%,25.4%,39.2%,25.8%,4.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Cottonwoods%20Care%20Centre,https://surveybcseniors.org/carehomeresults/cottonwoods-care-centre-iha/,,No,No,No,No,,,1.0,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cottonwoods care centre,656.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1Y2Z9,kelowna,bc,,Kelowna,,59.0,49.8729257,-119.482555,"2255 Ethel Street, Kelowna, British Columbia, Canada","2255, Ethel Street, North Kelowna, Kelowna, Regional District of Central Okanagan, British Columbia, V1Y 5C1, Canada","(49.8729257, -119.482555, 0.0)",49.8729257,-119.482555
54,92DG0,Crest View Village,Interior Health,PFP,800 Cavell Street,Creston,V0B1G4,(250) 428-9986,Golden Life Management Corp,2005,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,October 2022,Director of Care / Community Manager,(250) 428-9986x203,Yes,Operator,Yes,$8.41,$9.12,English,2.8,0.35,3.15,2.98,0.35,3.33,No,No,No,,2,30,32,32,0,0,0,0,1,1,1,0,0,0,1,0,3.1,3.1,3.1,0.0,0.0,0.0,3.1,0.0,not applicable,88,63.1%,78.0%,0.0%,534,33.3%,28.9%,11.9%,66.7%,4.4%,2.9,39.3%,0.56,0.7%,2.2%,0.7%,37.8%,23.3%,10.8%,https://goldenlifemanagement.ca/index.php/villages/crest-view-village/overview-3,https://surveybcseniors.org/carehomeresults/crest-view-village-iha/,,No,No,No,No,$200.04,$209.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crest view village,,,,,,,,,,,,,,,49.1042985,-116.5148918,"800 Cavell Street, Creston, British Columbia, Canada","800, Cavell Street, Creston Valley Mall, Creston, Regional District of Central Kootenay, British Columbia, V1B 1G0, Canada","(49.1042985, -116.5148918, 0.0)",49.1042985,-116.5148918
55,995I0,Cumberland Lodge,Vancouver Island Health,HA,2696 Windermere Ave,Cumberland,V0R1S0,(250) 331-8505 x 68321,Vancouver Island Health,1977,Resident Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,April 2022,Manager / Clinical Nurse Leader,(250) 331-8505x68305 / (250) 331-8505x68350,Yes,Operator,Yes,$9.03,$8.86,"French, English, Finnish, Spanish, Filipino",2.9,0.3,3.2,2.91,0.3,3.21,No,No,No,Clothing labelling,0,66,66,40,13,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,87,70.8%,62.9%,2.1%,730,31.0%,29.5%,17.9%,66.4%,6.7%,4.2,16.8%,0.57,26.9%,37.7%,2.2%,56.3%,26.9%,11.3%,https://www.islandhealth.ca/our-locations/long-term-care-locations/cumberland-lodge,https://surveybcseniors.org/carehomeresults/cumberland-lodge-island/,,No,No,No,No,,,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cumberland lodge,,,,,,,,,,,,,,,49.62206725,-125.031025868366,"2696 Windermere Ave, Cumberland, British Columbia, Canada","Cumberland Health Centre, 2696, Windermere Avenue, Cumberland, Comox Valley Regional District, British Columbia, V0R 1S0, Canada","(49.62206725, -125.031025868366, 0.0)",49.62206725,-125.031025868366
59,9C280,Delta View Habilitation Centre,Fraser Health,PFP,9341 Burns Drive,Delta,V4K3N3,(604) 596-8842,The Good Samaritan Society,1991,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,October 2019,"Joan Alexander, Site Manager",(604) 596-8842,Yes,Operator,Yes,,$6.78,"English, Spanish, Punjabi, Hindi, Italian, Arabic, Gujarati, Korean, Mandarin, Cantonese, Tagalog, Filipino",,,,2.58,0.22,2.8,No,No,No,"Clothing labeling, Specialty items",9,71,80,72,4,0,0,0,0,0,4,0,0,1,0,0,0.0,0.0,5.0,0.0,0.0,1.3,0.0,0.0,not applicable,79,66.7%,33.3%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,https://gss.org/locations/good-samaritan-delta-view-care-centre/,https://surveybcseniors.org/carehomeresults/delta-view-habilitation-centre-fha/,,No,No,No,No,,$232.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,delta view habilitation centre,,,,,,,,,,,,,,,49.0922042,-122.96504725675072,"9341 Burns Drive, Delta, British Columbia, Canada","9341, Burns Drive, Delta, Metro Vancouver Regional District, British Columbia, V4K 3N3, Canada","(49.0922042, -122.96504725675072, 0.0)",49.0922042,-122.96504725675072
60,9940H,Delta View Life Enrichment Centre,Fraser Health,PFP,9321 Burns Drive,Delta,V4K3N3,(604) 501-6700,The Good Samaritan Society,2004,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,October 2019,"Joan Alexander, Site Manager",(604) 501-6700,Yes,Operator,Yes,$9.59,$6.75,"English, Punjabi, Cantonese, Filipino, Tagalog, Italian, Gujarati, Spanish, Hindi, German",2.77,0.35,3.13,3.0,0.36,3.36,No,No,No,"Clothing labeling, Specialty items",62,150,212,172,20,0,0,0,0,0,13,0,0,0,1,0,0.0,0.0,6.1,0.0,0.0,0.0,0.5,0.0,not applicable,85,66.2%,55.0%,2.8%,942,26.4%,39.7%,48.4%,73.9%,18.7%,1.9,69.6%,0.61,38.2%,0.0%,0.0%,47.0%,15.9%,0.3%,https://gss.org/locations/good-samaritan-delta-view-care-centre/,https://surveybcseniors.org/carehomeresults/delta-view-life-enrichment-fha/,,No,No,No,No,$232.16,$246.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,delta view life enrichment centre,,,,,,,,,,,,,,,49.09130415,-122.96486604215154,"9321 Burns Drive, Delta, British Columbia, Canada","Delta View Life Enrichment Centre, 9321, Burns Drive, Delta, Metro Vancouver Regional District, British Columbia, V4K 3N3, Canada","(49.09130415, -122.96486604215154, 0.0)",49.09130415,-122.96486604215154
61,93B40,Deni House,Interior Health,HA,517 6th Ave N.,Williams Lake,V2G2G8,(250) 302-3208,Interior Health,2011,Resident Council (family can attend),Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Patient Care Quality Office,1-877-442-2001,Yes,Operator,Yes,$7.92,$8.63,"English, Punjabi, Chilcotin,Tagalog, French, Hindi, Korean, Gujarati, Mandarin ",2.89,0.36,3.25,3.09,0.67,3.76,No,No,No,,0,28,28,13,0,5,0,0,0,1,8,0,0,2,0,0,0.0,3.6,28.6,0.0,0.0,7.1,0.0,0.0,not applicable,80,43.3%,48.4%,17.8%,381,23.4%,29.9%,39.0%,61.0%,5.2%,3.7,27.3%,0.58,0.0%,24.7%,0.0%,51.9%,41.0%,8.8%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Deni%20House,https://surveybcseniors.org/carehomeresults/deni-house-iha/,,No,No,No,No,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deni house,697.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2G2G8,williams lake,bc,,Williams Lake,,59.0,52.1378197,-122.1436286,"517 6th Ave N., Williams Lake, British Columbia, Canada","Canadian Red Cross Williams Lake Office, 517, 6th Avenue North, Williams Lake, Cariboo Regional District, British Columbia, V2G 2G8, Canada","(52.1378197, -122.1436286, 0.0)",52.1378197,-122.1436286
62,9353A,Discovery Harbour Seniors Community,Vancouver Island Health,PFP,850 14th Avenue,Campbell River,V9W4H4,(250) 287-7166,Park Place Seniors Living Inc.,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Site Leader / Director of Care,(250) 287-7166x228,Yes,Outside Contractor,Yes,$6.60,$7.79,"English, French, Spanish, Filipino, Punjabi, Indonesian, Bosnian, German, Italian",2.89,0.26,3.15,2.83,0.37,3.2,No,No,Yes,,0,142,142,90,4,0,16,9,1,9,21,0,1,6,0,7,0.7,6.3,14.8,0.0,0.7,4.2,0.0,4.9,not applicable,84,57.6%,56.4%,2.5%,912,26.8%,22.0%,31.3%,73.9%,9.7%,1.2,81.5%,0.62,0.6%,0.0%,0.2%,58.8%,28.2%,9.9%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/vancouver-island/discovery-harbour/,https://surveybcseniors.org/carehomeresults/new-horizons-community-of-care-island/,,Yes,Yes,Yes,Yes,$211.30,$217.58,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,discovery harbour seniors community,,,,,,,,,,,,,,,50.0293746,-125.2748504,"850 14th Avenue, Campbell River, British Columbia, Canada","14th Avenue, Campbell River, Strathcona Regional District, British Columbia, V9W 8E8, Canada","(50.0293746, -125.2748504, 0.0)",50.0293746,-125.2748504
64,9AJF4,Dr. Andrew Pavilion - Summerland Health Centre,Interior Health,HA,12815 Atkinson Rd.,Summerland,V0H1Z0,(250)  404-8020,Interior Health,1984,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Nurse Manager,(250) 404-8020,Yes,Operator,Yes,$9.05,$9.66,"English, German, Hungarian, Mandarin, Cantonese, Punjabi, Serbo-Croato-Slovenian",2.81,0.34,3.15,2.81,0.33,3.14,No,No,No,,0,50,50,4,5,8,0,0,1,1,1,0,0,0,0,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,not applicable,89,75.5%,76.7%,0.4%,619,22.3%,45.1%,18.7%,71.5%,1.0%,2.2,60.1%,0.58,0.0%,0.0%,0.0%,34.7%,23.7%,6.7%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Summerland%20Extended%20Care%20%28Dr.%20Andrew%20Pavilion%29,https://surveybcseniors.org/carehomeresults/dr-andrew-pavilion-summerland-health-centre-iha/,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dr. andrew pavilion - summerland health centre,,,,,,,,,,,,,,,49.6027035,-119.6679222,"12815 Atkinson Rd., Summerland, British Columbia, Canada","12815, Atkinson Road, Summerland, Regional District of Okanagan-Similkameen, British Columbia, V0H 1Z0, Canada","(49.6027035, -119.6679222, 0.0)",49.6027035,-119.6679222
66,919C4,Dufferin Care Centre,Fraser Health,PFP,1131 Dufferin St,Coquitlam,V3B7X5,(604) 552-1166,Retirement Concepts,,,,,Hospital Act,Accredited,February 2022,,,,Outside Contractor,,$5.99,$6.35,,2.43,0.31,2.73,2.64,0.31,2.95,,,,,25,128,153,0,0,0,4,1,1,0,23,0,0,1,2,0,0.7,0.0,15.0,0.0,0.0,0.7,1.3,0.0,not applicable,84,73.9%,53.6%,1.4%,601,19.0%,39.1%,49.8%,77.3%,15.6%,0.9,88.4%,0.57,0.0%,55.3%,0.0%,43.1%,27.3%,4.6%,https://www.retirementconcepts.com/locations/dufferin-care-centre/,https://surveybcseniors.org/carehomeresults/dufferin-care-centre-fha/,,Yes,Yes,Yes,Yes,$219.13,$230.55,3.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dufferin care centre,,,,,,,,,,,,,,,49.2791682,-122.8039958,"1131 Dufferin St, Coquitlam, British Columbia, Canada","Dufferin Street, Hoy Creek Housing Coop, Harbour Village, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 7G5, Canada","(49.2791682, -122.8039958, 0.0)",49.2791682,-122.8039958
67,9A6D2,Dufferin Place,Vancouver Island Health,HA,1200 Dufferin Crescent,Nanaimo,V9S2B7,(250) 755-7632,Vancouver Island Health,1987,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,April 2022,"Sharron Traub, Manager",(250) 755-7654,Yes,Operator,No,$10.52,$10.85,"English, Filipino, Punjabi",2.96,0.3,3.26,2.98,0.34,3.31,No,No,Yes,"Laundry one time charge $30, hairdressing",0,146,146,14,8,29,1,0,,,,,,,,,,,,,,,,,3,84,74.5%,55.5%,4.4%,463,37.4%,26.4%,22.7%,44.6%,2.5%,3.8,26.4%,0.58,44.4%,0.0%,30.1%,54.2%,6.1%,2.0%,https://www.islandhealth.ca/our-locations/long-term-care-locations/dufferin-place,https://surveybcseniors.org/carehomeresults/dufferin-place-island/,,No,No,Yes,No,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dufferin place,717.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9S2B7,nanaimo,bc,,Nanaimo,,59.0,49.184874300000004,-123.96984534779168,"1200 Dufferin Crescent, Nanaimo, British Columbia, Canada","Nanaimo Regional General Hospital, 1200, Dufferin Crescent, Brechin Hill, Nanaimo, Regional District of Nanaimo, British Columbia, V9S 2B7, Canada","(49.184874300000004, -123.96984534779168, 0.0)",49.184874300000004,-123.96984534779168
69,9154A,Eagle Park Health Care Facility,Vancouver Island Health,HA,777 Jones St,Qualicum Beach,V9K2L1,(250) 947-8220,Vancouver Island Health,1994,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,April 2022,Clinical Nurse Leader,(250) 947-8220x39105,Yes,Operator,Yes,$8.81,$9.19,"English, French, Spanish",2.85,0.31,3.16,2.85,0.31,3.16,No,No,No,,0,75,75,55,20,0,1,0,,,,,,,,,,,,,,,,,1,83,62.6%,51.2%,5.5%,463,27.4%,26.7%,35.8%,76.1%,4.6%,3.7,28.4%,0.58,0.7%,0.4%,71.2%,57.2%,53.4%,10.9%,https://www.islandhealth.ca/our-locations/long-term-care-locations/eagle-park-health-care-facility,https://surveybcseniors.org/carehomeresults/eagle-park-health-care-facility-island/,,,,,,,,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,eagle park health care facility,,,,,,,,,,,,,,,49.3409296,-124.4492447,"777 Jones St, Qualicum Beach, British Columbia, Canada","Jones Street, Qualicum Beach, Regional District of Nanaimo, British Columbia, V9K 1S4, Canada","(49.3409296, -124.4492447, 0.0)",49.3409296,-124.4492447
70,923C0,Eagle Ridge Manor - Port Hardy,Vancouver Island Health,HA,9120 Granville Street,Port Hardy,V0N2P0,(250) 902-6043,Vancouver Island Health,2000,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,April 2022,Nurse Leader,(250) 902-6044,Yes,Operator,Yes,$9.43,$9.78,"English, German, French",3.15,0.34,3.49,3.15,0.34,3.49,No,No,No,,0,22,22,22,0,0,0,0,,,,,,,,,,,,,,,,,0,83,58.5%,46.8%,4.3%,"1,126",11.0%,19.5%,29.3%,74.4%,8.5%,2.9,40.2%,0.56,1.2%,1.2%,0.0%,50.0%,30.4%,14.3%,https://www.islandhealth.ca/our-locations/residential-care-locations/eagle-ridge-manor-residential-care,https://surveybcseniors.org/carehomeresults/eagle-ridge-manor-island/,,No,No,No,No,,,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,eagle ridge manor - port hardy,,,,,,,,,,,,,,,50.71997325,-127.50285126402541,"9120 Granville Street, Port Hardy, British Columbia, Canada","Port Hardy Hospital, 9120, Granville Street, Port Hardy, Regional District of Mount Waddington, British Columbia, V0N 2V0, Canada","(50.71997325, -127.50285126402541, 0.0)",50.71997325,-127.50285126402541
71,9C6EC,Eagle Ridge Manor - Port Moody,Fraser Health,HA,475 Guildford Way,Port Moody,V3H3W9,(604) 469-3211,Fraser Health,,Resident & Family Council (combined),Regular Schedule,Yes (fee charged),Hospital Act,Unknown,not available,Clinical Service Manager,(604) 469-3213,Yes,Outside Contractor,Yes,$7.36,$7.30,"English, Mandarin, French, Punjabi, Cantonese",3.1,0.36,3.46,3.1,0.36,3.46,No,No,No,,0,75,75,39,18,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,86,55.7%,61.1%,3.0%,"1,103",31.6%,52.5%,33.8%,48.7%,1.9%,3.6,30.0%,0.63,26.2%,57.4%,7.6%,41.8%,14.0%,7.4%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/D/A/eagle-ridge-manor---residential-care#.XROS2UmouUk,https://surveybcseniors.org/carehomeresults/eagle-ridge-manor-ecu-fha/,,No,No,Yes,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eagle ridge manor - port moody,,,,,,,,,,,,,,,49.28553745,-122.82369973641946,"475 Guildford Way, Port Moody, British Columbia, Canada","Eagle Ridge Hospital, 475, Guildford Way, Eagle Ridge, Port Moody, Metro Vancouver Regional District, British Columbia, V3H 3W9, Canada","(49.28553745, -122.82369973641946, 0.0)",49.28553745,-122.82369973641946
72,9C2F7,Echo Village,Vancouver Island Health,PNP,4200 10th Avenue,Port Alberni,V9Y4X3,(250) 724-1090,Alberni-Clayoquot Continuing Care Society,1992,Resident Council,Regular Schedule,Yes (no fee),Hospital Act,Accredited,June 2020,Director of Care / Executive Director,(250) 724-6541x249 / (250) 724-6541x232,Yes,Operator,Yes,$7.69,$8.08,"English, Punjabi",2.84,0.33,3.17,2.74,0.31,3.05,No,No,No,Specialty equipment,2,65,67,67,0,0,2,0,,,,,,,,,,,,,,,,,3,83,61.2%,52.7%,7.8%,443,15.4%,39.1%,26.3%,62.4%,3.0%,3.8,21.6%,0.59,0.0%,0.0%,0.0%,54.1%,29.2%,0.0%,https://albernicontinuingcare.ca/echo-village,https://surveybcseniors.org/carehomeresults/echo-village-island/,,No,No,No,No,$218.95,$223.13,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,echo village,,,,,,,,,,,,,,,49.2367453,-124.7978368,"4200 10th Avenue, Port Alberni, British Columbia, Canada","10th Avenue, Cameron Heights, Alberni, Port Alberni, Alberni-Clayoquot Regional District, British Columbia, V9Y 2K5, Canada","(49.2367453, -124.7978368, 0.0)",49.2367453,-124.7978368
