FACILITY_NAME,OWNERSHIP,REGULATION,ACCRED_STATUS,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,CMI,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,cleaned_name,facility_name,num_cases,num_deaths,outbreak,facility_design,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,BEDS_PUBLICprop,ROOMS_TOTAL,ROOMS_PRIVATEprop,ROOMS_SEMIprop,ROOMS_MULTIprop
Braddan Private Hospital,PFP,Hospital Act,Not Accredited,2.72,0.12,2.84,2,60,62,22,20,0,0,0,0,1,3,0,1,2,0,0,0.0,1.6,4.8,0.0,1.6,3.2,0.0,0.0,0.54,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,braddan private hospital,na,na,na,no,pre1994,True,True,0.03225806451612903,0.967741935483871,42,0.5238095238095238,0.47619047619047616,0.0
Bradley Center,HA,Hospital Act,Unknown,3.02,0.23,3.25,0,90,90,8,1,20,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.59,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bradley center,na,na,na,no,unknown,True,False,0.0,1.0,29,0.27586206896551724,0.034482758620689655,0.6896551724137931
Brandt's Creek Mews,PFP,Community Care & Assisted Living Act,Accredited,3.0,0.35,3.35,2,100,102,102,0,0,0,0,2,0,11,0,1,0,0,4,2.0,0.0,10.8,0.0,1.0,0.0,0.0,3.9,0.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brandt's creek mews,na,na,na,no,post1994,True,True,0.0196078431372549,0.9803921568627451,102,1.0,0.0,0.0
Broadway Pentecostal Lodge,PNP,Community Care & Assisted Living Act,Not Accredited,2.78,0.31,3.09,0,114,114,114,0,0,3,2,0,0,14,0,0,8,0,2,0.0,0.0,12.3,0.0,0.0,7.0,0.0,1.8,0.53,6.0,8.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,broadway pentecostal lodge,na,na,na,no,pre1994,True,False,0.0,1.0,114,1.0,0.0,0.0
Brocklehurst Gemstone Care Centre,PFP,Community Care & Assisted Living Act,Accredited,2.97,0.35,3.32,5,125,130,126,4,0,0,0,0,0,31,0,1,0,6,3,0.0,0.0,23.8,0.0,0.8,0.0,4.6,2.3,0.55,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,brocklehurst gemstone care centre,na,na,na,no,post1994,True,True,0.038461538461538464,0.9615384615384616,130,0.9692307692307692,0.03076923076923077,0.0
Brookside Lodge,PFP,Community Care & Assisted Living Act,Unknown,2.97,0.39,3.36,14,89,103,93,5,0,0,0,1,1,8,0,0,3,0,1,1.0,1.0,7.8,0.0,0.0,2.9,0.0,1.0,0.6,8.0,13.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,brookside lodge,na,na,na,no,post1994,True,True,0.13592233009708737,0.8640776699029126,98,0.9489795918367347,0.05102040816326531,0.0
Buchanan Lodge,PNP,Community Care & Assisted Living Act,Unknown,2.76,0.36,3.12,0,112,112,104,4,0,1,0,3,2,10,0,0,2,1,1,2.7,1.8,8.9,0.0,0.0,1.8,0.9,0.9,0.57,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,buchanan lodge,na,na,na,no,post1994,True,True,0.0,1.0,108,0.9629629629629629,0.037037037037037035,0.0
Capilano Care Centre,PFP,Hospital Act & Community Care & Assisted Living Act,Accredited,2.76,0.2,2.96,0,205,205,76,48,11,2,0,1,0,38,0,0,4,3,30,0.5,0.0,18.5,0.0,0.0,2.0,1.5,14.6,0.56,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,capilano care centre,na,na,na,no,pre1994,True,True,0.0,1.0,135,0.562962962962963,0.35555555555555557,0.08148148148148149
CareLife Fleetwood,HA,Hospital Act,Unknown,3.78,0.4,4.18,0,191,191,167,12,0,1,0,1,0,3,0,0,1,1,0,0.5,0.0,1.6,0.0,0.0,0.5,0.5,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carelife fleetwood,na,na,na,no,post1994,True,False,0.0,1.0,179,0.9329608938547486,0.0670391061452514,0.0
Carlton Gardens Care Centre,PFP,Community Care & Assisted Living Act,Accredited,3.0,0.36,3.36,11,117,128,120,4,0,0,0,2,1,12,0,0,1,0,2,1.6,0.8,9.4,0.0,0.0,0.8,0.0,1.6,0.55,3.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,carlton gardens care centre,na,na,na,no,post1994,True,True,0.0859375,0.9140625,124,0.967741935483871,0.03225806451612903,0.0
Cartier House Seniors Community,PFP,Community Care & Assisted Living Act,Unknown,2.67,0.3,2.97,0,78,78,30,24,0,1,1,2,1,8,0,0,0,0,0,2.6,1.3,10.3,0.0,0.0,0.0,0.0,0.0,0.59,2.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cartier house seniors community,na,na,na,no,pre1994,True,True,0.0,1.0,54,0.5555555555555556,0.4444444444444444,0.0
Castleview Care Centre,PFP,Community Care & Assisted Living Act,Unknown,3.0,0.35,3.35,16,45,61,61,0,0,0,0,1,0,7,0,0,1,1,1,1.6,0.0,11.5,0.0,0.0,1.6,1.6,1.6,0.57,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,castleview care centre,na,na,na,no,pre1994,True,True,0.26229508196721313,0.7377049180327869,61,1.0,0.0,0.0
Cedarview Lodge,HA,Community Care & Assisted Living Act,Accredited,2.8,0.24,3.04,0,89,89,89,0,0,0,0,0,0,6,0,0,2,0,0,0.0,0.0,6.7,0.0,0.0,2.2,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cedarview lodge,na,na,na,no,pre1994,True,True,0.0,1.0,89,1.0,0.0,0.0
Central City Lodge,PNP,Community Care & Assisted Living Act,Not Accredited,2.89,0.32,3.21,0,100,100,84,8,0,0,0,2,0,5,2,0,3,1,1,2.0,0.0,5.0,2.0,0.0,3.0,1.0,1.0,0.54,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central city lodge,Central City Lodge,1.0,0.0,yes,pre1994,True,False,0.0,1.0,92,0.9130434782608695,0.08695652173913043,0.0
Cherington Place,PFP,Community Care & Assisted Living Act,Unknown,2.64,0.31,2.95,0,75,75,33,21,0,3,1,1,0,4,0,0,0,0,1,1.3,0.0,5.3,0.0,0.0,0.0,0.0,1.3,0.56,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cherington place,na,na,na,no,pre1994,True,False,0.0,1.0,54,0.6111111111111112,0.3888888888888889,0.0
Christenson Village,PNP,Community Care & Assisted Living Act,Accredited,3.12,0.22,3.34,0,80,80,80,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.57,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,christenson village,na,na,na,no,post1994,True,True,0.0,1.0,80,1.0,0.0,0.0
Columbia Garden Village,PFP,Community Care & Assisted Living Act,Accredited,2.93,0.35,3.28,0,34,34,34,0,0,1,0,0,1,8,0,0,0,3,2,0.0,2.9,23.5,0.0,0.0,0.0,8.8,5.9,0.5,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,columbia garden village,na,na,na,no,post1994,True,False,0.0,1.0,34,1.0,0.0,0.0
Columbia House - Invermere District Hospital,HA,Community Care & Assisted Living Act,Accredited,2.77,0.39,3.16,0,35,35,35,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.9,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,columbia house - invermere district hospital,na,na,na,no,unknown,True,True,0.0,1.0,35,1.0,0.0,0.0
Columbia View Lodge,HA,Community Care & Assisted Living Act,Accredited,2.94,0.4,3.34,0,76,76,76,0,0,0,0,0,2,3,0,0,3,3,1,0.0,2.6,3.9,0.0,0.0,3.9,3.9,1.3,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,columbia view lodge,na,na,na,no,pre1994,True,True,0.0,1.0,76,1.0,0.0,0.0
Columbus Residence,PNP,Community Care & Assisted Living Act,Accredited,2.73,0.21,2.94,0,76,76,74,1,0,1,0,0,0,3,0,0,1,1,0,0.0,0.0,3.9,0.0,0.0,1.3,1.3,0.0,0.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,columbus residence,na,na,na,no,pre1994,True,True,0.0,1.0,75,0.9866666666666667,0.013333333333333334,0.0
Cottage and Worthington Pavilions - MSA Hospital,HA,Hospital Act,Unknown,3.05,0.3,3.35,0,119,119,11,6,24,3,1,1,0,0,0,0,0,0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cottage and worthington pavilions - msa hospital,Worthington Pavilion LCTF,7.0,1.0,yes,unknown,True,True,0.0,1.0,41,0.2682926829268293,0.14634146341463414,0.5853658536585366
Cottonwoods Care Centre,HA,Hospital Act,Accredited,2.91,0.35,3.26,0,221,221,34,29,33,0,0,4,3,22,0,1,41,11,0,1.8,1.4,10.0,0.0,0.5,18.6,5.0,0.0,0.61,1.0,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cottonwoods care centre,na,na,na,no,pre1994,True,True,0.0,1.0,96,0.3541666666666667,0.3020833333333333,0.34375
Creekside Landing,PFP,Community Care & Assisted Living Act,Accredited,2.98,0.35,3.33,0,70,70,70,0,0,1,1,0,0,8,0,0,1,3,0,0.0,0.0,11.4,0.0,0.0,1.4,4.3,0.0,0.7,2.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,creekside landing,na,na,na,no,post1994,True,True,0.0,1.0,70,1.0,0.0,0.0
Crescent Gardens,PFP,Community Care & Assisted Living Act,Unknown,2.64,0.31,2.95,22,53,75,69,3,0,2,0,2,0,9,0,0,1,1,1,2.7,0.0,12.0,0.0,0.0,1.3,1.3,1.3,0.54,3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crescent gardens,na,na,na,no,post1994,True,True,0.29333333333333333,0.7066666666666667,72,0.9583333333333334,0.041666666666666664,0.0
Crest View Village,PFP,Community Care & Assisted Living Act,Accredited,2.98,0.35,3.33,2,30,32,32,0,0,0,0,1,1,1,0,0,0,1,0,3.1,3.1,3.1,0.0,0.0,0.0,3.1,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crest view village,na,na,na,no,post1994,True,True,0.0625,0.9375,32,1.0,0.0,0.0
Czorny Alzheimer Centre,HA,Hospital Act,Unknown,3.29,0.21,3.5,0,72,72,72,0,0,0,0,0,0,8,0,0,0,3,0,0.0,0.0,11.1,0.0,0.0,0.0,4.2,0.0,0.53,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,czorny alzheimer centre,Czorny Alzheimer Centre,1.0,0.0,yes,post1994,False,False,0.0,1.0,72,1.0,0.0,0.0
Dania Home,PNP,Community Care & Assisted Living Act,Accredited,3.07,0.29,3.36,0,102,102,102,0,0,1,0,1,2,6,0,0,0,1,0,1.0,2.0,5.9,0.0,0.0,0.0,1.0,0.0,0.61,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,dania home,Dania Home,1.0,0.0,yes,post1994,True,True,0.0,1.0,102,1.0,0.0,0.0
David Lloyd Jones Home,HA,Community Care & Assisted Living Act,Accredited,2.83,0.37,3.2,0,64,64,64,0,0,0,0,3,3,1,1,0,1,1,0,4.7,4.7,1.6,1.6,0.0,1.6,1.6,0.0,0.57,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,david lloyd jones home,na,na,na,no,pre1994,True,True,0.0,1.0,64,1.0,0.0,0.0
Delta View Life Enrichment Centre,PFP,Hospital Act,Accredited,3.0,0.36,3.36,62,150,212,172,20,0,0,0,0,0,13,0,0,0,1,0,0.0,0.0,6.1,0.0,0.0,0.0,0.5,0.0,0.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,delta view life enrichment centre,Delta View Care Centre ,1.0,0.0,yes,post1994,True,True,0.29245283018867924,0.7075471698113207,192,0.8958333333333334,0.10416666666666667,0.0
Deni House,HA,Hospital Act,Accredited,3.09,0.67,3.76,0,28,28,13,0,5,0,0,0,1,8,0,0,2,0,0,0.0,3.6,28.6,0.0,0.0,7.1,0.0,0.0,0.58,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deni house,na,na,na,no,post1994,True,False,0.0,1.0,18,0.7222222222222222,0.0,0.2777777777777778
Dogwood Lodge,HA,Community Care & Assisted Living Act,Accredited,2.83,0.29,3.12,0,83,83,83,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dogwood lodge,na,na,na,no,pre1994,True,True,0.0,1.0,83,1.0,0.0,0.0
Dr. Andrew Pavilion - Summerland Health Centre,HA,Hospital Act,Accredited,2.81,0.33,3.14,0,50,50,4,5,8,0,0,1,1,1,0,0,0,0,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dr. andrew pavilion - summerland health centre,na,na,na,no,pre1994,True,True,0.0,1.0,17,0.23529411764705882,0.29411764705882354,0.47058823529411764
Dr. F. W. Green Memorial Home,HA,Community Care & Assisted Living Act,Accredited,2.96,0.55,3.51,0,58,58,60,0,0,0,0,1,0,6,0,0,2,1,0,1.7,0.0,10.3,0.0,0.0,3.4,1.7,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dr. f. w. green memorial home,na,na,na,no,pre1994,False,True,0.0,1.0,60,1.0,0.0,0.0
Eagle Ridge Manor - Port Moody,HA,Hospital Act,Unknown,3.1,0.36,3.46,0,75,75,39,18,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eagle ridge manor - port moody,na,na,na,no,unknown,True,True,0.0,1.0,57,0.6842105263157895,0.3157894736842105,0.0
Eden Care Centre,PFP,Community Care & Assisted Living Act,Not Accredited,2.67,0.31,2.98,0,89,89,89,0,0,7,3,4,0,12,0,0,2,0,1,4.5,0.0,13.5,0.0,0.0,2.2,0.0,1.1,0.48,7.0,8.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,eden care centre,Eden Care Centre,8.0,1.0,yes,pre1994,True,True,0.0,1.0,89,1.0,0.0,0.0
Elim Village - The Harrison / Harrison West,PNP,Community Care & Assisted Living Act,Accredited,2.98,0.38,3.36,18,176,194,181,6,0,2,0,4,1,17,0,0,1,1,0,2.1,0.5,8.8,0.0,0.0,0.5,0.5,0.0,0.61,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,elim village - the harrison / harrison west,The Harrison at Elim Village,1.0,0.0,yes,post1994,True,True,0.09278350515463918,0.9072164948453608,187,0.9679144385026738,0.03208556149732621,0.0
Evergreen - The Terraces / The Pointe,PNP,Community Care & Assisted Living Act,Accredited,3.0,0.36,3.36,3,249,252,252,0,0,4,1,6,2,31,0,0,2,3,2,2.4,0.8,12.3,0.0,0.0,0.8,1.2,0.8,0.56,12.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,evergreen - the terraces / the pointe,na,na,na,no,post1994,True,True,0.011904761904761904,0.9880952380952381,252,1.0,0.0,0.0
Evergreen Extended Care - Powell River Hospital,HA,Hospital Act,Accredited,2.75,0.23,2.98,0,75,75,6,4,15,0,0,1,0,3,0,0,0,0,0,1.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.58,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,evergreen extended care - powell river hospital,na,na,na,no,pre1994,True,True,0.0,1.0,25,0.24,0.16,0.6
Evergreen House - Lions Gate Hospital,HA,Hospital Act,Accredited,3.0,0.3,3.3,0,289,289,22,11,60,0,0,1,0,25,0,0,3,8,1,0.3,0.0,8.7,0.0,0.0,1.0,2.8,0.3,0.61,3.0,9.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,evergreen house - lions gate hospital,Evergreen House,1.0,0.0,yes,pre1994,True,True,0.0,1.0,93,0.23655913978494625,0.11827956989247312,0.6451612903225806
Fair Haven - Burnaby,PNP,Community Care & Assisted Living Act,Accredited,2.74,0.34,3.08,0,100,100,100,0,0,2,1,1,5,12,0,0,0,2,6,1.0,5.0,12.0,0.0,0.0,0.0,2.0,6.0,0.57,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,fair haven - burnaby,na,na,na,no,unknown,True,True,0.0,1.0,100,1.0,0.0,0.0
Fair Haven - Vancouver,PNP,Community Care & Assisted Living Act,Accredited,2.85,0.23,3.08,0,82,82,70,6,0,1,1,0,0,9,0,0,2,1,0,0.0,0.0,11.0,0.0,0.0,2.4,1.2,0.0,0.59,3.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fair haven - vancouver,na,na,na,no,pre1994,True,True,0.0,1.0,76,0.9210526315789473,0.07894736842105263,0.0
Fellburn Care Centre,HA,Hospital Act,Accredited,3.08,0.34,3.42,0,81,81,10,16,10,3,0,0,3,0,0,1,0,0,0,0.0,3.7,0.0,0.0,1.2,0.0,0.0,0.0,0.65,2.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,fellburn care centre,na,na,na,no,pre1994,True,True,0.0,1.0,36,0.2777777777777778,0.4444444444444444,0.2777777777777778
Finnish Home,PNP,Community Care & Assisted Living Act,Not Accredited,2.8,0.22,3.02,0,64,64,64,0,0,0,0,1,0,7,0,0,1,0,0,1.6,0.0,10.9,0.0,0.0,1.6,0.0,0.0,0.59,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finnish home,na,na,na,no,pre1994,True,True,0.0,1.0,64,1.0,0.0,0.0
Fischer Place/Mill Site Lodge,HA,Hospital Act & Community Care & Assisted Living Act,Accredited,3.02,0.37,3.4,0,93,93,93,0,0,0,0,0,0,13,0,0,1,6,0,0.0,0.0,14.0,0.0,0.0,1.1,6.5,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fischer place/mill site lodge,na,na,na,no,pre1994,True,False,0.0,1.0,93,1.0,0.0,0.0
