OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
South Peace Community Resources Society,City View,Residential Care,1020 95 Ave,Dawson Creek,V1G 1J1,(250)782-0744,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B2807DBB07C7167A072583310067FD8F,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-120.2316298,55.7679179
Thompson Community Services Inc.,Corless Crescent,Residential Care,238 Corless Cres,Prince George,V2M 5X9,(250)319-3503,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=EC7D5BF4276D4E0988257E1400641E86,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-122.8061304,53.9300618
Northern Health Authority,Davis Drive,Residential Care,4237 Davis Rd,Prince George,V2N 6M6,(250)964-9744,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3EAB8E51D82E090188256D3200772FE5,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,Y,5,N,,N,,N,,Y,5,N,,-122.7830001,53.8753605
Northern Health Authority,Dunrovin Park Lodge,Residential Care,900 St Laurent Ave,Quesnel,V2J 3S3,(250)985-5800,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2823F4197694C1FD88257F460058D0C8,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,121,N,,N,,-122.4873449,52.9794961
Burns Lake Christian Supportive Society,Eighth Avenue Group Home,Residential Care,210 8th Ave,Burns Lake,V0J 1E0,(250)692-7810,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=993CAE3CE7DDB77188256A9A0079B527,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,12,N,,-125.7581811,54.2341003
AIMHI Prince George Association For Community Living,Flamingo Road,Residential Care,8244 Flamingo Rd,Prince George,V2N 2J1,(250)962-5853,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7F15887E1CDADB8388256A9A0079BCAB,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,9,N,,-122.820287,54.0058035
Fort St. John Association For Community Living,FSJ ACL Four-Plex,Residential Care,10519 102 Ave,Fort St. John,V1J 2E7,(250)787-7437,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=D927E133A9AB98DB0725706C006C7316,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,8,Y,8,N,,-120.8571513,56.2481382
Northern Health Authority,Gateway Lodge Complex Care,Residential Care,1488 20th Ave,Prince George,V2L 0A5,(250)645-6100 (110),https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=145B11B5DE36827288257E040063E08C,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,94,N,,N,,-122.753489,53.905998
AIMHI Prince George Association For Community Living,Gorse Street Residence,Residential Care,1945 Gorse St,Prince George,V2L 1G7,(250)564-7511,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=816367BCC081C0D388256E690071AAB4,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,9,N,,-122.7384188,53.9059496
"Gorbahn, Dana",GPAR # 1,Residential Care,1377 Driftwood Cres,Smithers,V0J 2N0,(250)847-4204,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=98E6AC141A65294088256DC60079A0C8,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,8,N,,-127.1670837,54.7904779
Terrace & District Community Services Society,Graham Avenue Residence,Residential Care,4823 Graham Ave,Terrace,V8G 1A9,(250)635-9947,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C5B448D57AC9935C88256E5C00818364,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,10,N,,-128.6031531,54.5058638
Northern Health Authority,Haida Gwaii Hospital and Health Centre,Residential Care,3209 Oceanview Dr,Queen Charlotte,VOT 1SO,(250)622-6298,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C109180F70DD1C688825814F005C4968,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,8,N,,N,,-132.0705826,53.2548118
Western Human Resource Corporation,Hazelton Residence,Residential Care,2554 Hazelton St,Prince George,V2L 1H2,(250)960-1499,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0EFAFD362A0AA1F988256A9A0079B62F,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,Y,6,N,,N,,N,,Y,6,N,,-122.7376192,53.8974605
Northern Health Authority - Houston Health Centre,Houston Health Centre,Residential Care,3202 14th St,Houston,V0J 1Z0,(250)845-5950,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CD33C520EC98A1DA882577CB0074D069,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,7,N,,N,,-126.6524369,54.3961409
Thompson Community Services Inc.,Kalum Home,Residential Care,3315 Kalum St,Terrace,V8G 4B1,(250)635-4701,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4836410EC607026D8825751A0069792F,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,6,N,,-128.5871766,54.5202329
Thompson Community Services Inc.,Leonard Place,Residential Care,4761 Leonard Pl,Prince George,V2M 6Z5,(250)319-3503,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=23DACD062E744E6088257E1A005F32E6,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-122.8102281,53.9385835
AIMHI Prince George Association For Community Living,Lisgar Residence,Residential Care,2471 Lisgar Cres,Prince George,V2N 1C4,(250)596-0419,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5DB242F2FD4DBEEE882576D30081C598,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,5,N,,-122.7837453,53.897885
Northern Health Authority - Terrace and Kitimat,Mountain View Lodge Complex & Long Term Care Unit,Residential Care,920 Lahakas Blvd,Kitimat,V8C 2S3,(250)632-2121,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3CDB7EFFBA0EF99588256BA5006F65E1,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,36,N,,Y,36,N,,N,,-128.6501016,54.0490702
Northern Health Authority,Nechako Center - Adult,Residential Care,1308 Alward St,Prince George,V2M 7B1,(250)649-7573,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0CC60930EF4AB95688257B67007C26D6,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,Y,20,N,,N,,N,,N,,N,,-122.7663809,53.9110183
AIMHI Prince George Association For Community Living,Ospika Residence,Residential Care,2690 Ospika Blvd S,Prince George,V2N 2L8,(250)562-0861,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=88D73B1C633D063B88256A9A0079B616,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,10,N,,-122.7881355,53.893634
Northern Health Authority,Parkside Intermediate Care Home,Residential Care,788 Ospika Blvd,Prince George,V2M 6W5,(250)563-1916,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=18FC09667FDA7E5188256A9A0079B850,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,61,N,,Y,61,N,,N,,-122.7942744,53.917764
Northern Health Authority,Peace Villa,Residential Care,8407 112 Ave,Fort St. John,V1J 0J5,(250)774-8100,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=170E3E7DDA056BC307257A1B0058D651,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,124,N,,N,,-120.8161127,56.2560542
Prince George Brain Injured Group,Quince Street Residence,Residential Care,2012 Quince St,Prince George,V2L 5B4,(250)562-6265,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=300FCF3F192DBD4E88256A9A0079B6AE,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,5,Y,5,-122.7531681,53.9052179
Quesnel Community Living,Racing Residence,Residential Care,464 Racing Rd,Quesnel,V2J 5G9,(250)747-0025,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=882569FC0002559788256A7A006D18F5,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,10,N,,-122.4493146,52.9849646
AIMHI Prince George Association For Community Living,Radcliffe Residence,Residential Care,501 Radcliffe Dr,Prince George,V2M 3N5,(250)562-6407,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=324296BEEB41D99E88256A9A0079B8CD,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,10,N,,-122.7936192,53.9284291
Northern Health Authority,Rainbow Lodge,Residential Care,1000 Liard Dr,Prince George,V2M 3Z3,(250)645-64253,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=AE05741373CBDD31882579E60076DFE3,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,19,N,,N,,-122.7899305,53.9142758
Prince George Hospice Society,Rotary Hospice House,Residential Care,3089 Clapperton St,Prince George,V2L 5N4,(250)563-2481,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0336C8C26F8C6DA588256A9A0079B885,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,10,N,,N,,Y,5,N,,-122.7562025,53.8896297
Northern Health Authority,Rotary Manor,Residential Care,1121 90 Ave,Dawson Creek,V1G 5A3,(250)719-3480,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=696098ED982EF6FB88256C380065E17D,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,44,N,,Y,115,N,,N,,-120.2357358,55.7729601
"Bowe, Leanne",Ryz's Supportive Living Services,Residential Care,404 100 Ave,Dawson Creek,V1G 1V7,(250)219-3171,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A9FFE2E36EB5165B072576C00071FC71,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,6,N,,-120.2179821,55.7616196
Thompson Community Services Inc.,Scott Home,Residential Care,4830 Scott Ave,Terrace,V8G 2B6,(250)635-9800,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DAC0855B5F8B9F038825751A0066B3C5,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,5,N,,-128.603921,54.5235443
South Peace Community Resources Society,Serenity House,Residential Care,1311 106 Ave,Dawson Creek,V1G 2P2,(250)782-9174 ext 227,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3A6E78A93BC325E107257BB00054DEB9,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,3,N,,-120.2391598,55.7561362
AIMHI Prince George Association For Community Living,St Catherine's Community Home,Residential Care,6899 O'Grady Rd,Prince George,V2N 4Z1,(250)964-2033,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E3AC403A6238CF768825844D000F6507,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,9,N,,-122.7796175,53.8601203
Northern Health Authority,Stuart Nechako Manor,Residential Care,3277 Hospital Rd,Vanderhoof,V0J 3A0,(250)567-2013,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=27F78D213A880B7588256FC7007FD895,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,53,N,,Y,53,N,,N,,-124.0092708,54.0288937
Northern Health Authority - Terrace and Kitimat,Terraceview Lodge,Residential Care,4707 Kerby Ave,Terrace,V8G 2W2,(250)631-4180,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=6915777E425764E988256DF90062E4CD,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,99,N,,Y,99,N,,N,,-128.5941273,54.5328428
Connexus Community Resources,Valley View Residence,Residential Care,143 5th St W,Vanderhoof,V0J 3A0,(250)567-5874,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E7887B1E6CBDEF29882578DC0062ED41,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-124.0097523,54.0105668
Vancouver Resource Society,Duke House,Residential Care,2707 Duke St ,Vancouver,V5R 4S8,(604) 439-0980,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,5,-123.0497683,49.2393317
Cheshire Homes Society of B.C.,King Edward House,Residential Care,820 E King Edward Ave ,Vancouver,V5V 2E4,(604) 872-1120,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,6,-123.0870448,49.2483529
L & T Services Ltd.,Collingwood House,Residential Care,3626 Monmouth Ave ,Vancouver,V5R 5S3,(604) 454-0637,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,11,-123.026247,49.2393253
Vancouver Resource Society,Carolina House,Residential Care,4096 Carolina St ,Vancouver,V5V 4B7,(604) 874-5433,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,5,-123.0917117,49.2488302
Saltgrass Health Inc. ,Leaside Place,Residential Care,1807 E 64th Ave ,Vancouver,V5P 2M9,(604) 323-9117,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,6,-123.068935,49.2121813
L & T Services Ltd.,Gladstone House ( L & T Services),Residential Care,2182 E 30th Ave ,Vancouver,V5N 3A6,(604) 431-2960,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,11,-123.0635011,49.2429944
Vancouver Resource Society,East 36th House,Residential Care,325 E 36th Ave ,Vancouver,V5W 1C5,(604) 321-1661,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,4,-123.0986843,49.2383527
Vancouver Resource Society,Tanner House,Residential Care,3402 E 29th Ave ,Vancouver,V5R 1W7,(604) 436-3894,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,5,-123.0313165,49.2442213
Marilyn Senador,Jasper Crescent Care Home,Residential Care,7887 Jasper Cres ,Vancouver,V5P 3T2,(604) 324-9111,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,8,-123.0665302,49.212233
Thompson Community Services,Plymouth Group Home,Residential Care,972 Plymouth Dr ,North Vancouver,V7H 2J1,(604) 929-8468,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-122.9920303,49.3147181
Sunshine Coast Association for Community Living,Turnstone,Residential Care,5910 Turnstone Crescent ,Sechelt,V0N 3A6,(604) 885-7457,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-123.7681431,49.4827669
Thompson Community Services,Milford Home,Residential Care,10420 Milford Dr ,Richmond,V7A 4J7,(604) 277-9599,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1151772,49.139108
Inclusion Powell River Society,Nelson Residence,Residential Care,5534 Nelson Avenue ,Powell River,V8A 4C8,(604) 483-3293,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5253194,49.8660534
Inclusion Powell River Society,Joyce Avenue Residence,Residential Care,4000 Joyce Avenue ,Powell River,V8A 2Z5,604-485-4567,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5201111,49.8240786
Vancouver Resource Society,West 63rd Home,Residential Care,369 W 63rd Ave ,Vancouver,V5X 2J1,(604) 322-0994,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1139356,49.2134497
North Shore Disability Resource Centre Association,Shone House,Residential Care,4060 Shone Rd ,North Vancouver,V7G 2N4,(604) 924-1963,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-122.9593032,49.3187921
North Shore Connexions Society,Barlynn House,Residential Care,1240 Barlynn Crescent ,North Vancouver,V7J 1P6,604-988-2685,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0398721,49.3286133
Saint Elizabeth Health Care,Khyaht Ayahm,Residential Care,3895 Phyllis Rd ,North Vancouver,V7K 2T7,(604) 980-0765,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0237407,49.3445718
Developmental Disabilities Association of Vancouver-Richmond,East 45th Group Home,Residential Care,2639 E 45th Ave ,Vancouver,V5R 3B9,(604) 437-0933,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0525228,49.2296873
Richmond Society for Community Living,Muscroft House,Residential Care,4433 Francis Road ,Richmond,V7C 1J8,(604) 275-2390,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1746239,49.148604
North Shore Connexions Society,Walpole House,Residential Care,2597 Walpole Crescent ,North Vancouver,V7H 1K6,604-929-1457,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0014172,49.3216264
Developmental Disabilities Association of Vancouver-Richmond,6699 Arlington,Residential Care,6699 Arlington St ,Vancouver,V5S 3P1,(604) 435-5713,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,10,N,,-123.029704,49.2218559
Strive Living Society,Windridge House,Residential Care,2209 Windridge Dr ,North Vancouver,V7H 1B6,(604) 924-1656,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0142042,49.3097667
