FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,INCIDENT_OUTBREAK_100_CAT,INFRACTION_DISEASE_CAT
CareLife Fleetwood,9A5AD,Fraser Health,HA,8265 159th Street,Surrey,V4N5T5,Hospital Act,Unknown,3.78,0.4,4.19,3.78,0.4,4.18,191,167,12,0,1,0,1,0,3,0,0,1,1,0,0.5,0,1.6,0,0,0.5,0.5,0,80,60.70%,47.50%,16.30%,"1,111",12.90%,43.50%,29.60%,37.50%,7.80%,2.3,57.90%,0.67,26.60%,47.60%,21.70%,43.10%,22.30%,4.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1527,-122.7822,,,0,TRUE,FALSE,0,>0,0
Cariboo Place,93GGE,Interior Health,PFP,185 Fourth Ave N,Williams Lake,V2G2C8,Community Care & Assisted Living Act,Accredited,,,,,,,72,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1311279,-122.141753,,,0,TRUE,TRUE,0.027777778,unknown,0
Carlton Gardens Care Centre,99FE5,Fraser Health,PFP,4108 Norfolk Street,Burnaby,V5G0B4,Community Care & Assisted Living Act,Accredited,2.53,0.29,2.82,3,0.36,3.36,128,120,4,0,0,0,2,1,12,0,0,1,0,2,1.6,0.8,9.4,0,0,0.8,0,1.6,84,67.60%,53.50%,1.80%,723,7.50%,26.60%,25.50%,70.70%,21.20%,1.8,69.20%,0.55,1.90%,4.00%,0.20%,47.50%,27.30%,4.60%,3,6,0,0,2,1,0,1,0,0,0,2,0,0,49.2550436,-123.0128497,,,0,TRUE,TRUE,0.0859375,>0,>0
Cartier House Seniors Community,992EJ,Fraser Health,PFP,1419 Cartier St,Coquitlam,V3K2C6,Community Care & Assisted Living Act,Unknown,2.43,0.3,2.73,2.67,0.3,2.97,78,30,24,0,1,1,2,1,8,0,0,0,0,0,2.6,1.3,10.3,0,0,0,0,0,88,83.10%,68.80%,1.60%,346,40.20%,24.80%,26.70%,74.30%,10.60%,2.6,51.10%,0.59,4.20%,27.30%,0.60%,49.20%,23.70%,8.30%,2,5,0,1,3,1,0,0,0,0,0,0,0,0,49.28317715,-122.787349,,,0,TRUE,TRUE,0,>0,0
Castleview Care Centre,9C017,Interior Health,PFP,2300 14th Ave.,Castlegar,V1N4A6,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,3,0.35,3.35,61,61,0,0,0,0,1,0,7,0,0,1,1,1,1.6,0,11.5,0,0,1.6,1.6,1.6,85,68.20%,57.10%,2.50%,722,39.70%,15.40%,18.40%,87.50%,5.10%,3.8,16.20%,0.57,76.50%,57.40%,0.00%,59.60%,10.60%,0.00%,1,2,0,1,0,0,1,0,0,0,0,0,0,0,49.2881065,-117.6624447,,,0,TRUE,TRUE,0.262295082,>0,0
Cedarview Lodge,9AF9E,Vancouver Coastal Health,HA,1200 Cedar Village Close,North Vancouver,V7J3P3,Community Care & Assisted Living Act,Accredited,2.8,0.24,3.04,2.8,0.24,3.04,89,89,0,0,0,0,0,0,6,0,0,2,0,0,0,0,6.7,0,0,2.2,0,0,84,64.20%,54.10%,2.30%,968,22.40%,33.30%,45.80%,81.60%,7.50%,2.3,62.30%,0.54,3.40%,54.20%,2.20%,68.20%,49.70%,13.50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.326053,-123.04,,,0,TRUE,TRUE,0,0,0
Central City Lodge,99A78,Vancouver Coastal Health,PNP,415 West Pender St,Vancouver,V6B1V2,Community Care & Assisted Living Act,Not Accredited,2.59,0.32,2.91,2.89,0.32,3.21,100,84,8,0,0,0,2,0,5,2,0,3,1,1,2,0,5,2,0,3,1,1,70,19.70%,6.70%,30.90%,"1,481",32.00%,15.60%,24.20%,52.80%,9.50%,3,39.10%,0.54,19.80%,65.30%,7.30%,58.90%,34.20%,9.20%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2831332,-123.1119351,1,0,1,TRUE,FALSE,0,>0,0
Cerwydden Seniors Community,9244A,Vancouver Island Health,PFP,3243 Cowichan Lake R,Duncan,V9L4B8,Community Care & Assisted Living Act,Unknown,3.02,0.12,3.14,3.03,0.13,3.16,56,44,6,0,1,1,1,1,9,0,0,1,0,0,1.8,1.8,16.1,0,0,1.8,0,0,87,79.20%,63.80%,3.30%,839,17.80%,22.20%,22.70%,61.80%,7.60%,2.6,48.90%,0.57,1.30%,0.00%,0.40%,51.60%,17.10%,2.50%,4,2,0,1,0,0,0,0,1,0,0,0,0,0,48.77872,-123.69876,,,0,TRUE,TRUE,0.071428571,>0,0
Chemainus Health Care Centre,9BF66,Vancouver Island Health,HA,9909 Esplanade Street,Chemainus,V0R1K1,Hospital Act,Accredited,2.81,0.35,3.16,2.81,0.35,3.16,75,55,10,0,1,0,,,,,,,,,,,,,,,,,86,80.30%,64.90%,4.00%,808,25.70%,33.30%,26.00%,65.30%,4.00%,3.5,35.30%,0.58,29.00%,0.30%,9.30%,66.30%,18.10%,7.40%,1,2,0,1,0,0,1,0,0,0,0,0,0,0,48.927226,-123.715913,,,0,TRUE,TRUE,0,unknown,0
Cherington Place,9B889,Fraser Health,PFP,13453 111A Ave,Surrey,V3R2C5,Community Care & Assisted Living Act,Unknown,2.47,0.31,2.79,2.64,0.31,2.95,75,33,21,0,3,1,1,0,4,0,0,0,0,1,1.3,0,5.3,0,0,0,0,1.3,87,72.30%,65.90%,1.80%,353,20.70%,20.70%,25.40%,68.20%,5.70%,3.6,27.50%,0.56,1.30%,20.40%,0.70%,43.50%,16.00%,5.10%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,49.205653,-122.849334,,,0,TRUE,FALSE,0,>0,0
