Up to date as of 23h July 21,,,,,,,,,,
Deaths in Canadian LTC facilities,Questions or additions: nora.loreto@gmail.com | Attribution to Nora Loreto please. ,,,,,,,,,
Facility,Location,Prov.,Number of dead,Number of beds (appx),%,Public or private,Owners,Union,,
CHSLD Benjamin-Victor-Rousselot,Montreal,QC,54,157,34.39%,Public,,,,
CHSLD Jean-Hubert-Biermans,Montreal,QC,54,203,26.60%,Public,,,,
Centre d'hébergement Cloutier-du Rivage,Trois-Rivières,QC,53,179,29.61%,Public,,,,
Centre d'hébergement l'éden de Laval Inc.,Laval,QC,53,152,34.87%,Private,Centre d'hébergement l'éden de Laval Inc.,,,
Altamont Care Community,Scarborough,ON,53,159,33.33%,"Private, for profit",Vigour General Partner Inc.,ONA,,
Northwood Manor,Halifax,NS,53,485,10.93%,"Private, not for profit",Northwood foundation,Unifor,,
Résidence Herron,Dorval,QC,51,139,36.69%,"Private, for profit",Katasa,,https://katasa.ca/,
Forest Heights Revera,Waterloo,ON,51,240,21.25%,"Public, for profit",Revera,ONA,https://reveraliving.com/en/about-us,
CHSLD Jeanne-LeBer,Montreal,QC,50,351,14.25%,Public,,,,
Résidences Intermediere not listed here,Quebec   ,QC,49,,,,,,,
Madonna Care Community,"Orleans, ON",ON,49,160,30.63%,"Private, for profit","The Royale Development Lp, Sienna Seniors Living mgmt",ONA,,
Extendicare Guildwood,Scarborough,ON,48,169,28.40%,"Private, for profit",Extendicare,,,
Hawthorne Place Care Centre,North York,ON,48,269,17.84%,"Private, for profit",Rykka Care Centres (owned by Responsive Group),ONA,,
Isabel and Arthur Meighen Manor,Toronto,ON,48,168,28.57%,"Private, not for profit",Salvation Army,ONA,,
Hopital de Lasalle,Montreal,QC,48,115,41.74%,Public,,,,
CHSLD Auclair,Montreal,QC,45,160,28.13%,Public,,,,
CHSLD de Saint-Laurent,Montreal,QC,45,,#DIV/0!,Public,,,,
Centre multiservices de santé et de services sociaux Laflèche,Shawinigan,QC,44,154,28.57%,Public,,,,
CHSLD la Pinière,Laval,QC,42,100,42.00%,Public,,,,
CHSLD de la Rive ,Laval,QC,42,94,44.68%,"Private, not subsidized",,,,
Centre d'hébergement des Seigneurs,Montreal,QC,42,168,25.00%,Public,,,,
Eatonville Care Centre,Etobicoke,ON,42,247,17.00%,"Private, for profit",Rykka Care Centres (owned by Responsive Group),ONA   ,,
Midland Gardens Care Community,Scarborough,ON,42,299,14.05%,"Private, for profit",Sienna Senior Living,,,
Seven Oaks,Scarborough,ON,41,249,16.47%,Public,,CUPE,,
Jardins du Haut Saint-Laurent,Saint-Augustin-de-Desmaures,QC,41,,,"Private, not subsidized",,,,
CHSLD Hope,Montreal,QC,40,160,25.00%,Public,,,,
CHSLD Paul-Lizotte,Montreal,QC,40,128,31.25%,Public,,,,
Jeffery Hale / Saint Brigid’s*,Quebec City,QC,40,99,40.40%,Public,,,,* Hospital and LTC facility 
CHSLD Henriette-Céré,Saint-Hubert,QC,38,,#DIV/0!,Public,,,,
Centre Hospitalier Geriatrique Maimonides,Cote St-Luc,QC,37,,#DIV/0!,Public,,,,
Centre d'hébergement Hôpital général de Québec,Quebec City,QC,37,,#DIV/0!,Public,,,,
Centre d'hébergement Nazaire-Piché,Montreal,QC,36,100,36.00%,Public,,,,
River Glen Haven Nursing Home,Sutton West,ON,36,120,30.00%,"Private, for profit",Atk Care Inc.,,,
Centre le Cardinal,Montreal,QC,36,174,20.69%,Private,,,,
Centre d'hébergement de Verdun,Montreal,QC,35,,#DIV/0!,Public,,,,
Centre d'hebergement Louis-RIel,Montreal,QC,35,100,35.00%,Public,,,,
Humber Valley Terrace,Etobicoke,ON,35,158,22.15%,"Private, for profit",Revera,,,
CHSLD de Saint-Lambert-sur-le-Golf,Saint-Lambert,QC,35,200,17.50%,"Private, not subsidized",CHSLD Saint-Lambert-sur-le-Golf Inc.,,,
CHSLD Éloria-Lepage,Montreal,QC,34,156,21.79%,Public,,,,
Weston Terrace Care Community,Toronto,ON,34,224,15.18%,"Private, for profit",2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,,
CHSLD Alfred-Desrochers ,Montreal,QC,33,125,26.40%,Public,,,,
Chartwell Ballycliffe Long-Term Care,Ajax,ON,33,100,33.00%,"Private, for profit",Chartwell,ONA,,
Mon Sheong,Toronto,ON,33,105,31.43%,"Private, not for profit",Mon Sheong Foundation,ONA  ,,
Résidence de la Salle,Laval,QC,33,82,40.24%,Private,,,,
CHSLD Robert-Cliche,Montreal,QC,32,100,32.00%,Public,,,,
Villa Colombo Home for the Aged,Toronto,ON,32,391,8.18%,,,,,
Ina Grafton Gage Villa Retirement,Scarborough,ON,31,128,24.22%,"Private, not for profit","Ina Grafton Gage Home Of Toronto, operated by the Responsive group",,,
Montfort Long-term Care Centre,Ottawa,ON,31,126,24.60%,"Private, for profit",Revera,"ONA, CUPE",,
Résidence Angelica inc.,Montreal,QC,31,90,34.44%,"Private, not for profit",Communauté des Sœurs de Charité de Sainte-Marie.,,,
Woodbridge Vista Care Community,Woodbridge,ON,31,224,13.84%,"Private, for profit",Sienna Senior Living,,,
Centre d'hébergement Réal-Morel,Montreal,QC,30,144,20.83%,Public,,,,
Almonte Country Haven,"Almonte, ON",ON,30,82,36.59%,"Private, for profit",0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,"ONA, UFCW",http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2692&tab=1,
Pinecrest Nursing Home*,"Bobcaygeon, ON",ON,30,65,46.15%,"Private, for profit",Medlaw Corporation Limited,,Medlaw Corporation Limited,*includes one volunteer who was not a resident
West Park Long Term Care Centre,Toronto,ON,30,200,15.00%,"Private, not for profit",Extendicare (Owner West Park Care Centre Inc),ONA,,
Centre d'hébergement Champlain,Montreal,QC,29,,#DIV/0!,Public,,,,
CHSLD de Saint-Michel,Montreal,QC,28,190,14.74%,Public,,,,
Centre d'hebergement Denis Benjamin Viger,Montreal,QC,28,,#DIV/0!,Public,,,,
CHSLD Paul-Gouin,Montreal,QC,27,100,27.00%,Public,,,,
Anson Place Care Centre,"Hagersville, ON",ON,27,121,22.31%,"Private, for profit",Rykka Care Centres (owned by Responsive Group),ONA,,
Langley Lodge,Langley,BC,26,121,21.49%,"Private, not for profit",,,,
Extendicare Laurier Manor,Gloucester,ON,25,242,10.33%,"Private, for profit",New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],ONA,,
Heron Terrace Long Term Care Community,Windsor,ON,25,140,17.86%,"Private, for profit",S & R Nursing Homes Ltd.,"ONA, Unifor",,
Centre d'hébergement du Boisé Sainte-Thérèse,Sainte-Thérèse,QC,24,130,18.46%,"Private, not subsidized",,,,
Centre d'hébergement Fernand-Larocque,Laval,QC,24,98,24.49%,Public,,,,
CHSLD Nicolet,Montreal,QC,24,,#DIV/0!,Public,,,,
Cooksville Care Centre,Mississauga,ON,24,,#DIV/0!,,,,,
Résidence Domaine des Forges inc.,Laval,QC,24,,#DIV/0!,Private,,,,
Résidence Ste-Rose,Laval,QC,24,170,14.12%,Private,,,,
Centre d'hébergement Saint Andrew,Montreal,QC,23,70,32.86%,Public,,,,
CHSLD du Chevalier de Lévis,Longeuil,QC,23,,,,,,,
CHSLD Valeo,Saint-Lambert,QC,23,,#DIV/0!,,,,,
CHSLD Cartierville,Montreal,QC,22,,#DIV/0!,Public,,,,
CHSLD Saint-Georges,Montreal,QC,22,,#DIV/0!,,,,,
CHSLD des Moulins,Terrebonne,QC,22,102,21.57%,,Groupe Santé Arbec Inc.,,,
Chartwell Westbury Long Term Care,Etobicoke,ON,22,187,11.76%,"Private, for profit",Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,"ONA, UBSCJA",,
The Village of Humber Heights - LTC,Etobicoke,ON,22,192,11.46%,"Private, for profit",Schlegel Villiages,,,
Centre d'hébergement de la Colline,Chicoutimi,QC,21,,#DIV/0!,Public,,,https://publications.msss.gouv.qc.ca/msss/fichiers/visites-evaluation/region02/PA_RSS_02_CH_de_la_Colline_RC2.pdf,
CHSLD Le Royer,Montreal,QC,21,,#DIV/0!,,,,,
CHSLD des Floralies de LaSalle,LaSalle,QC,21,78,26.92%,"Private, not subsidized",,,,
CHSLD Bourget,Montreal,QC,21,,#DIV/0!,,,,,
La Résidence Du Bonheur,Laval,QC,21,50,42.00%,,,,,
Erin Mills Lodge,Mississauga,ON,21,86,24.42%,"Private, for profit",Schlegel Villages,,,
Shelburne Residence Retirement and Nursing Home,"Shelburne, ON",ON,21,60,35.00%,"Private, for profit",Southbridge Health Care,,,
The Village of Erin Meadows,Mississauga,ON,21,180,11.67%,"Private, for profit",Schlegel Villiages,,,
McKenzie Towne Continuing Care Centre,Calgary,AB,21,150,14.00%,"Public, for profit",Revera,,https://reveraliving.com/en/about-us,
Extendicare Hillcrest,Calgary,AB,21,,#DIV/0!,"Private, for profit",,,,
La Maison Dauphinelle,Saint-Basile-le-Grand,QC,21,35,60.00%,,,,,
Résidence Marie-Clothilde,Joliette,QC,21,,#DIV/0!,Private,,,,
Centre d'hébergement Champlain-de-Gouin,Montreal,QC,21,93,22.58%,,,,,
Centre d'hébergement Ernest-Routhier,Montreal,QC,21,,#DIV/0!,,,,,
Manoir St-Patrice,Laval,QC,20,,#DIV/0!,,,,,
CHLSD Bayview,Montreal,QC,20,,#DIV/0!,,,,,
Royal Rose Place,Welland,ON,20,96,20.83%,"Private, for profit",859530 Ontario Inc. (Operating As Jarlette Health Services),ONA,,
Villa Colombo Vaughan Di Poce Centre,Kleinburg,ON,20,160,12.50%,"Private, not for profit",Villa Colombo Homes For The Aged Inc.,,,
Lynn Valley Care Centre,North Vancouver,BC,20,204,9.80%,Private,,,,
High River Long Term Care,"High River, AB",AB,20,50,40.00%,Public,,,,
Jardins Intérieurs,Saint-Lambert,QC,20,,#DIV/0!,Private,,,,
CHSLD Vigi de Pierrefonds,Montreal,QC,19,,#DIV/0!,,,,,
Manoir Harwood,Vaudreuil-Dorion,QC,19,51,37.25%,"Private, not subsidized",2863-9839 Québec Inc.,,,
Country Village Homes ,Woodslee,ON,19,104,18.27%,"Private, for profit",Managed by Kanata Living (owned by Southbridge),,,
Rekai Centre (Sherbourne),Toronto,ON,19,126,15.08%,"Private, not for profit",Rekai cenntres,,,
Maison l’Étincelle,Montreal,QC,19,,#DIV/0!,,,,,
Résidence Le Vivalis,Pointe Claire,QC,19,,#DIV/0!,Private,Excelsoins,,,
Lundy Manor,Niagara Falls,ON,19,95,20.00%,"Private, for profit",Oxford Living Retirement Residence,,,
Centre d'hébergement J.-Henri-Charbonneau,Montreal,QC,18,,#DIV/0!,,,,,
Elm Grove Living Centre,Toronto,ON,18,126,14.29%,"Private, for profit",Elm Grove Living Centre Inc.,,,
Markhaven Home for Seniors,Markham,ON,18,96,18.75%,"Private, not for profit","Markhaven, Inc.",,,
Trinity Village LTC,Kitchener,ON,18,150,12.00%,"Private, not for profit",Lutheran,Unifor,,
Wellesley Central Place,Toronto,ON,18,150,12.00%,"Private, not for profit",Rekai centre,,,
Intercare Brentwood,Calgary,AB,18,,#DIV/0!,"Private, for profit",,,,
CHSLD Émile McDuff,Lanaudière,QC,18,102,17.65%,"Private, not subsidized",Groupe Santé Arbec Inc.,,,
Résidence Les Ficelles RI,Laval,QC,17,93,18.28%,,,,,
CHSLD Lionel-Émond ,Gatineau,QC,17,,#DIV/0!,,,,,
ReachView Village,Uxbridge,ON,17,100,17.00%,"Public, for profit",Revera,,,
Résidence Floralies de LaSalle Inc,Montreal,QC,17,126,13.49%,,,,,
SEC Amblance IDS,Montreal,QC,17,,#DIV/0!,,,,,
Centre d'hébergement de la Maison-Saint-Joseph,Montreal,QC,17,,#DIV/0!,,,,,
Centre d'hébergement de Dorval,Dorval,QC,16,,#DIV/0!,,,,,
CHSLD Vigi Reine-Elizabeth,Montreal,QC,16,,#DIV/0!,,,,,
CHSLD Légaré ,Montreal,QC,16,,#DIV/0!,,,,,
Centre d'hébergement Henri-Bradet,Montreal,QC,16,,#DIV/0!,,,,,
Élisabeth-Bruyère Residence,Ottawa,ON,16,,#DIV/0!,,,,,
Harold and Grace Baker centre,Toronto,ON,16,120,13.33%,"Private, not for profit",Revera,ONA,,
Kipling Acres,Toronto,ON,16,,#DIV/0!,Public,,CUPE,,
The Village of Humber Heights - RH,Etobicoke,ON,16,250,6.40%,"Private, for profit",Schlegel Villages,,https://www.rankandfile.ca/schlegel-villages-long-term-care/?fbclid=IwAR3FqP0K9OpEJd6mqlydWUIpF-DXylihEZctFGnlFhcZWOHEyaX6pFViMas,
Rosslyn Retirement Residence,Hamilton,ON,16,64,25.00%,,,,,
Les Résidences Quatres Saisons - Résidence Bellerive,Salaberry-de-Valleyfield,QC,16,,#DIV/0!,,,,,
Centre d'hébergement Alphonse-Rondeau,Lanoraie,QC,15,,#DIV/0!,,,,,
Centre d'hébergement de Repentigny,Repentigny,QC,15,,#DIV/0!,,,,,
Centre d'hébergement Émilie-Gamelin,Montreal,QC,15,,#DIV/0!,,,,,
Centre d'hébergement Paul-Triquet,Quebec City,QC,15,,#DIV/0!,,,,,
CHSLD Saint-Joseph-de-la-Providence,Montreal,QC,15,,#DIV/0!,,,,,
La Maison des Aîne(e)s,Salaberry-de-Valleyfield,QC,15,,#DIV/0!,,,,,
Résidence Notre-Dame-de-la-Paix,Verdun,QC,15,110,13.64%,,,,,
Hellenic Home,Scarborough,ON,15,128,11.72%,"Private, not for profit",,,,
Mackenzie Place Long-term Care Home,Newmarket,ON,15,93,16.13%,"Private, for profit",Revera,,,
CHSLD Champlain,Brossard,QC,15,,,,,,,
Les Jardins Gordon,Montreal,QC,15,,#DIV/0!,,,,,
Château Beaurivage,Montreal North,QC,15,,#DIV/0!,,,,,
Jardins d’Évangéline,Quebec City,QC,15,,#DIV/0!,"Private,",Groupe Lokia,,,
Holy Family Hospital long term care unit,Vancouver,BC,15,126,,,Providence Health care,,,
CHSLD L.-B. Desjardins,Saint-Sauveur,QC,15,,,,,,,
Résidence La Luciole RI,Laval,QC,14,149,9.40%,,,,,
Centre d'hébergement Paul-Émile-Léger,Montreal,QC,14,,#DIV/0!,,,,,
Burton Manor,Brampton,ON,14,128,10.94%,"Private, for profit",,"CUPE, ONA",,
Extendicare Bayview,Toronto,ON,14,205,6.83%,"Private, for profit",Extendicare (Canada) Inc.,,,
Extendicare Scarborough,Scarborough,ON,14,154,9.09%,"Private, for profit",,,,
Hillsdale Terraces,Oshawa,ON,14,200,7.00%,Public,,ONA,,
Owen Hill Care Community,Barrie,ON,14,57,24.56%,,,,,
Centre d'hébergement de l'Hôtel-Dieu-de-Saint-Hyacinthe,Saint-Hyacinthe,QC,14,,,,,,,
Manoir Joie de vivre RI,Sainte-Thérèse,QC,14,53,26.42%,,,,,
Place Lacordaire,Saint-Lambert,QC,14,,#DIV/0!,,,,,
CHSLD Le Faubourg,Quebec City,QC,14,,#DIV/0!,Public,,,,
Centre d'hébergement Saint-Antoine-de-Padoue,Saint-Lin,QC,13,,#DIV/0!,,,,,
CHSLD Mgr Paquin ,Saint-Tite,QC,13,,#DIV/0!,Public,,,,
Centre d'hébergement St-Margaret (CHSLD),Montreal,QC,13,,#DIV/0!,,,,,
Lev Tov Residence RI,Montreal,QC,13,87,14.94%,,,,,
Résidence Wilfrid-Grignon,Ste-Adele,QC,13,75,17.33%,,,,,
Villa Leonardo Gambin,Woodbridge,ON,13,168,7.74%,"Private, not for profit",Friuli Long Term Care,LiUNA,,
Haro Park,Vancouver,BC,13,,#DIV/0!,"Private, not for profit",,,,
Héritage Plateau,Montreal,QC,13,,#DIV/0!,,,,,
Résidence les Tours Gouin,Montreal,QC,13,,#DIV/0!,,,,,
Hopital de Launaudière et CHSLD Parphilia-Ferland,Saint-Charles-Borromée,QC,13,,#DIV/0!,,,,,
Centre d'hébergement Lucien G.-Rolland ,St-Jerôme,QC,12,,#DIV/0!,,,,,
Les Pavillons LaSalle RI,Montreal,QC,12,183,6.56%,,,,,
Bradford Valley,"Bradford, ON",ON,12,246,4.88%,"Private, for profit",Specialty Care - Bradford Inc.,,,
Chartwell White Eagle,Toronto,ON,12,57,21.05%,"Private, for profit",Chartwell Master Care Lp,,,
Grace Manor,Brampton,ON,12,120,10.00%,"Private, not for profit",Holland Christian Homes Inc.,,,
Lakeshore Lodge Nursing Home,Toronto,ON,12,150,8.00%,Public,,,,
Perley and Rideau Veterans' Health Centre,Ottawa,ON,12,450,2.67%,"Private, not for profit",,"CUPE, ONA",,
Villa Forum,Mississauga,ON,12,160,7.50%,"Private, not for profit",Villa Forum,ONA,,
Royal Arch Masonic Home,Vancouver,BC,12,,#DIV/0!,"Private, not for profit",,,,
Centre d'hébergement Armand-Lavergne,Montreal,QC,12,,#DIV/0!,,,,,
Les résidences soleil Manoir St-Léonard,Montreal,QC,12,,#DIV/0!,,,,,
La Maison Dauphinelle RI,Saint-Basile-le-Grand,QC,11,52,21.15%,,,,,
Centre d'hébergement de Saint-Jacques,Sainte-Marie-Salomé,QC,11,,#DIV/0!,,,,,
Centre Multiservices de santé et de services sociaux St-Joseph,Trois-Rivières,QC,11,,,,,,,
CHSLD de la Petite-Patrie,Montreal,QC,11,96,11.46%,,,,,
CHSLD des floralies-de-lachine,Montreal,QC,11,,#DIV/0!,"Private, not subsidized",,,,
CHSLD Judith-Jasmin,Montreal,QC,11,75,14.67%,,,,,
CHSLD Providence Notre-Dame-de-Lourdes,Montreal,QC,11,,#DIV/0!,"Private, subsidized",,,,
Chartwell Aurora Long-Term Care Home,Aurora,ON,11,235,4.68%,"Private, for profit",Chartwell,,,
Kristus Darzs Latvian Home,Woodbridge,ON,11,100,11.00%,"Private, not for profit",,CUPE,,
Pinecrest,Plantagenet,ON,11,,#DIV/0!,,,,,
Résidence St-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,QC,11,33,33.33%,,,,,
Résidence Ville-Marie,Montreal,QC,11,,#DIV/0!,,,,,
La Touellière et Les Cotonniers,Salaberry-de-Valleyfield,QC,11,,#DIV/0!,,,,,
CHSLD Les Cèdres,Saint-Laurent,QC,11,,#DIV/0!,Private,,,,
Pavillon Marie-Victorin,Longeuil,QC,10,37,27.03%,,,,,
CHSLD Kastner,Montreal,QC,10,,#DIV/0!,,,,,
Vision Nursing Home,Sarnia,ON,10,146,6.85%,"Private, not for profit",Operated by Vision ’74 Inc,,,
Manoir Marochel,Ottawa,ON,10,,#DIV/0!,,,,,
Ukranian Canadian Care Centre,Etobicoke,ON,10,152,6.58%,,,,,
Manoir du Lac centre,"McLennan, AB",AB,10,,#DIV/0!,"Private, for profit",,,,
Jardin de la Patrie,Montreal,QC,10,,#DIV/0!,,,,,
Manoir des Îles,Vaudreuil-Dorion,QC,10,,,,,,,
Résidence Élogia,Montreal,QC,10,,,,,,,
Résidence La Rosière inc.,Sainte-Julie,QC,10,,#DIV/0!,,,,,
Les Jardins de Renoir/Le Renoir,Laval,QC,10,,,,,,,
Mountainview Residence,"Georgetown, ON",ON,10,,#DIV/0!,,,,retirement residence,
Garden Court Nursing Home,Etobicoke,ON,10,45,22.22%,,,,,
CHSLD Saint-Jerôme,St-Jerôme,QC,10,,#DIV/0!,,,,,
CHSLD Manoir de Verdun,Verdun,QC,9,,#DIV/0!,,,,,
CHSLD Michèle-Bohec,Blainville,QC,9,105,8.57%,"Private, not subsidized",Groupe Santé Arbec Inc.,,,
CHSLD Sainte-Rose,Laval,QC,9,,#DIV/0!,,,,,
Residence Ciel Bleu RI,Montreal,QC,9,104,8.65%,,,,,
AR Goudie LTC,Kitchener,ON,9,80,11.25%,"Private, not for profit",Peoplecare Not-for-profit Homes Inc.,Unifor,,
Chartwell Gibson Long Term Care Residence,North York,ON,9,202,4.46%,"Private, for profit",Chartwell,ONA,,
Residence St. Louis ,Ottawa,ON,9,198,4.55%,"Private, not for profit",,ONA,,
Les Jardins Latourelle,Louiseville,QC,9,,#DIV/0!,,,,,
Résidence Beauharnois,Beauharnois,QC,9,,#DIV/0!,,,,,
Résidence Notre-Dame de la Victoire,Saint-Hubert,QC,9,,#DIV/0!,Private,,,,
Cardinal Retirement,Hamilton,ON,9,,#DIV/0!,"Private, for profit",Roger Channa,,,
The Kensington Gardens,Toronto,ON,9,350,2.57%,"Private, not for profit",The Kensington Health Centre,CUPE,,
CHSLD Polonais Marie-Curie-Sklodowska,Montreal,QC,9,,,,,,,
Westmount One,Montreal,QC,9,,#DIV/0!,,,,,
Good Samaritan Southgate Care Centre,Edmonton,AB,9,,,,,,,
CHSLD de Saint-Jérôme,Saint-Jérôme,QC,8,,#DIV/0!,,,,,
St. Clair O’Connor Community Care,East York,ON,8,25,32.00%,"Private, not for profit",St. Clair O'connor Community Inc.,,,
Stoneridge Manor,Carleton Place,ON,8,60,13.33%,"Private, for profit",Stoneridge Manor Operating Inc.,,,
Peter D. Clark Centre,Ottawa,ON,8,211,3.79%,Public,,,,
Lions Gate Hospital (Unit 6 East),Vancouver,BC,8,,,Public,,,,
La Maison Mère des Soeurs de Sainte-Anne,Montreal,QC,8,,,,,,,
Les Résidences Soleil - Manoir Sherbrooke,Sherbrooke,QC,8,,#DIV/0!,"Private, for profit",Le Groupe Savoie,,,
Manoir Royal Saint-Eustache,Saint-Eustache,QC,8,,#DIV/0!,,,,,
Résidence Floralies Lachine Inc.,Laval,QC,8,45,17.78%,,,,,
Résidence le Bellagio,Longeuil,QC,8,,#DIV/0!,,,,,
Résidence Saint-Raphaël,Montreal,QC,8,,#DIV/0!,,,,,
New Horizons Tower,Toronto,ON,8,,#DIV/0!,,,,,
Nisbet Lodge,Toronto,ON,8,103,7.77%,,,,,
Résidence Cité Rive,Montreal,QC,8,,#DIV/0!,,,,,
Résidence l'Alto,Montreal,QC,8,,,,,,,
CHSLD et CRDP de l'Assomption,Assomption,QC,7,,#DIV/0!,,,,,
CHSLD Saint-Jacques,Lanaudière,QC,7,,#DIV/0!,Public,,,,
Kensington Village,London,ON,7,126,5.56%,"Private, for profit","Sharon Farms & Enterprises Limited, owner Peter Schlegel","ONA, Unifor",,
North York General Hospital,Toronto,ON,7,,,,,,,
Clifton Manor,Calgary,AB,7,,#DIV/0!,"Private, not for profit",,,,
"Chartwell, Manoir et Cours de l'Atrium",Quebec City,QC,7,617,1.13%,"Private, for profit",Chartwell,,,
Lokia Trois-Rivières,Trois-Rivières,QC,7,,#DIV/0!,Private,Groupe Lokia,,,
Manoir St-Joseph inc.,Montreal,QC,7,,#DIV/0!,,,,,
Place Kensington,Westmount,QC,7,,#DIV/0!,,,,,
Résidence - Les Jardins de Montarville Inc.,Boucherville,QC,7,,,,,,,
Résidence Le St-Michel,Montreal,QC,7,,#DIV/0!,Private,,,,
Résidence Montarville,Boucherville,QC,7,,#DIV/0!,,,,,
Highview Residences RH,Waterloo,ON,7,21,33.33%,"Private, for profit",,,*alzheimer specialist,
L'chaim Retirement Home,Toronto,ON,7,,#DIV/0!,,,,,
Norfolk Manor,Guelph,ON,7,,#DIV/0!,,,,,
Orchard Villa Retirement,Pickering,ON,7,,#DIV/0!,,,,,
Les Terrasses Versailles Inc.,Montreal,QC,7,,#DIV/0!,,,,,
Misericordia Community Hospital,Edmonton,AB,7,,,,,,,
Centre Multiservices de santé et de services sociaux,Trois-Rivières,QC,6,,#DIV/0!,,,,,
CHSLD Drapeau-Deschambault,Sainte-Thérèse,QC,6,,#DIV/0!,,,,,
CHSLD François-Séguenot,Montreal,QC,6,77,7.79%,,,,,
Manoir du havre*,Maria,QC,6,,#DIV/0!,Private   ,,,,
Peel Manor Long Term Care Centre,Brampton,ON,6,177,3.39%,Public,,"CUPE, ONA",,
Carewest Sarcee Continuing Care Facility,Calgary,AB,6,85,7.06%,Public,,,,
Millrise Seniors Village,Calgary,AB,6,,#DIV/0!,"Private, for profit",,,,
Manoir de Courville,Quebec City,QC,6,,#DIV/0!,,,,,
Manoir Liverpool,"Saint-Romuald, QC",QC,6,,#DIV/0!,,,,,
Résidence Ciel Bleu,Montreal,QC,6,,#DIV/0!,,,,,
Résidence Eva,Lavaltrie,QC,6,153,3.92%,"Private, for profit",Groupe Édifio,,http://k10.pub.msss.rtss.qc.ca/public/K10ConsFormAbg.asp?Registre=7460&LienPage=../public/K10FormRecherche.asp?act=Rechercher&crit=eva||||||||||||||||||||||||||||||||F&cert=,
Résidence Ferland,Danville,QC,6,27,22.22%,"Private, for profit",9127-4670 QUÉBEC INC,,http://k10.pub.msss.rtss.qc.ca/public/K10ConsFormAbg.asp?Registre=536,
Résidence Gingras inc.,Laval,QC,6,,#DIV/0!,,,,,
Landmark Village,Sarnia,ON,6,,#DIV/0!,"Private, for profit",Steeves & Rozema Group,,,
Participation House*,Markham,ON,6,,#DIV/0!,,,,,* residential care facility
Aubeurge aux Trois Pignons,Quebec City,QC,6,,,,,,,
Centre d'hébergement de la Maree,Montreal,QC,5,,#DIV/0!,,,,,
Centre d'hébergement Paul-Bruchési,Montreal,QC,5,,,,,,,
CHSLD des Seigneurs,Boucherville,QC,5,,,,,,,
Berkley Care Centre,North Vancouver,BC,5,,#DIV/0!,Public,,,,
