"Facility Name","Facility Address",City,Province,Postal,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Riding Code","Riding Name (French)","Riding Name (English)","Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year"
"Bethany Cochrane","302 Quigley Drive COCHRANE, Alberta T4C 1X9",COCHRANE,Alberta,"T4C 1X9",Canada,51.196748,-114.513826,0.82,nearest_rooftop_match,304,"Quigley Dr",,,Cochrane,AB,,T4C,CA,"Contains information licensed under the Open Data Licence – Town of Cochrane.",48001,Banff--Airdrie,Banff--Airdrie,4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806014,"Rocky View County",4806019,Cochrane,T,Town,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250205.01,2016
"Bethany Collegeside (Red Deer)","99 College Circle RED DEER, Alberta, T4R0M3","RED DEER",Alberta," T4R0M3",Canada,52.248599,-113.830416,0.9,rooftop,99,"College Cir",,,"Red Deer",AB,,T4N,CA,"City of Red Deer",48029,"Red Deer--Mountain View","Red Deer--Mountain View",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808001,"Red Deer County",4808011,"Red Deer",CY,City,"Red Deer",830,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",830,"Red Deer",K,"Census agglomeration (CA) that is tracted",8300003.00,2016
"Bethany Harvest Hills","19 Harvest Gold Manor NE CALGARY, Alberta T3K 4Y1",CALGARY,Alberta,"T3K 4Y1",Canada,51.142467,-114.064267,0.9,rooftop,19,"Harvest Gold Pl NE",,,Calgary,AB,,T3K,CA,"City of Calgary",48013,"Calgary Skyview","Calgary Skyview",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250076.12,2016
"Bethany Meadows (LTC)","4209 55 Street CAMROSE, Alberta T4V 1Y6",CAMROSE,Alberta,"T4V 1Y6",Canada,53.007238,-112.834219,1,range_interpolation,4209,"55th St",,,Camrose,AB,,T4V,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810001,"Camrose County",4810011,Camrose,CY,City,Camrose--Drumheller,833,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",833,Camrose,D,"Census agglomeration (CA) that is not tracted",,2016
"Bethany Sylvan Lake (LTC)","4700 47 Avenue SYLVAN LAKE, Alberta T4S 2M3","SYLVAN LAKE",Alberta,"T4S 2M3",Canada,52.304663,-114.092077,1,point,4700,"47th Ave",,,"Sylvan Lake",AB,,T4S,CA,"CanVec+ by Natural Resources Canada",48030,"Red Deer--Lacombe","Red Deer--Lacombe",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808001,"Red Deer County",4808012,"Sylvan Lake",T,Town,"Red Deer",831,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",831,"Sylvan Lake",D,"Census agglomeration (CA) that is not tracted",,2016
"Beverly Centre Glenmore","1729 90 Avenue SW CALGARY, Alberta T2V 4S1",CALGARY,Alberta,"T2V 4S1",Canada,50.972087,-114.10228,1,rooftop,1729,"90th Ave SW",,,Calgary,AB,,T2V,CA,"City of Calgary",48007,"Calgary Heritage","Calgary Heritage",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250007.04,2016
"Beverly Centre Lake Midnapore","500 Midpark Way SE CALGARY, Alberta T2X 3S3",CALGARY,Alberta,"T2X 3S3",Canada,50.907315,-114.058393,1,rooftop,500,"Midpark Way SE",,,Calgary,AB,,T2X,CA,"City of Calgary",48008,"Calgary Midnapore","Calgary Midnapore",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250001.11,2016
"Big Country Hospital","312 3 Avenue East OYEN Alberta T0J2J0",OYEN,Alberta," T0J2J0",Canada,51.645728,-111.919789,1,rooftop,312,"3rd Ave E",,,Hanna,AB,,T0J,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4804,"Division No.  4",CDR,"Census division / Division de recensement CT County / Comté",4804004,"Special Area No. 2",4804011,Hanna,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Bonnyville Healthcare Centre","5001 Lakeshore Drive BONNYVILLE, Alberta T9N 2J7",BONNYVILLE,Alberta,"T9N 2J7",Canada,54.26166,-110.737417,1,range_interpolation,5001,"Lakeshore Dr",,,Bonnyville,AB,,T9N,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4812,"Division No. 12",CDR,"Census division / Division de recensement CT County / Comté",4812004,"Bonnyville No. 87",4812009,Bonnyville,T,Town,"Wood Buffalo--Cold Lake",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Bonnyville Healthcare Centre","5001 Lakeshore Drive BONNYVILLE, Alberta T9N 2J7",BONNYVILLE,Alberta,"T9N 2J7",Canada,54.26166,-110.737417,1,range_interpolation,5001,"Lakeshore Dr",,,Bonnyville,AB,,T9N,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4812,"Division No. 12",CDR,"Census division / Division de recensement CT County / Comté",4812004,"Bonnyville No. 87",4812009,Bonnyville,T,Town,"Wood Buffalo--Cold Lake",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Bow Crest Care Centre","5927 Bowness Road, NW CALGARY, Alberta T3B 0C7",CALGARY,Alberta,"T3B 0C7",Canada,51.081935,-114.173462,1,rooftop,5927,"Bowness Rd NW",,,Calgary,AB,,T3B,CA,"City of Calgary",48012,"Calgary Signal Hill","Calgary Signal Hill",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250050.01,2016
"Bow Island Health Centre","938 Centre Street,   PO Bag 3990 BOW ISLAND, Alberta T0K 0G0","BOW ISLAND",Alberta,"T0K 0G0",Canada,49.865463,-111.379194,1,rooftop,938,"Centre St",,,"Bow Island",AB,,T0K,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",4801,"Division No.  1",CDR,"Census division / Division de recensement CT County / Comté",4801008,"Forty Mile County No. 8",4801014,"Bow Island",T,Town,"Lethbridge--Medicine Hat",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Breton Health Centre","4919 49 Avenue BRETON, Alberta T0C 0P0",BRETON,Alberta,"T0C 0P0",Canada,52.463929,-114.04802,1,range_interpolation,4919,"49th Ave",,,Castor,AB,,T0C,CA,"CanVec+ by Natural Resources Canada",48030,"Red Deer--Lacombe","Red Deer--Lacombe",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808022,"Lacombe County",4808026,Bentley,T,Town,"Red Deer",996,Strong,4,"Census subdivision outside of census metropolitan area/census agglomeration area having strong metropolitan influence",,,,,,2016
"Brooks Health Centre","440 Third Street East (Bag 300, T1R 1B3) BROOKS, Alberta T1R 0X8",BROOKS,Alberta,"T1R 0X8",Canada,50.568274,-111.890654,1,range_interpolation,440,"3rd St E",,,Brooks,AB,,T1R,CA,"CanVec+ by Natural Resources Canada",48003,"Bow River","Bow River",4802,"Division No.  2",CDR,"Census division / Division de recensement CT County / Comté",4802031,"Newell County",4802034,Brooks,CY,City,"Lethbridge--Medicine Hat",806,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",806,Brooks,D,"Census agglomeration (CA) that is not tracted",,2016
"Canmore General Hospital [Golden Eagle View LTC]","1100 Hospital Place CANMORE, Alberta T1W 1N2",CANMORE,Alberta,"T1W 1N2",Canada,51.092943,-115.350451,1,rooftop,1100,"Hospital Pl",,,Canmore,AB,,T1W,CA,"City of Canmore",48001,Banff--Airdrie,Banff--Airdrie,4815,"Division No. 15",CDR,"Census division / Division de recensement CT County / Comté",4815015,"Bighorn No. 8",4815023,Canmore,T,Town,"Banff--Jasper--Rocky Mountain House",828,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",828,Canmore,D,"Census agglomeration (CA) that is not tracted",,2016
"CapitalCare Dickinsfield","14225 94 Street NW EDMONTON, Alberta T5E 6C6"," EDMONTON",Alberta,"T5E 6C6",Canada,53.605197,-113.484668,1,rooftop,14225,"94th St NW",,,Edmonton,AB,,T5E,CA,"City of Edmonton",48015,"Edmonton Griesbach","Edmonton Griesbach",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350077.01,2016
"CapitalCare Grandview","6215 124 Street EDMONTON, Alberta T6H 3V1"," EDMONTON",Alberta,"T6H 3V1",Canada,53.498704,-113.542507,0.9,rooftop,6215,"124th St NW",,,Edmonton,AB,,T6H,CA,"City of Edmonton",48019,"Edmonton Strathcona","Edmonton Strathcona",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350010.00,2016
"CapitalCare Lynnwood","8740 165 Street EDMONTON, Alberta, T5R2R8"," EDMONTON",Alberta," T5R2R8",Canada,53.521372,-113.609951,0.9,rooftop,8740,"165th St NW",,,Edmonton,AB,,T5R,CA,"City of Edmonton",48020,Edmonton-Ouest,"Edmonton West",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350026.01,2016
"CapitalCare Norwood","10410 111 Avenue EDMONTON, Alberta T5G 3A2"," EDMONTON",Alberta,"T5G 3A2",Canada,53.559979,-113.498317,0.9,rooftop,10410,"111th Ave NW",,,Edmonton,AB,,T5G,CA,"City of Edmonton",48014,Edmonton-Centre,"Edmonton Centre",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350054.00,2016
"CapitalCare Strathcona (LTC)","12 Brower Drive SHERWOOD PARK, Alberta T8H 1V3","SHERWOOD PARK",Alberta,"T8H 1V3",Canada,53.543419,-113.287377,1,rooftop,12,"Brower Dr",,,"Sherwood Park",AB,,T8H,CA,"City of Strathcona",48032,"Sherwood Park--Fort Saskatchewan","Sherwood Park--Fort Saskatchewan",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811052,"Strathcona County",4811052,"Strathcona County",SM,"Specialized municipality",Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350104.18,2016
"Cardston Health Centre","144 2 Street West PO Box 1440 CARDSTON, Alberta T0K 0K0",CARDSTON,Alberta,"T0K 0K0",Canada,49.420297,-112.87202,0.99,rooftop,"144 N","2nd St W",,,Magrath,AB,,T0K,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",4803,"Division No.  3",CDR,"Census division / Division de recensement CT County / Comté",4803001,"Cardston County",4803002,Magrath,T,Town,"Lethbridge--Medicine Hat",996,Strong,4,"Census subdivision outside of census metropolitan area/census agglomeration area having strong metropolitan influence",,,,,,2016
"Carewest Colonel Belcher (LTC)","1939 Veterans Way NW CALGARY, Alberta T3B 5Y8",CALGARY,Alberta,"T3B 5Y8",Canada,51.062687,-114.142823,1,rooftop,1939,"Veteran's Way NW",,,Calgary,AB,,T3B,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250053.00,2016
"Carewest Dr. Vernon Fanning Centre","722 16th Avenue NE CALGARY, Alberta T2E6V7",CALGARY,Alberta," T2E6V7",Canada,51.06728,-114.045538,1,rooftop,722,"16th Ave NE",,,Calgary,AB,,T2E,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250061.00,2016
"Carewest Garrison Green","3108 Don Ethell Boulevard SW CALGARY, Alberta T3E 6Z5",CALGARY,Alberta,"T3E 6Z5",Canada,51.004758,-114.128349,1,point,3108,"Don Ethell Blvd SW",,,Calgary,AB,,T3E,CA,"CanVec+ by Natural Resources Canada",48004,Calgary-Centre,"Calgary Centre",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250022.00,2016
"Carewest George Boyack","1203 Centre Avenue NE CALGARY, Alberta T2E 0A5",CALGARY,Alberta,"T2E 0A5",Canada,51.052259,-114.035185,1,rooftop,1203,"Centre Ave NE",,,Calgary,AB,,T2E,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250041.00,2016
"Carewest Rouleau Manor","2208 2 Street SW CALGARY, Alberta T2S 3C3",CALGARY,Alberta,"T2S 3C3",Canada,51.054511,-114.111056,0.51,rooftop,2208Q,"2nd Ave NW",,,Calgary,AB,,T2N,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250056.00,2016
"Carewest Royal Park","4222 Sarcee Road SW CALGARY, Alberta T3E 7J8",CALGARY,Alberta,"T3E 7J8",Canada,50.9899,-114.1574,0.23,place,,,,,Calgary,AB,,T3E,CA,"CanVec+ by Natural Resources Canada",48007,"Calgary Heritage","Calgary Heritage",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250007.03,2016
"Carewest Signal Pointe","6363 Simcoe Road SW CALGARY, Alberta T3H 4M3",CALGARY,Alberta,"T3H 4M3",Canada,51.035175,-114.182531,1,rooftop,6363,"Simcoe Rd SW",,,Calgary,AB,,T3H,CA,"City of Calgary",48012,"Calgary Signal Hill","Calgary Signal Hill",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250017.06,2016
"Central Peace Health Complex","5010 45 Avenue SPIRIT RIVER, Alberta T0H 3G0","SPIRIT RIVER",Alberta,"T0H 3G0",Canada,55.77735,-118.836917,1,point,5010,"45th Ave",,,Valleyview,AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819054,"Spirit River No. 133",4819058,"Spirit River",T,Town,"Athabasca--Grande Prairie--Peace River",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Citadel Care Centre","25 Erin Ridge Road ST. ALBERT, Alberta T8N 7K8","ST. ALBERT",Alberta,"T8N 7K8",Canada,53.657895,-113.627769,1,point,25,"Erin Ridge Rd",,,"St. Albert",AB,,T8N,CA,"CanVec+ by Natural Resources Canada",48031,"St. Albert--Edmonton","St. Albert--Edmonton",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811059,"Sturgeon County",4811062,"St. Albert",CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350140.07,2016
"Clearwater Centre (Rocky Mountain House) (LTC)","5615 60 St, Rocky Mountain House, Alberta T4T1W2","ROCKY MOUNTAIN HOUSE",Alberta," T4T1W2",Canada,52.383715,-114.934077,1,rooftop,5615,"60th St",,,"Rocky Mountain House",AB,,T4T,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48034,Yellowhead,Yellowhead,4809,"Division No.  9",CDR,"Census division / Division de recensement CT County / Comté",4809002,"Clearwater County",4809015,"Rocky Mountain House",T,Town,"Banff--Jasper--Rocky Mountain House",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Clifton Manor","4726 8 Avenue SE CALGARY, Alberta T2A 0A8",CALGARY,Alberta,"T2A 0A8",Canada,51.045323,-113.966943,1,rooftop,4726,"8th Ave SE",,,Calgary,AB,,T2A,CA,"City of Calgary",48006,"Calgary Forest Lawn","Calgary Forest Lawn",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250038.04,2016
"Club Sierra at River Ridge (LTC)","4 River Ridge Drive NW MEDICINE HAT, Alberta T1A 8V1","MEDICINE HAT",Alberta,"T1A 8V1",Canada,50.045702,-110.716376,1,rooftop,4,"River Ridge Dr NW",,,"Medicine Hat",AB,,T1A,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",4801,"Division No.  1",CDR,"Census division / Division de recensement CT County / Comté",4801003,"Cypress County",4801006,"Medicine Hat",CY,City,"Lethbridge--Medicine Hat",805,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",805,"Medicine Hat",K,"Census agglomeration (CA) that is tracted",8050011.00,2016
"Coaldale Health Centre","2100 11 Street COALDALE, Alberta T1M 1L2",COALDALE,Alberta,"T1M 1L2",Canada,49.726154,-112.606454,1,rooftop,2100,"11th St",,,Coaldale,AB,,T1M,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48026,Lethbridge,Lethbridge,4802,"Division No.  2",CDR,"Census division / Division de recensement CT County / Comté",4802011,"Lethbridge County",4802019,Coaldale,T,Town,"Lethbridge--Medicine Hat",810,"CMA or CA",1,"Census subdivision within census metropolitan area",810,Lethbridge,B,"Census metropolitan area (CMA)",8100104.00,2016
"Cold Lake Healthcare Centre","314 25 Street COLD LAKE, Alberta T9M 1G6","COLD LAKE",Alberta,"T9M 1G6",Canada,54.463782,-110.202961,1,range_interpolation,314,"25th St",,,"Cold Lake",AB,,T9M,CA,"CanVec+ by Natural Resources Canada",48023,"Fort McMurray--Cold Lake","Fort McMurray--Cold Lake",4812,"Division No. 12",CDR,"Census division / Division de recensement CT County / Comté",4812004,"Bonnyville No. 87",4812002,"Cold Lake",CY,City,"Wood Buffalo--Cold Lake",845,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",845,"Cold Lake",D,"Census agglomeration (CA) that is not tracted",,2016
