Facility Name,Location,Facility Address,Operator Name,Operator Type,LTC-Auxilary Hospital,LTC-Nursing Home,facility_name,latitude,longitude,outbreak_status
Canmore General Hospital [Golden Eagle View LTC],Canmore,"1100 Hospital Place CANMORE, Alberta T1W 1N2",Alberta Health Services,Alberta Health Services,True,False,canmore general hospital,51.09301,-115.350651,0
CapitalCare Dickinsfield,Edmonton,"14225 94 Street NW EDMONTON, Alberta T5E 6C6",Capital Care Group Inc.,Alberta Health Services,True,True,dickinsfield,50.568274,-111.890654,0
CapitalCare Grandview,Edmonton,"6215 124 Street EDMONTON, Alberta T6H 3V1",Capital Care Group Inc.,Alberta Health Services,True,False,grandview,51.092943,-115.350451,0
CapitalCare Lynnwood,Edmonton,"8740 165 Street EDMONTON, Alberta, T5R2R8",Capital Care Group Inc.,Alberta Health Services,True,True,lynnwood,53.605197,-113.484668,0
CapitalCare Norwood,Edmonton,"10410 111 Avenue EDMONTON, Alberta T5G 3A2",Capital Care Group Inc.,Alberta Health Services,True,False,norwood,53.498704000000004,-113.542507,0
CapitalCare Strathcona (LTC),Sherwood Park,"12 Brower Drive SHERWOOD PARK, Alberta T8H 1V3",Capital Care Group Inc.,Alberta Health Services,False,True,strathcona,53.521372,-113.609951,0
Cardston Health Centre,Cardston,"144 2 Street West PO Box 1440 CARDSTON, Alberta T0K 0K0",Alberta Health Services,Alberta Health Services,True,False,cardston health centre,49.201947,-113.305761,0
Carewest Colonel Belcher (LTC),Calgary,"1939 Veterans Way NW CALGARY, Alberta T3B 5Y8",Carewest,Alberta Health Services,True,False,carewest colonel belcher,53.54341899999999,-113.287377,0
Carewest Dr. Vernon Fanning Centre,Calgary,"722 16th Avenue NE CALGARY, Alberta T2E6V7",Carewest,Alberta Health Services,True,False,carewest dr. vernon fanning centre,49.420297,-112.87201999999999,0
Carewest Garrison Green,Calgary,"3108 Don Ethell Boulevard SW CALGARY, Alberta T3E 6Z5",Carewest,Alberta Health Services,False,True,carewest garrison green,51.062687,-114.14282299999999,0
Carewest George Boyack,Calgary,"1203 Centre Avenue NE CALGARY, Alberta T2E 0A5",Carewest,Alberta Health Services,False,True,carewest george boyack,51.06728,-114.045538,0
Carewest Rouleau Manor,Calgary,"2208 2 Street SW CALGARY, Alberta T2S 3C3",Carewest,Alberta Health Services,False,True,carewest rouleau manor,51.004758,-114.128349,0
Carewest Royal Park,Calgary,"4222 Sarcee Road SW CALGARY, Alberta T3E 7J8",Carewest,Alberta Health Services,False,True,carewest royal park,51.052259,-114.03518500000001,0
Carewest Signal Pointe,Calgary,"6363 Simcoe Road SW CALGARY, Alberta T3H 4M3",Carewest,Alberta Health Services,False,True,carewest signal pointe,51.054511,-114.111056,0
Central Peace Health Complex,Spirit River,"5010 45 Avenue SPIRIT RIVER, Alberta T0H 3G0",Alberta Health Services,Alberta Health Services,True,False,central peace health complex,55.776981000000006,-118.838754,0
Citadel Care Centre,St. Albert,"25 Erin Ridge Road ST. ALBERT, Alberta T8N 7K8",Citadel Care Corporation [Qualicare Corporation],Private,False,True,citadel care centre,51.035175,-114.18253100000001,0
Clearwater Centre (Rocky Mountain House) (LTC),Rocky Mountain House,"5615 60 St, Rocky Mountain House, Alberta T4T1W2",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,True,good samaritan society rocky mountain house clearwater centre,55.77735,-118.83691699999999,0
Clifton Manor,Calgary,"4726 8 Avenue SE CALGARY, Alberta T2A 0A8",The Brenda Strafford Foundation,Private,False,True,clifton manor,53.657894999999996,-113.627769,0
Club Sierra at River Ridge (LTC),Medicine Hat,"4 River Ridge Drive NW MEDICINE HAT, Alberta T1A 8V1",Club Sierra Lifestyles At River Ridge Inc.,Private,False,True,club sierra at river ridge,52.383715,-114.934077,0
Coaldale Health Centre,Coaldale,"2100 11 Street COALDALE, Alberta T1M 1L2",Alberta Health Services,Alberta Health Services,True,False,coaldale health centre,49.725825,-112.607294,0
Cold Lake Healthcare Centre,Cold Lake,"314 25 Street COLD LAKE, Alberta T9M 1G6",Alberta Health  Services,Alberta Health Services,True,False,cold lake healthcare centre,54.4658735,-110.199018,0
Consort Hospital And Care Centre,Consort,"5402 52 Avenue CONSORT, Alberta T0C 1B0",Alberta Health Services,Alberta Health Services,True,False,consort hospital and care centre,52.01200479999999,-110.7717888,0
Coronation Hospital And Care Centre,Coronation,"5000 Municipal Road CORONATION, Alberta T0C 1C0",Alberta Health Services,Alberta Health Services,True,False,coronation hospital and care centre,52.0964213,-111.4597738,0
Crowsnest Pass Health Centre,Blairmore,"2001 107 Street BLAIRMORE, Alberta T0K 0E0",Alberta Health Services,Alberta Health Services,True,True,crowsnest pass health centre,49.6131739,-114.4736247,0
Devon General Hospital,Devon,"101 Erie Street South DEVON, Alberta T9G 1A6",Alberta Health Services,Alberta Health Services,True,False,devon general hospital,53.35149300000001,-113.730785,0
Devonshire Care Centre,Edmonton,"1808 142 Street NW EDMONTON, Alberta T6R 3H2",Park Place Seniors Living Inc.,Private,False,True,devonshire care centre,49.617761,-114.459347,0
Didsbury District Health Services,Didsbury,"1210 20 Avenue DIDSBURY, Alberta T0M 0W0",Alberta Health Services,Alberta Health Services,True,False,didsbury district health services,51.661795,-114.123674,0
Dr. Cooke Extended Care Centre,Lloydminster,"3915 56 Avenue LLOYDMINSTER, Alberta T9V 1N9",Prairie North Regional Health Authority,RHA,True,False,dr. cooke extended care centre,53.273049,-110.019164,0
Dr. W.R. Keir - Barrhead Continuing Care Centre,Barrhead,"5336 59 Avenue BARRHEAD, Alberta T7N 1L2",Alberta Health Services,Alberta Health Services,False,True,dr. w.r. keir - barrhead continuing care centre,51.660846,-114.119736,0
Drayton Valley Hospital And Care Centre,Drayton Valley,"4550 Madsen Avenue DRAYTON VALLEY, Alberta T7A 1N8",Alberta Health Services,Alberta Health Services,True,True,drayton valley hospital and care centre,53.211841,-114.969193,0
Drumheller Health Centre,Drumheller,"351 9 Street NW DRUMHELLER, Alberta T0J 0Y1",Alberta Health Services,Alberta Health Services,True,False,drumheller health centre,51.4698073,-112.7259344,0
Edith Cavell Care Centre,Lethbridge,"1255 5 Avenue South LETHBRIDGE, Alberta T1J 0V6",Chantelle Management Ltd.,Private,False,True,edith cavell care centre,53.210648,-114.96866100000001,0
Edmonton General Continuing Care Centre,Edmonton,"11111 Jasper Avenue EDMONTON, Alberta T5K 0L4",Covenant Health,Voluntary,True,False,edmonton general continuing care centre,51.470806,-112.723948,0
Elk Point Healthcare Centre,Elk Point,"5310 50 Avenue ELK POINT, Alberta T0A 1A0",Alberta Health Services,Alberta Health Services,True,False,elk point healthcare centre,53.8969745,-110.9058049,0
Extendicare Athabasca,Athabasca,"4517 53 Street ATHABASCA, Alberta T9S 1K4",Extendicare (Canada) Inc.,Private,False,True,extendicare athabasca,53.539876,-113.51303,0
Extendicare Bonnyville,Bonnyville,"4602 47 Avenue BONNYVILLE, Alberta T9N 2E8",Extendicare (Canada) Inc.,Private,False,True,extendicare bonnyville,53.836814000000004,-113.41719599999999,0
Extendicare Cedars Villa,Calgary,"3330 8 Avenue SW CALGARY, Alberta T3C 0E7",Extendicare (Canada) Inc.,Private,False,True,extendicare cedars villa,54.715847,-113.29093700000001,0
Extendicare Eaux Claires,Edmonton,"16503 95 Street EDMONTON, Alberta T5Z 0G7",Extendicare (Canada) Inc.,Private,False,True,extendicare eaux claires,54.264908999999996,-110.730202,0
Extendicare Fort MacLeod,Fort MacLeod,"654 29 Street Box 189 FORT MACLEOD, Alberta T0L 0Z0",Extendicare (Canada) Inc.,Private,False,True,extendicare fort macleod,51.045147,-114.133614,0
Extendicare Hillcrest,Calgary,"1512 8 Avenue NW CALGARY, Alberta T2N 1C1",Extendicare (Canada) Inc.,Private,False,True,extendicare hillcrest,53.627036,-113.48591499999999,0
Extendicare Holyrood [Extendicare Holyrood (South)],Edmonton,"8008 95 Avenue EDMONTON, Alberta T6C 2T1",Extendicare (Canada) Inc.,Private,False,True,extendicare holyrood,49.72922,-113.39554199999999,0
Extendicare Leduc,Leduc,"4309 50 Street Box 280 LEDUC, Alberta T9E 6K6",Extendicare (Canada) Inc.,Private,False,True,extendicare leduc,51.059774,-114.09533400000001,0
Extendicare Mayerthorpe,Mayerthorpe,"4706 54 Street MAYERTHORPE, Alberta T0E 1N0",Extendicare (Canada) Inc.,Private,False,True,extendicare mayerthorpe,53.53281,-113.451725,0
Extendicare Michener Hill (LTC),Red Deer,"12 Michener Boulevard RED DEER, Alberta T4P 0M1",Extendicare (Canada) Inc.,Private,False,True,extendicare michener hill,53.256556,-113.548345,0
Extendicare St. Paul,St Paul,"4614 47 Avenue ST. PAUL, Alberta T0A 3A3",Extendicare (Canada) Inc.,Private,False,True,extendicare st. paul,53.9888438,-111.2904497,0
Extendicare Viking,Viking,"5020 57 Avenue Box 430 VIKING, Alberta T0B 4N0",Extendicare (Canada) Inc.,Private,False,True,extendicare viking,52.269969,-113.782799,0
Extendicare Vulcan,Vulcan,"715 2 Avenue South VULCAN, Alberta T0L 2B0",Extendicare (Canada) Inc.,Private,False,True,extendicare vulcan,53.948164,-113.103016,0
Fairview Health Complex [Continuing Care Centre],Fairview,"10628 110 Street FAIRVIEW, Alberta T0H 1L0",Alberta Health Services,Alberta Health Services,True,False,fairview health complex,56.0709656,-118.3845521,0
Father Lacombe Care Centre,Calgary,"270 Providence Boulevard SE, CALGARY, Alberta T2X0V6",The Father Albert Lacombe Home,Voluntary,False,True,father lacombe care centre,50.398927,-113.255541,0
Foyer Lacombe,St. Albert,"1 St. Vital Avenue ST. ALBERT, Alberta T8N1K1",Convenant Care,Voluntary,False,True,foyer lacombe,55.345082999999995,-119.538328,0
Good Samaritan Society Southgate Care Centre,Edmonton,"4225 107 Street, EDMONTON, Alberta T6J2P1",The Good Samaritan Alberta Health Society (A Lutheran Social Service Organization),Voluntary,False,True,good samaritan society southgate care centre,50.921457000000004,-114.06191899999999,1
Good Samaritan Society Pembina Village,Evansburg,"5225 50 Street Evansburg, Alberta T0E0T0",The Good Samaritan Alberta Health Society (A Lutheran Social Service Organization),Voluntary,False,True,good samaritan society pembina village,53.639756999999996,-113.62638000000001,0
Galahad Care Centre,Galahad,"1 Main St GALAHAD, Alberta T0B 1R0",Alberta Health Services,Alberta Health Services,False,True,galahad care centre,53.480335,-113.50668200000001,0
George McDougall - Smoky Lake Healthcare Centre,Smoky Lake,"4212 55 Avenue SMOKY LAKE, Alberta T0A 3C0",Alberta Health Services,Alberta Health Services,True,False,george mcdougall - smoky lake healthcare centre,54.12128065,-112.4652356,0
Glamorgan Care Centre,Calgary,"105 Galbraith Drive SW CALGARY, Alberta T3E 4Z5",Travois Holdings Ltd.,Private,False,True,glamorgan care centre,52.449868,-112.574925,0
Good Samaritan Dr. Gerald Zetter Care Centre,Edmonton,"9649 71 Avenue NW EDMONTON, Alberta T6E 5J2",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,True,False,good samaritan society dr. gerald zetter care centre,53.5072809,-113.477577,0
Good Samaritan Society Millwoods Centre,Edmonton,"101 Youville Drive East EDMONTON, Alberta T6L 7A4",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,True,good samaritan society millwoods centre,51.009168,-114.145228,0
Good Samaritan Society Stony Plain Care Centre (LTC),Stony Plain,"4800 55 Avenue STONY PLAIN, Alberta T7Z 1P9",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,True,good samaritan society stony plain care centre,53.507062,-113.478121,0
Good Samaritan South Ridge Village (LTC),Medicine Hat,"550 Spruce Way SE MEDICINE HAT, Alberta T1B 4P1",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,True,good samaritan society south ridge village,53.460204000000004,-113.424357,0
Grande Prairie Care Centre,Grande Prairie,"9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2",Chantelle Management Ltd.,Private,False,True,grande prairie care centre,53.524416,-114.002121,0
Grande Prairie Care Centre (LTC),Grande Prairie,"9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2",Chantelle Management Ltd.,Private,False,True,grande prairie care centre,49.997978,-110.675195,0
Grimshaw/Berwyn And District Community Health Centre,Grimshaw,"5621 Wilcox Road GRIMSHAW, Alberta T0H 1W0",Alberta Health Services,Alberta Health Services,True,False,grimshaw/berwyn and district community health centre,56.190432,-117.62721299999998,0
Hanna Health Centre,Hanna,"904 Centre Street N, Box 830 HANNA, Alberta T0J 1P0",Alberta Health Services,Alberta Health Services,False,True,hanna health centre,51.6489192,-111.9282036,0
Hardisty Care Centre,Edmonton,"6420 101 Avenue EDMONTON, Alberta T6A 0H5",Hardisty Care Centre Ltd.,Private,False,True,hardisty care centre,56.187924,-117.608275,1
Hardisty Health Centre,Hardisty,"4531 47 Avenue, Box 269 HARDISTY, Alberta T0B1V0",Alberta Health Services,Alberta Health Services,True,False,hardisty health centre,52.669316,-111.307616,0
High River General Hospital,High River,"560 9 Avenue SW HIGH RIVER, Alberta T1V 1B3",Alberta Health Services,Alberta Health Services,True,False,high river general hospital,50.5751035,-113.87994779999998,0
Hythe Continuing Care Centre,Hythe,"10307 100 Street PO Box 100 HYTHE, Alberta T0H 2C0",Alberta Health Services,Alberta Health Services,False,True,hythe continuing care centre,53.657646,-111.2262,0
Innisfail Health Centre,Innisfail,"5023 42 Street INNISFAIL, Alberta T4G 1A9",Alberta Health Services,Alberta Health Services,True,False,innisfail health centre,52.019015,-113.9514399,0
Intercare Brentwood Care Centre,Calgary,"2727 16 Avenue NW CALGARY, Alberta T2N 3Y6",Intercare Corporate Group Inc.,Private,False,True,brentwood care centre,58.515549,-117.1363,1
Intercare Chinook Care Centre,Calgary,"1261 Glenmore Trail SW CALGARY, Alberta T2V 4Y8",Intercare Corporate Group Inc.,Private,False,True,chinook care centre,52.020008000000004,-113.95133600000001,0
Intercare Southwood Care Centre,Calgary,"211 Heritage Drive, SE CALGARY, Alberta T2H 1M9",Intercare Corporate Group Inc.,Private,False,True,southwood care centre,51.067737,-114.12502099999999,0
J.B. Wood Continuing Care Centre,High Prairie,"46206 53 Avenue HIGH PRAIRIE, Alberta T0G1E0",Alberta Health Services,Alberta Health Services,False,True,j.b. wood continuing care centre,50.993801,-114.089877,0
Jasper Place Continuing Care Centre,Edmonton,"8903 168 Street EDMONTON, Alberta T5R 2V6",Revera Long Term Care Inc,Private,False,True,jasper place continuing care centre,50.979406,-114.06648899999999,0
Jubilee Lodge Nursing Home,Edmonton,"10333 76 Street EDMONTON, Alberta T6A 3A8",Jubilee Lodge Nursing Home Ltd. [Qualicare Corporation],Private,False,True,jubilee lodge nursing home,55.432691000000005,-116.49693700000002,0
Kensington Village Continuing Care Centre (LTC),Edmonton,"12603 135 Avenue EDMONTON, Alberta T5L 5B2",Shepherd's Care Foundation,Voluntary,False,True,kensington village continuing care centre,53.524356999999995,-113.611787,1
Killam Health Care Centre,Killam,"5203 49 Avenue, Box 40 KILLAM, Alberta T0B 2L0",Covenant Health,Voluntary,True,False,killam health care centre,52.788935,-111.859551,0
La Crete Continuing Care Centre,La Crete,"10601 100 Avenue Box 295 LA CRETE, Alberta T0H 2H0",Alberta Health Services,Alberta Health Services,False,True,la crete continuing care centre,53.595764,-113.539686,1
Lacombe Hospital And Care Centre,Lacombe,"5430 47 Avenue LACOMBE, Alberta T4L 1G8",Alberta Health Services,Alberta Health Services,True,False,lacombe hospital and care centre,52.460676600000006,-113.7411041,0
Lamont Health Care Centre,Lamont,"5216 53 Street Bag 10 LAMONT, Alberta T0B 2R0",The United Church Of Canada,Voluntary,True,True,lamont health care centre,53.762612,-112.788581,0
Lloydminster Continuing Care Centre,Lloydminster,"7402 – 29th Street, LLOYDMINSTER, Alberta, T9V 3N1",Prairie North Regional Health Authority,RHA,True,False,lloydminster continuing care centre,53.274952,-110.017784,0
Louise Jensen Care Centre,Camrose,"5400 46 Avenue CAMROSE, Alberta T4V 4P8",The Bethany Group,Voluntary,True,False,louise jensen care centre,52.460173,-113.73903700000001,0
Milk River Health Centre,Milk River,"517 Centre Avenue East MILK RIVER, Alberta T0K1M0",Alberta Health Services,Alberta Health Services,True,False,milk river health centre,49.148256,-112.0763544,0
Manning Community Health Centre,Manning,"600 2 Street NE MANNING, Alberta T0H 2M0",Alberta Health Services,Alberta Health Services,True,False,manning community health centre,56.927995900000006,-117.621417,0
Mannville Care Centre,Mannville,"5007 46 Street MANNVILLE, Alberta T0B 2W0",Alberta Health Services,Alberta Health Services,True,False,mannville care centre,53.021029000000006,-112.818509,0
Manoir Du Lac (LTC),McLennan,"164 3 Avenue NW MCLENNAN, Alberta T0H 2L0",Integrated Life Care Inc.,Private,False,True,manoir du lac,49.148261,-112.07843000000001,0
Mary Immaculate Hospital,Mundare,"Polomark Drive and 53 Street Box 349 MUNDARE,  Alberta  T0B3H0",Convent Health,Voluntary,True,False,mary immaculate hospital,56.926706,-117.624807,0
Mayerthorpe Healthcare Centre,Mayerthorpe,"4417 45 Street MAYERTHORPE, Alberta T0E1N0",Alberta Health Services,Alberta Health Services,True,False,mayerthorpe healthcare centre,53.95219399999999,-115.1472169,0
Mayfair Care Centre,Calgary,"8240 Collicut Street SW CALGARY, Alberta T2V 2X1",Travois Holdings Ltd.,Private,False,True,mayfair care centre,55.711521,-116.90676699999999,0
McKenzie Towne Care Centre,Calgary,"80 Promenade Way SE CALGARY,  Alberta  T2Z4G4",Revera Long Term Care Inc.,Private,False,True,mckenzie towne care centre,53.594043000000006,-112.3399,0
Miller Crossing Care Centre,Edmonton,"14251 50 Street NW EDMONTON, Alberta T5A 5J4",Revera Long Term Care Inc.,Private,False,True,miller crossing care centre,53.952367,-115.13841000000001,0
Millrise Place (LTC),Calgary,"14911 5 Street SW CALGARY, Alberta T2Y 5B9",Millrise Seniors Village LP,Private,False,True,millrise place,50.980369,-114.09413799999999,0
Millwoods Shepherd’s Care Centre,Edmonton,"6620 28 Avenue EDMONTON, Alberta T6K 2R1",Shepherd's Care Foundation,Voluntary,True,True,millwoods shepherd's care centre,50.913739,-113.963596,0
Mineral Springs Hospital,Banff,"305 Lynx Street PO Box 1050 BANFF, Alberta T1L 1H7",Covenant Health,Voluntary,True,False,mineral springs hospital,51.17925,-115.574865,0
Mount Royal Care Centre,Calgary,"1813 9 Street SW CALGARY, Alberta T2T 3C2",Revera Long Term Care Inc.,Private,False,True,mount royal care centre,50.919174,-114.072675,0
Newport Harbour Care Centre,Calgary,"10 Country Village Cove NE CALGARY, Alberta T3K 6B4",Park Place Seniors Living Inc.,Private,False,True,newport harbour care centre,53.459217,-113.436784,0
Northcott Care Centre (Ponoka),Ponoka,"4209 48 Avenue PONOKA, Alberta T5J 1P4",Northcott Lodge Nursing Home Ltd.,Private,False,True,northcott care centre,51.178841999999996,-115.574436,0
Northern Lights Regional Health Centre,Fort McMurray,"7 Hospital Street FORT MCMURRAY, Alberta T9H 1P2",Alberta Health Services,Alberta Health Services,True,False,northern lights regional health centre,56.71635229999999,-111.3622389,0
Northwest Health Centre,High Level,"11202 100 Avenue HIGH LEVEL, Alberta T0H 1Z0",Alberta Health Services,Alberta Health Services,True,False,northwest health centre,58.5135257,-117.1621529,0
Oilfields General Hospital,Black Diamond,"717 Government Road BLACK DIAMOND, Alberta T0L 0H0",Alberta Health Services,Alberta Health Services,True,False,oilfields general hospital,50.6780144,-114.2344127,0
Olds Hospital And Care Centre,Olds,"3901 57 Avenue OLDS, Alberta T4H 1T4",Alberta Health Services,Alberta Health Services,True,False,olds hospital and care centre,51.8013128,-114.11783490000002,0
Our Lady Of The Rosary Hospital,Castor,"5402 47 Street CASTOR, Alberta T0C 0X0",Covenant Health,Voluntary,True,False,our lady of the rosary hospital,52.2234403,-111.9068616,0
Peace River Community Health Centre,Peace River,"10101 68 Street PEACE RIVER, Alberta T8S 1T6",Alberta Health Services,Alberta Health Services,True,False,peace river community health centre,56.231053,-117.354442,0
Pincher Creek Health Centre,Pincher Creek,"1222 Mill Ave PINCHER CREEK, Alberta T0K 1W0",Alberta Health Services,Alberta Health Services,True,False,pincher creek health centre,49.49345200000001,-113.946935,0
Points West Living Grande Prairie (LTC),Grande Prairie,"11460 104 Avenue GRANDE PRAIRIE, Alberta T8V 3G9",Points West Living Grande Prairie Inc. [Connecting Care],Private,False,True,points west living grande prairie,51.801460999999996,-114.119755,0
Ponoka Hospital And Care Centre,Ponoka,"5800 57 Avenue PONOKA, Alberta T4J 1P1",Alberta Health Services,Alberta Health Services,True,False,ponoka hospital and care centre,52.684724,-113.58951100000002,0
Providence Care Centre (LTC),Calgary,"149 Providence Boulevard SE CALGARY, Alberta, T2X 0X2",The Father Albert Lacombe Home,Voluntary,False,True,providence care centre,52.223287,-111.90699099999999,0
Provost Health Centre,Provost,"5002 54 Avenue Box 270 PROVOST, Alberta T0B 3S0",Alberta Health Services,Alberta Health Services,True,False,provost health centre,52.357969,-110.26484,0
Rosehaven Care Centre,Camrose,"4612 53 Street CAMROSE,  Alberta  T4V1Y6",The Bethany Group,Voluntary,True,False,rosehaven care centre,49.485667,-113.95029199999999,0
Radway Continuing Care Centre,Radway,"Hwy 28, Range Road 205 RADWAY, Alberta T0A 2V0",Alberta Health Services,Alberta Health Services,True,False,radway continuing care centre,55.174291000000004,-118.840599,0
Raymond Health Centre,Raymond,"150 N 4 Street East RAYMOND, Alberta T0K 2S0",Alberta Health Services,Alberta Health Services,True,False,raymond health centre,49.4647002,-112.650584,0
Redwater Health Centre,Redwater,"4812 58 Street REDWATER, Alberta T0A 2W0",Alberta Health Services,Alberta Health Services,True,False,redwater health centre,53.9495991,-113.1255813,0
Rimbey Hospital And Care Centre,Rimbey,"5228 50 Avenue RIMBEY, Alberta T0C 2J0",Alberta Health Services,Alberta Health Services,True,False,rimbey hospital and care centre,52.6396975,-114.2459585,0
Rivercrest Care Centre,Fort Saskatchewan,"10104 101 Avenue FORT SASKATCHEWAN, Alberta T8L 2A5",Rivercrest Lodge Nursing Home Ltd. [Qualicare Corporation],Private,False,True,rivercrest care centre,53.014348999999996,-112.83115500000001,0
Riverview Care Centre,Medicine Hat,"603 Prospect Drive SW MEDICINE HAT, Alberta T1A 4C2",Revera Long Term Care Inc.,Private,False,True,riverview care centre,54.060379000000005,-112.94656,0
Sagewood Seniors Community (LTC),Strathmore,"140 Cambridge Glen Drive STRATHMORE, Alberta T1P1N3",AgeCare Ltd.,Private,False,True,sagewood seniors community,49.853986,-112.843718,0
Salem Manor Nursing Home,Leduc,"4419 46 Street LEDUC, Alberta T9E 6L2",Salem Manor Society,Voluntary,False,True,salem manor nursing home,53.94893100000001,-113.124568,0
Edmonton Chinatown Care Centre (LTC),Edmonton,"9539 102A Avenue EDMONTON, Alberta T5H 0G2",Hong Lok Management Services Ltd.,Voluntary,False,True,edmonton chinatown care centre,52.639658999999995,-114.250274,1
Seton Seniors Community (LTC),Calgary,"4963 Front Street SE CALGARY, Alberta, T3M 2M3",Age Care Health Services Inc.,Private,False,True,seton seniors community,53.71316899999999,-113.216059,0
Sherwood Care,Sherwood Park,"2020 Brentwood Boulevard N SHERWOOD PARK, Alberta T8A 0X1",Sherwood Care [Adventists Health Systems Alberta],Voluntary,False,True,sherwood care,50.036975,-110.70190600000001,0
Slave Lake Healthcare Centre,Slave Lake,"309 6 Street NE SLAVE LAKE, Alberta T0G 2A2",Alberta Health Services,Alberta Health Services,True,False,slave lake healthcare centre,55.284356,-114.760739,0
