Facility Name,Facility Address,City,Province,Postal,Country,,,,Riding Name (English),Statcan Census Division id,Statcan Census Division Name,Statcan Census Division Type,Statcan Census Division Type Description,Statcan Census Consolidated Subdivision id,Statcan Census Consolidated Subdivision Name,Statcan Census Subdivision id,Statcan Census Subdivision Name,Statcan Census Subdivision Type,Statcan Census Subdivision Type Description,Statcan Census Economic Region,Statcan Census Statistical Area Code,Statcan Census Statistical Area Code Description,Statcan Census Statistical Area Type,Statcan Census Statistical Area Type Description,Statcan Census CMA/CA id,Statcan Census CMA/CA Name,Statcan Census CMA/CA Type,Statcan Census CMA/CA Type Description,Statcan Census Tract,Statcan Census Year
Extendicare Hillcrest,"1512 8 Avenue NW CALGARY, Alberta T2N 1C1",CALGARY,Alberta,T2N 1C1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Holyrood [Extendicare Holyrood (South)],"8008 95 Avenue EDMONTON, Alberta T6C 2T1", EDMONTON,Alberta,T6C 2T1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Leduc,"4309 50 Street Box 280 LEDUC, Alberta T9E 6K6","LEDUC,",Alberta,T9E 6K6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Mayerthorpe,"4706 54 Street MAYERTHORPE, Alberta T0E 1N0",MAYERTHORPE,Alberta,T0E 1N0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Michener Hill (LTC),"12 Michener Boulevard RED DEER, Alberta T4P 0M1",RED DEER,Alberta,T4P 0M1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare St. Paul,"4614 47 Avenue ST. PAUL, Alberta T0A 3A3",ST. PAUL,Alberta,T0A 3A3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Viking,"5020 57 Avenue Box 430 VIKING, Alberta T0B 4N0",VIKING,Alberta,T0B 4N0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Extendicare Vulcan,"715 2 Avenue South VULCAN, Alberta T0L 2B0",VULCAN,Alberta,T0L 2B0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview Health Complex [Continuing Care Centre],"10628 110 Street FAIRVIEW, Alberta T0H 1L0",FAIRVIEW,Alberta,T0H 1L0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Father Lacombe Care Centre,"270 Providence Boulevard SE, CALGARY, Alberta T2X0V6",CALGARY,Alberta, T2X0V6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Foyer Lacombe,"1 St. Vital Avenue ST. ALBERT, Alberta T8N1K1",ST. ALBERT,Alberta, T8N1K1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Society Southgate Care Centre,"4225 107 Street, EDMONTON, Alberta T6J2P1",EDMONTON,Alberta, T6J2P1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Society Pembina Village,"5225 50 Street Evansburg, Alberta T0E0T0",EVANSBURG,Alberta, T0E0T0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Galahad Care Centre,"1 Main St GALAHAD, Alberta T0B 1R0",GALAHAD,Alberta,T0B 1R0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
George McDougall - Smoky Lake Healthcare Centre,"4212 55 Avenue SMOKY LAKE, Alberta T0A 3C0",SMOKY LAKE,Alberta,T0A 3C0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Glamorgan Care Centre,"105 Galbraith Drive SW CALGARY, Alberta T3E 4Z5",CALGARY,Alberta,T3E 4Z5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Dr. Gerald Zetter Care Centre,"9649 71 Avenue NW EDMONTON, Alberta T6E 5J2",EDMONTON,Alberta,T6E 5J2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Society Millwoods Centre,"101 Youville Drive East EDMONTON, Alberta T6L 7A4",EDMONTON,Alberta,T6L 7A4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Society Stony Plain Care Centre (LTC),"4800 55 Avenue STONY PLAIN, Alberta T7Z 1P9",STONY PLAIN,Alberta,T7Z 1P9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan South Ridge Village (LTC),"550 Spruce Way SE MEDICINE HAT, Alberta T1B 4P1",MEDICINE HAT,Alberta,T1B 4P1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Grande Prairie Care Centre,"9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2",GRANDE PRAIRIE,Alberta, T8V3A2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Grande Prairie Care Centre (LTC),"9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2",GRANDE PRAIRIE,Alberta, T8V3A2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Grimshaw/Berwyn And District Community Health Centre,"5621 Wilcox Road GRIMSHAW, Alberta T0H 1W0",GRIMSHAW,Alberta,T0H 1W0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Hanna Health Centre,"904 Centre Street N, Box 830 HANNA, Alberta T0J 1P0",HANNA,Alberta,T0J 1P0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Hardisty Care Centre,"6420 101 Avenue EDMONTON, Alberta T6A 0H5",EDMONTON,Alberta,T6A 0H5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Hardisty Health Centre,"4531 47 Avenue, Box 269 HARDISTY, Alberta T0B1V0",HARDISTY,Alberta, T0B1V0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
High River General Hospital,"560 9 Avenue SW HIGH RIVER, Alberta T1V 1B3",HIGH RIVER,Alberta,T1V 1B3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Hythe Continuing Care Centre,"10307 100 Street PO Box 100 HYTHE, Alberta T0H 2C0",HYTHE,Alberta,T0H 2C0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Innisfail Health Centre,"5023 42 Street INNISFAIL, Alberta T4G 1A9",INNISFAIL,Alberta,T4G 1A9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Intercare Brentwood Care Centre,"2727 16 Avenue NW CALGARY, Alberta T2N 3Y6",CALGARY,Alberta,T2N 3Y6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Intercare Chinook Care Centre,"1261 Glenmore Trail SW CALGARY, Alberta T2V 4Y8",CALGARY,Alberta,T2V 4Y8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Intercare Southwood Care Centre,"211 Heritage Drive, SE CALGARY, Alberta T2H 1M9",CALGARY,Alberta,T2H 1M9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
J.B. Wood Continuing Care Centre,"46206 53 Avenue HIGH PRAIRIE, Alberta T0G1E0",HIGH PRAIRIE,Alberta, T0G1E0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper Place Continuing Care Centre,"8903 168 Street EDMONTON, Alberta T5R 2V6",EDMONTON,Alberta,T5R 2V6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilee Lodge Nursing Home,"10333 76 Street EDMONTON, Alberta T6A 3A8",EDMONTON,Alberta,T6A 3A8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Village Continuing Care Centre (LTC),"12603 135 Avenue EDMONTON, Alberta T5L 5B2",EDMONTON,Alberta,T5L 5B2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Killam Health Care Centre,"5203 49 Avenue, Box 40 KILLAM, Alberta T0B 2L0",KILLAM,Alberta,T0B 2L0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Killam Health Care Centre,"5203 49 Avenue, Box 40 KILLAM, Alberta T0B 2L0",KILLAM,Alberta,T0B 2L0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
La Crete Continuing Care Centre,"10601 100 Avenue Box 295 LA CRETE, Alberta T0H 2H0",LA CRETE,Alberta,T0H 2H0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Lacombe Hospital And Care Centre,"5430 47 Avenue LACOMBE, Alberta T4L 1G8",LACOMBE,Alberta,T4L 1G8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Lamont Health Care Centre,"5216 53 Street Bag 10 LAMONT, Alberta T0B 2R0",LAMONT,Alberta,T0B 2R0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Lloydminster Continuing Care Centre,"7402 – 29th Street, LLOYDMINSTER, Alberta, T9V 3N1",LLOYDMINSTER,Alberta,T9V 3N1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Louise Jensen Care Centre,"5400 46 Avenue CAMROSE, Alberta T4V 4P8",CAMROSE,Alberta,T4V 4P8,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Milk River Health Centre,"517 Centre Avenue East MILK RIVER, Alberta T0K1M0",MILK RIVER,Alberta, T0K1M0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Manning Community Health Centre,"600 2 Street NE MANNING, Alberta T0H 2M0",MANNING,Alberta,T0H 2M0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Mannville Care Centre,"5007 46 Street MANNVILLE, Alberta T0B 2W0",MANNVILLE,Alberta,T0B 2W0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Manoir Du Lac (LTC),"164 3 Avenue NW MCLENNAN, Alberta T0H 2L0",MCLENNAN,Alberta,T0H 2L0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Immaculate Hospital,"Polomark Drive and 53 Street Box 349 MUNDARE,  Alberta  T0B3H0",MUNDARE,Alberta, T0B3H0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Mayerthorpe Healthcare Centre,"4417 45 Street MAYERTHORPE, Alberta T0E1N0",MAYERTHORPE,Alberta, T0E1N0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfair Care Centre,"8240 Collicut Street SW CALGARY, Alberta T2V 2X1",CALGARY,Alberta,T2V 2X1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
McKenzie Towne Care Centre,"80 Promenade Way SE CALGARY,  Alberta  T2Z4G4",CALGARY,Alberta, T2Z4G4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Miller Crossing Care Centre,"14251 50 Street NW EDMONTON, Alberta T5A 5J4",EDMONTON,Alberta,T5A 5J4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Millrise Place (LTC),"14911 5 Street SW CALGARY, Alberta T2Y 5B9",CALGARY,Alberta,T2Y 5B9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Millwoods Shepherd’s Care Centre,"6620 28 Avenue EDMONTON, Alberta T6K 2R1",EDMONTON,Alberta,T6K 2R1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral Springs Hospital,"305 Lynx Street PO Box 1050 BANFF, Alberta T1L 1H7",BANFF,Alberta,T1L 1H7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral Springs Hospital,"305 Lynx Street PO Box 1050 BANFF, Alberta T1L 1H7",BANFF,Alberta,T1L 1H7,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Royal Care Centre,"1813 9 Street SW CALGARY, Alberta T2T 3C2",CALGARY,Alberta,T2T 3C2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Newport Harbour Care Centre,"10 Country Village Cove NE CALGARY, Alberta T3K 6B4",CALGARY,Alberta,T3K 6B4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Northcott Care Centre (Ponoka),"4209 48 Avenue PONOKA, Alberta T5J 1P4",PONOKA,Alberta,T5J 1P4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Lights Regional Health Centre,"7 Hospital Street FORT MCMURRAY, Alberta T9H 1P2",FORT MCMURRAY,Alberta,T9H 1P2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Health Centre,"11202 100 Avenue HIGH LEVEL, Alberta T0H 1Z0",HIGH LEVEL,Alberta,T0H 1Z0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Oilfields General Hospital,"717 Government Road BLACK DIAMOND, Alberta T0L 0H0",BLACK DIAMOND,Alberta,T0L 0H0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Olds Hospital And Care Centre,"3901 57 Avenue OLDS, Alberta T4H 1T4",OLDS,Alberta,T4H 1T4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady Of The Rosary Hospital,"5402 47 Street CASTOR, Alberta T0C 0X0",CASTOR,Alberta,T0C 0X0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady Of The Rosary Hospital,"5402 47 Street CASTOR, Alberta T0C 0X0",CASTOR,Alberta,T0C 0X0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Peace River Community Health Centre,"10101 68 Street PEACE RIVER, Alberta T8S 1T6",PEACE RIVER,Alberta,T8S 1T6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Pincher Creek Health Centre,"1222 Mill Ave PINCHER CREEK, Alberta T0K 1W0",PINCHER CREEK,Alberta,T0K 1W0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Points West Living Grande Prairie (LTC),"11460 104 Avenue GRANDE PRAIRIE, Alberta T8V 3G9",GRANDE PRAIRIE,Alberta,T8V 3G9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Ponoka Hospital And Care Centre,"5800 57 Avenue PONOKA, Alberta T4J 1P1",PONOKA,Alberta,T4J 1P1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Providence Care Centre (LTC),"149 Providence Boulevard SE CALGARY, Alberta, T2X 0X2",CALGARY,Alberta,T2X 0X2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Provost Health Centre,"5002 54 Avenue Box 270 PROVOST, Alberta T0B 3S0",PROVOST,Alberta,T0B 3S0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Rosehaven Care Centre,"4612 53 Street CAMROSE,  Alberta  T4V1Y6",CAMROSE,Alberta, T4V1Y6,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Radway Continuing Care Centre,"Hwy 28, Range Road 205 RADWAY, Alberta T0A 2V0",RADWAY,Alberta,T0A 2V0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Health Centre,"150 N 4 Street East RAYMOND, Alberta T0K 2S0",RAYMOND,Alberta,T0K 2S0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Redwater Health Centre,"4812 58 Street REDWATER, Alberta T0A 2W0",REDWATER,Alberta,T0A 2W0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Rimbey Hospital And Care Centre,"5228 50 Avenue RIMBEY, Alberta T0C 2J0",RIMBEY,Alberta,T0C 2J0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Rivercrest Care Centre,"10104 101 Avenue FORT SASKATCHEWAN, Alberta T8L 2A5",FORT SASKATCHEWAN,Alberta,T8L 2A5,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Riverview Care Centre,"603 Prospect Drive SW MEDICINE HAT, Alberta T1A 4C2",MEDICINE HAT,Alberta,T1A 4C2,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
