Site Name,Address 1,Visit Type,Visit Result,Site Name
CAPITAL CARE NORWOOD,10410 111 Avenue,Consultation,Compliant,1
CAPITAL CARE NORWOOD,10410 111 Avenue,Inspection Visit,Compliant,1
CAPITAL CARE NORWOOD,10410 111 Avenue,Mini Inspection Visit,Compliant,1
CAPITAL CARE STRATHCONA,12 Brower Drive,Consultation,Compliant,1
CAPITAL CARE STRATHCONA,12 Brower Drive,Follow-Up Visit,Non-Compliant,2
CAPITAL CARE STRATHCONA,12 Brower Drive,Inspection Visit,Compliant,1
CAPITAL CARE STRATHCONA,12 Brower Drive,Inspection Visit,Non-Compliant,2
CARDSTON HEALTH CENTRE,144 2 Street West,Consultation,Compliant,1
CARDSTON HEALTH CENTRE,144 2 Street West,Follow-Up Visit,Compliant,1
CARDSTON HEALTH CENTRE,144 2 Street West,Inspection Visit,Compliant,1
CARDSTON HEALTH CENTRE,144 2 Street West,Inspection Visit,Non-Compliant,4
CAREWEST COLONEL BELCHER,1939 Veterans Way NW,Consultation,Compliant,1
CAREWEST COLONEL BELCHER,1939 Veterans Way NW,Inspection Visit,Compliant,2
CAREWEST DR. VERNON FANNING CENTRE,722 16 Avenue NE,Complaint,Compliant,1
CAREWEST DR. VERNON FANNING CENTRE,722 16 Avenue NE,Consultation,Compliant,1
CAREWEST DR. VERNON FANNING CENTRE,722 16 Avenue NE,Inspection Visit,Compliant,2
CAREWEST GARRISON GREEN,3108 Don Ethell Boulevard SW,Consultation,Compliant,1
CAREWEST GARRISON GREEN,3108 Don Ethell Boulevard SW,Inspection Visit,Compliant,1
CAREWEST GARRISON GREEN,3108 Don Ethell Boulevard SW,Mini Inspection Visit,Compliant,1
CAREWEST GEORGE BOYACK,1203 Centre Avenue NE,Consultation,Compliant,1
CAREWEST GEORGE BOYACK,1203 Centre Avenue NE,Inspection Visit,Compliant,2
CAREWEST ROULEAU MANOR,2208 2 Street SW,Consultation,Compliant,1
CAREWEST ROULEAU MANOR,2208 2 Street SW,Inspection Visit,Compliant,2
CAREWEST ROYAL PARK,4222 Sarcee Road SW,Consultation,Compliant,1
CAREWEST ROYAL PARK,4222 Sarcee Road SW,Inspection Visit,Compliant,2
CAREWEST SARCEE,3504 Sarcee Road SW,Inspection Visit,Compliant,2
CAREWEST SIGNAL POINTE,6363 Simcoe Road SW,Consultation,Compliant,1
CAREWEST SIGNAL POINTE,6363 Simcoe Road SW,Inspection Visit,Compliant,2
CENTRAL PEACE HEALTH COMPLEX,5010 45 Avenue,Consultation,Compliant,1
CENTRAL PEACE HEALTH COMPLEX,5010 45 Avenue,Inspection Visit,Non-Compliant,2
CHINOOK CARE CENTRE,1261 Glenmore Trail SW,Consultation,Compliant,1
CITADEL CARE CENTRE,25 Erin Ridge Road,Consultation,Compliant,1
CITADEL CARE CENTRE,25 Erin Ridge Road,Inspection Visit,Compliant,1
CITADEL CARE CENTRE,25 Erin Ridge Road,Mini Inspection Visit,Compliant,1
CLIFTON MANOR,4726 8 Avenue SE,Consultation,Compliant,1
CLIFTON MANOR,4726 8 Avenue SE,Inspection Visit,Compliant,2
COALDALE HEALTH CENTRE,2100 11 Street,Consultation,Compliant,1
COLD LAKE HEALTHCARE CENTRE,314 25 Street,Consultation,Compliant,1
CONSORT HOSPITAL AND CARE CENTRE,5402 52 Avenue,Consultation,Compliant,1
CONSORT HOSPITAL AND CARE CENTRE,5402 52 Avenue,Inspection Visit,Non-Compliant,2
CORONATION HOSPITAL AND CARE CENTRE,5000 Municipal Road,Consultation,Compliant,1
CORONATION HOSPITAL AND CARE CENTRE,5000 Municipal Road,Inspection Visit,Non-Compliant,5
CROWSNEST PASS HEALTH CENTRE,2001 107 Street,Consultation,Compliant,1
DEVON GENERAL HOSPITAL,101 Erie Street South,Consultation,Compliant,1
DEVON GENERAL HOSPITAL,101 Erie Street South,Inspection Visit,Compliant,1
DEVON GENERAL HOSPITAL,101 Erie Street South,Inspection Visit,Non-Compliant,1
DEVONSHIRE CARE CENTRE,1808 142 Street,Consultation,Compliant,1
DIANE AND IRVING KIPNES CENTRE FOR VETERANS,4470 McCrae Avenue,Consultation,Compliant,1
DIANE AND IRVING KIPNES CENTRE FOR VETERANS,4470 McCrae Avenue,Inspection Visit,Compliant,1
DIANE AND IRVING KIPNES CENTRE FOR VETERANS,4470 McCrae Avenue,Mini Inspection Visit,Compliant,1
DIDSBURY DISTRICT HEALTH SERVICES,1210 20 Avenue,Consultation,Compliant,1
DIDSBURY DISTRICT HEALTH SERVICES,1210 20 Avenue,Inspection Visit,Compliant,2
DR. COOKE EXTENDED CARE CENTRE,3915 56 Avenue,Consultation,Compliant,1
DR. COOKE EXTENDED CARE CENTRE,3915 56 Avenue,Inspection Visit,Compliant,2
DR. W. R. KEIR - BARRHEAD CONTINUING CARE CENTRE,5336 59 Avenue,Consultation,Compliant,1
DR. W. R. KEIR - BARRHEAD CONTINUING CARE CENTRE,5336 59 Avenue,Inspection Visit,Compliant,1
DR. W. R. KEIR - BARRHEAD CONTINUING CARE CENTRE,5336 59 Avenue,Inspection Visit,Non-Compliant,1
DRAYTON VALLEY HOSPITAL AND CARE CENTRE,4550 Madsen Avenue,Consultation,Compliant,1
DRAYTON VALLEY HOSPITAL AND CARE CENTRE,4550 Madsen Avenue,Inspection Visit,Compliant,2
DRUMHELLER HEALTH CENTRE,351  9 Street NW,Consultation,Compliant,1
DRUMHELLER HEALTH CENTRE,351  9 Street NW,Follow-Up Visit,Compliant,1
DRUMHELLER HEALTH CENTRE,351  9 Street NW,Inspection Visit,Compliant,1
DRUMHELLER HEALTH CENTRE,351  9 Street NW,Inspection Visit,Non-Compliant,4
EDITH CAVELL CARE CENTRE,1255 5 Avenue South,Consultation,Compliant,1
EDITH CAVELL CARE CENTRE,1255 5 Avenue South,Inspection Visit,Compliant,2
EDMONTON CHINATOWN CARE CENTRE,9539 102A Avenue,Consultation,Compliant,1
EDMONTON CHINATOWN CARE CENTRE,9539 102A Avenue,Inspection Visit,Compliant,1
EDMONTON CHINATOWN CARE CENTRE,9539 102A Avenue,Mini Inspection Visit,Compliant,1
EDMONTON GENERAL CONTINUING CARE,11111 Jasper Avenue,Complaint,Non-Compliant,5
EDMONTON GENERAL CONTINUING CARE,11111 Jasper Avenue,Consultation,Non-Compliant,3
EDMONTON GENERAL CONTINUING CARE,11111 Jasper Avenue,Inspection Visit,Compliant,1
EDMONTON GENERAL CONTINUING CARE,11111 Jasper Avenue,Inspection Visit,Non-Compliant,5
EDSON CONTINUING CARE,3825 6 Avenue,Consultation,Non-Compliant,2
EDSON CONTINUING CARE,3825 6 Avenue,Inspection Visit,Non-Compliant,16
ELK POINT HEALTHCARE CENTRE,5221 52 Avenue,Consultation,Compliant,1
ELK POINT HEALTHCARE CENTRE,5221 52 Avenue,Inspection Visit,Compliant,1
ELK POINT HEALTHCARE CENTRE,5221 52 Avenue,Mini Inspection Visit,Compliant,1
EXTENDICARE ATHABASCA,4517 53 Street,Consultation,Compliant,1
EXTENDICARE ATHABASCA,4517 53 Street,Inspection Visit,Compliant,2
EXTENDICARE BONNYVILLE,4602 47 Avenue,Consultation,Compliant,1
EXTENDICARE BONNYVILLE,4602 47 Avenue,Inspection Visit,Compliant,1
EXTENDICARE BONNYVILLE,4602 47 Avenue,Mini Inspection Visit,Compliant,1
EXTENDICARE CEDARS VILLA,3330 8 Avenue SW,Complaint,Compliant,1
EXTENDICARE CEDARS VILLA,3330 8 Avenue SW,Inspection Visit,Compliant,2
EXTENDICARE EAUX CLAIRES,16503 95 Street,Consultation,Compliant,1
EXTENDICARE EAUX CLAIRES,16503 95 Street,Inspection Visit,Compliant,1
EXTENDICARE EAUX CLAIRES,16503 95 Street,Mini Inspection Visit,Compliant,1
EXTENDICARE FORT MACLEOD ,654 29 Street ,Consultation,Compliant,1
EXTENDICARE FORT MACLEOD ,654 29 Street ,Inspection Visit,Compliant,2
EXTENDICARE HILLCREST,1512 8 Avenue NW,Consultation,Compliant,1
EXTENDICARE HILLCREST,1512 8 Avenue NW,Inspection Visit,Compliant,2
EXTENDICARE HOLYROOD (SOUTH),8008 95 Avenue,Complaint,Compliant,2
EXTENDICARE HOLYROOD (SOUTH),8008 95 Avenue,Consultation,Compliant,1
EXTENDICARE LEDUC,4309 50 Street,Consultation,Compliant,1
EXTENDICARE LEDUC,4309 50 Street,Inspection Visit,Compliant,2
EXTENDICARE MAYERTHORPE,4706 54 Street,Consultation,Compliant,1
EXTENDICARE MAYERTHORPE,4706 54 Street,Inspection Visit,Compliant,2
EXTENDICARE MICHENER HILL,12 Michener Boulevard,Consultation,Compliant,2
EXTENDICARE MICHENER HILL,12 Michener Boulevard,Inspection Visit,Compliant,1
EXTENDICARE MICHENER HILL,12 Michener Boulevard,Inspection Visit,Non-Compliant,3
EXTENDICARE ST. PAUL,4614 47 Avenue ,Consultation,Compliant,1
EXTENDICARE ST. PAUL,4614 47 Avenue ,Inspection Visit,Compliant,1
EXTENDICARE ST. PAUL,4614 47 Avenue ,Inspection Visit,Non-Compliant,1
EXTENDICARE VIKING,5020 57 Avenue ,Consultation,Compliant,1
EXTENDICARE VIKING,5020 57 Avenue ,Inspection Visit,Compliant,2
EXTENDICARE VULCAN ,715 2 Avenue South ,Consultation,Compliant,1
EXTENDICARE VULCAN ,715 2 Avenue South ,Inspection Visit,Compliant,2
FAIRVIEW HEALTH COMPLEX (CONTINUING CARE CENTRE),10628 110 Street,Consultation,Non-Compliant,1
FAIRVIEW HEALTH COMPLEX (CONTINUING CARE CENTRE),10628 110 Street,Follow-Up Visit,Non-Compliant,2
FAIRVIEW HEALTH COMPLEX (CONTINUING CARE CENTRE),10628 110 Street,Inspection Visit,Non-Compliant,3
FATHER LACOMBE CARE CENTRE,270 Providence Boulevard SE,Consultation,Compliant,1
FATHER LACOMBE CARE CENTRE,270 Providence Boulevard SE,Inspection Visit,Compliant,1
FATHER LACOMBE CARE CENTRE,270 Providence Boulevard SE,Mini Inspection Visit,Compliant,1
FOYER LACOMBE,1 St. Vital Avenue,Consultation,Non-Compliant,1
FOYER LACOMBE,1 St. Vital Avenue,Inspection Visit,Compliant,1
FOYER LACOMBE,1 St. Vital Avenue,Inspection Visit,Non-Compliant,1
GALAHAD CARE CENTRE,102 Lady Helen Avenue East,Consultation,Compliant,1
GALAHAD CARE CENTRE,102 Lady Helen Avenue East,Inspection Visit,Compliant,2
GEORGE MCDOUGALL - SMOKY LAKE HEALTHCARE CENTRE,4212 55 Avenue,Consultation,Compliant,1
GEORGE MCDOUGALL - SMOKY LAKE HEALTHCARE CENTRE,4212 55 Avenue,Inspection Visit,Non-Compliant,16
GLAMORGAN NURSING HOME,105 Galbraith Drive SW,Consultation,Compliant,1
GOOD SAMARITAN SOCIETY CLEARWATER CENTRE,(Main Office) 8861 75 Street,Consultation,Compliant,1
GOOD SAMARITAN SOCIETY DR. GERALD ZETTER,9649 71 Avenue NW,Consultation,Non-Compliant,1
GOOD SAMARITAN SOCIETY DR. GERALD ZETTER,9649 71 Avenue NW,Inspection Visit,Compliant,1
GOOD SAMARITAN SOCIETY DR. GERALD ZETTER,9649 71 Avenue NW,Inspection Visit,Non-Compliant,1
GOOD SAMARITAN SOCIETY MILLWOODS CENTRE,101 Youville Drive East,Consultation,Compliant,1
GOOD SAMARITAN SOCIETY MILLWOODS CENTRE,101 Youville Drive East,Inspection Visit,Compliant,1
GOOD SAMARITAN SOCIETY MILLWOODS CENTRE,101 Youville Drive East,Mini Inspection Visit,Non-Compliant,1
GOOD SAMARITAN SOCIETY PEMBINA VILLAGE,5225 50 Street,Consultation,Compliant,1
GOOD SAMARITAN SOCIETY SOUTH RIDGE VILLAGE (THE),550 Spruce Way SE,Consultation,Compliant,1
GOOD SAMARITAN SOCIETY SOUTH RIDGE VILLAGE (THE),550 Spruce Way SE,Inspection Visit,Compliant,2
GOOD SAMARITAN SOCIETY SOUTHGATE,4225 107 Street NW,Consultation,Compliant,1
GOOD SAMARITAN SOCIETY SOUTHGATE,4225 107 Street NW,Inspection Visit,Compliant,2
GRANDE PRAIRIE CARE CENTRE,9705 94 Avenue,Consultation,Compliant,1
GRIMSHAW/BERWYN AND DISTRICT COMMUNITY HEALTH CENTRE,5621 Wilcox Road,Consultation,Compliant,1
HANNA HEALTH CENTRE,904 Centre Street North,Consultation,Compliant,1
HANNA HEALTH CENTRE,904 Centre Street North,Inspection Visit,Compliant,1
HANNA HEALTH CENTRE,904 Centre Street North,Inspection Visit,Non-Compliant,2
HARDISTY CARE CENTRE,6420 101 Avenue,Consultation,Compliant,1
HARDISTY CARE CENTRE,6420 101 Avenue,Inspection Visit,Non-Compliant,1
HARDISTY CARE CENTRE,6420 101 Avenue,Mini Inspection Visit,Compliant,1
HARDISTY HEALTH CENTRE,4531 47 Avenue,Consultation,Compliant,1
HIGH RIVER GENERAL HOSPITAL,560 9 Avenue SW,Consultation,Compliant,1
HIGH RIVER GENERAL HOSPITAL,560 9 Avenue SW,Inspection Visit,Compliant,2
HYTHE CONTINUING CARE CENTRE,10307 100 Street,Consultation,Compliant,1
INNISFAIL HEALTH CENTRE,5023 42 Street,Consultation,Compliant,1
INNISFAIL HEALTH CENTRE,5023 42 Street,Inspection Visit,Compliant,1
INNISFAIL HEALTH CENTRE,5023 42 Street,Inspection Visit,Non-Compliant,2
J.B. WOOD CONTINUING CARE CENTRE,5101 38 Street,Consultation,Compliant,1
J.B. WOOD CONTINUING CARE CENTRE,5101 38 Street,Inspection Visit,Compliant,1
J.B. WOOD CONTINUING CARE CENTRE,5101 38 Street,Mini Inspection Visit,Compliant,1
JASPER PLACE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,8903 168 Street,Consultation,Compliant,1
JASPER PLACE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,8903 168 Street,Follow-Up Visit,Compliant,1
JASPER PLACE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,8903 168 Street,Inspection Visit,Non-Compliant,2
JUBILEE LODGE NURSING HOME,10333 76 Street,Consultation,Compliant,1
JUBILEE LODGE NURSING HOME,10333 76 Street,Inspection Visit,Compliant,1
JUBILEE LODGE NURSING HOME,10333 76 Street,Mini Inspection Visit,Compliant,1
KAINAI CONTINUING CARE (BLOOD TRIBE) ,P.O Box 380,Consultation,Compliant,1
KILLAM HEALTH CARE CENTRE,5203 49 Avenue,Consultation,Compliant,1
KILLAM HEALTH CARE CENTRE,5203 49 Avenue,Follow-Up Visit,Compliant,1
KILLAM HEALTH CARE CENTRE,5203 49 Avenue,Inspection Visit,Compliant,1
KILLAM HEALTH CARE CENTRE,5203 49 Avenue,Inspection Visit,Non-Compliant,1
LA CRETE CONTINUING CARE CENTRE,10603 100 Avenue,Consultation,Compliant,1
LACOMBE HOSPITAL AND CARE CENTRE,5430 47 Avenue,Consultation,Compliant,1
LACOMBE HOSPITAL AND CARE CENTRE,5430 47 Avenue,Follow-Up Visit,Compliant,1
LACOMBE HOSPITAL AND CARE CENTRE,5430 47 Avenue,Follow-Up Visit,Non-Compliant,2
LACOMBE HOSPITAL AND CARE CENTRE,5430 47 Avenue,Inspection Visit,Non-Compliant,5
LAMONT HEALTH CARE CENTRE,5216 53 Street,Consultation,Compliant,1
LOUISE JENSEN CARE CENTRE,5400 46 Avenue,Consultation,Compliant,1
LOUISE JENSEN CARE CENTRE,5400 46 Avenue,Inspection Visit,Compliant,2
MANNING COMMUNITY HEALTH CENTRE,600 2 Street NE,Consultation,Compliant,1
MANNVILLE CARE CENTRE,5007 46 Street,Consultation,Compliant,1
MANNVILLE CARE CENTRE,5007 46 Street,Inspection Visit,Compliant,2
MANOIR DU LAC,164 3 Avenue NW,Complaint,Non-Compliant,8
MANOIR DU LAC,164 3 Avenue NW,Consultation,Non-Compliant,3
MANOIR DU LAC,164 3 Avenue NW,Follow-Up Visit,Compliant,1
MANOIR DU LAC,164 3 Avenue NW,Follow-Up Visit,Non-Compliant,18
MARY IMMACULATE CARE CENTRE,Polomark Drive and 53 Street,Consultation,Compliant,1
MARY IMMACULATE CARE CENTRE,Polomark Drive and 53 Street,Follow-Up Visit,Non-Compliant,2
MARY IMMACULATE CARE CENTRE,Polomark Drive and 53 Street,Inspection Visit,Non-Compliant,4
MASTERPIECE SOUTHLAND MEADOWS LTD.,4401 Southlands Drive SE,Complaint,Non-Compliant,1
MASTERPIECE SOUTHLAND MEADOWS LTD.,4401 Southlands Drive SE,Consultation,Compliant,1
MAYERTHORPE HEALTHCARE CENTRE,4417 45 Street,Inspection Visit,Compliant,1
MAYERTHORPE HEALTHCARE CENTRE,4417 45 Street,Inspection Visit,Non-Compliant,8
MAYFAIR CARE CENTRE,8240 Collicut Street SW,Consultation,Compliant,1
MCKENZIE TOWNE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,80 Promenade Way SE,Complaint,Compliant,1
MCKENZIE TOWNE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,80 Promenade Way SE,Follow-Up Visit,Non-Compliant,2
MCKENZIE TOWNE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,80 Promenade Way SE,Inspection Visit,Compliant,1
MCKENZIE TOWNE CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,80 Promenade Way SE,Inspection Visit,Non-Compliant,3
MILK RIVER HEALTH CENTRE,517 Centre Avenue East,Consultation,Compliant,1
MILK RIVER HEALTH CENTRE,517 Centre Avenue East,Inspection Visit,Compliant,1
MILK RIVER HEALTH CENTRE,517 Centre Avenue East,Mini Inspection Visit,Compliant,1
MILLER CROSSING CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,14251 50 Street NW,Consultation,Compliant,1
MILLER CROSSING CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,14251 50 Street NW,Follow-Up Visit,Compliant,1
MILLER CROSSING CONTINUING CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,14251 50 Street NW,Inspection Visit,Compliant,2
MILLRISE SENIORS VILLAGE,14911 5 Street SW,Inspection Visit,Compliant,2
MILLWOODS SHEPHERD'S CARE CENTRE,6620C 28 Avenue,Consultation,Compliant,1
MILLWOODS SHEPHERD'S CARE CENTRE,6620C 28 Avenue,Inspection Visit,Compliant,1
MILLWOODS SHEPHERD'S CARE CENTRE,6620C 28 Avenue,Inspection Visit,Non-Compliant,1
MOUNT ROYAL CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,1813 9 Street SW,Consultation,Compliant,1
MOUNT ROYAL CARE CENTRE - AXR OPERATING (NATIONAL) GP INC.,1813 9 Street SW,Inspection Visit,Compliant,2
MULTI GENERATIONAL HOUSING AND COMMUNITY CENTRE,120 Skyview Ranch Drive NE,Consultation,Non-Compliant,1
MULTI GENERATIONAL HOUSING AND COMMUNITY CENTRE,120 Skyview Ranch Drive NE,Follow-Up Visit,Non-Compliant,1
MULTI GENERATIONAL HOUSING AND COMMUNITY CENTRE,120 Skyview Ranch Drive NE,Inspection Visit,Non-Compliant,6
NEWPORT HARBOUR CARE CENTRE,10 Country Village Cove NE,Consultation,Compliant,1
NEWPORT HARBOUR CARE CENTRE,10 Country Village Cove NE,Inspection Visit,Compliant,1
NEWPORT HARBOUR CARE CENTRE,10 Country Village Cove NE,Inspection Visit,Non-Compliant,2
NORTHCOTT CARE CENTRE,4209 48 Avenue,Consultation,Compliant,1
NORTHCOTT CARE CENTRE,4209 48 Avenue,Inspection Visit,Compliant,1
NORTHCOTT CARE CENTRE,4209 48 Avenue,Mini Inspection Visit,Compliant,1
NORTHERN LIGHTS REGIONAL HEALTH CENTRE,7 Hospital Street,Consultation,Compliant,1
NORTHERN LIGHTS REGIONAL HEALTH CENTRE,7 Hospital Street,Inspection Visit,Compliant,1
NORTHERN LIGHTS REGIONAL HEALTH CENTRE,7 Hospital Street,Inspection Visit,Non-Compliant,2
NORTHWEST HEALTH CENTRE,11202 100 Avenue,Consultation,Compliant,1
OILFIELDS GENERAL HOSPITAL (RISING SUN LTC),717 Government Road,Inspection Visit,Compliant,2
OLDS HOSPITAL AND CARE CENTRE,3901 57 Avenue,Consultation,Compliant,1
OLDS HOSPITAL AND CARE CENTRE,3901 57 Avenue,Inspection Visit,Compliant,2
OUR LADY OF THE ROSARY HOSPITAL,5402 47 Street,Consultation,Compliant,1
OUR LADY OF THE ROSARY HOSPITAL,5402 47 Street,Inspection Visit,Compliant,1
OUR LADY OF THE ROSARY HOSPITAL,5402 47 Street,Mini Inspection Visit,Compliant,1
PONOKA HOSPITAL AND CARE CENTRE,5800 57 Avenue,Consultation,Compliant,1
PONOKA HOSPITAL AND CARE CENTRE,5800 57 Avenue,Inspection Visit,Compliant,1
PONOKA HOSPITAL AND CARE CENTRE,5800 57 Avenue,Inspection Visit,Non-Compliant,1
PRAIRIE LAKE SENIORS COMMUNITY,11460 104 Avenue,Consultation,Compliant,1
PRAIRIE LAKE SENIORS COMMUNITY,11460 104 Avenue,Inspection Visit,Compliant,2
PROVIDENCE CARE CENTRE,149 Providence Boulevard SE,Consultation,Compliant,1
PROVIDENCE CARE CENTRE,149 Providence Boulevard SE,Inspection Visit,Compliant,2
PROVOST HEALTH CENTRE,5002 54 Avenue,Consultation,Compliant,1
PROVOST HEALTH CENTRE,5002 54 Avenue,Inspection Visit,Compliant,1
PROVOST HEALTH CENTRE,5002 54 Avenue,Inspection Visit,Non-Compliant,1
RADWAY CONTINUING CARE CENTRE,"Hwy 28, Range Road 205",Consultation,Non-Compliant,4
RADWAY CONTINUING CARE CENTRE,"Hwy 28, Range Road 205",Inspection Visit,Non-Compliant,5
