Site Name,Address 1,Site Name
SEASONS HIGH RIVER,660 7 Street NW,3
SEASONS LETHBRIDGE,1730 10 Avenue South,2
SEASONS LETHBRIDGE GARDENS,2641 Garry Drive West,2
SHAWNESSY COMMUNITY,30 Shannon Place SW,1
SHEPHERD'S CARE GREENFIELD,3820 114 Street,1
SHEPHERD'S CARE VANGUARD,10311 122 Avenue,1
SLAVE LAKE HEALTHCARE CENTRE,309 6 Street NE,3
SOUTHWOOD CARE CENTRE,"211 Heritage Drive, SE",2
SPRUCE VIEW MANOR,4539 49 Street,1
SPRUCEWOOD PLACE HOUSING COMMUNITY PARTNERSHIP,11418 97 Street,5
ST. ANDREW'S CENTRE,12720 111 Avenue,1
ST. JOSEPH'S AUXILIARY HOSPITAL,10707 29 Avenue,1
ST. MARGUERITE MANOR,110 Evanspark Manor NW,1
ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,11
ST. MICHAEL'S LONG TERM CARE CENTRE,7404 139 Avenue,3
ST. TERESA PLACE,10 Redstone Place,2
ST. THERESE - ST. PAUL HEALTHCARE CENTRE,4713 48 Avenue,1
ST. THERESE VILLA,253 Southgate Boulevard,1
STONY PLAIN CARE CENTRE,4800 55 Avenue,8
SUMMERWOOD VILLAGE RETIREMENT RESIDENCE,4255 Clover Bar Road,1
SUNNYSIDE CARE CENTRE (SOUTH COUNTRY VILLAGE),1720 Bell Street SW,7
SUNNYSIDE MANOR,4522 47 Avenue,2
TABER HEALTH CENTRE,4326 50 Avenue,4
THE MEADOWLANDS RETIREMENT RESIDENCE,223 Park Meadows Drive SE,2
THE MUSTARD SEED,1010 Centre Street SE,3
THORHILD LODGE,302 2 Avenue,1
THREE HILLS HEALTH CENTRE,1504 2 Street North,1
TOUCHMARK AT WEDGEWOOD THE GRANDE,18333 Lessard Road,3
TUOI HAC - GOLDEN AGE MANOR,12607 148 Avenue,1
VEGREVILLE CARE CENTRE,4525 50 Street,1
VEGREVILLE MANOR,5913 49 Street,2
VENTA CARE CENTRE,13525 102 Street,4
VERMILION VALLEY LODGE,5401 46 Street,2
VILLA MARGUERITE SENIORS COMMUNITY PARTNERSHIP,9810 165 Street,4
VIRGINIA PARK LODGE,11033 76 Street NW,1
WELLINGTON RETIREMENT RESIDENCE (THE),1595 Southview Drive SE,5
WEST PINE LODGE,5 Avenue & 4 Street,8
WESTLOCK CONTINUING CARE CENTRE,10203 96 Street,1
WESTVIEW LODGE,5427 52 Avenue,2
WETASKIWIN HOSPITAL AND CARE CENTRE,6910 47 Street,1
WHITEHORN VILLAGE RETIREMENT COMMUNITY,5200 44 Avenue NE,2
WILLIAM J. CADZOW - LAC LA BICHE HEALTHCARE CENTRE,9110 93 Street,7
YORK CREEK LODGE,1810 112 Street,5
YOUVILLE AUXILIARY HOSPITAL (GREY NUNS) OF ST. ALBERT,9 St. Vital Avenue,6
