,Location,Facility Name,Facility Address,Operator Name,Operator Type,DSL-3,DSL-4,DSL-4-Dementia,LTC-Auxilary Hospital,LTC-Nursing Home
32,Bow Island,Bow Island Health Centre,"938 Centre Street,   PO Bag 3990 BOW ISLAND, Alberta T0K 0G0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
33,Breton,Breton Health Centre,"4919 49 Avenue BRETON, Alberta T0C 0P0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
34,Brooks,Brooks Health Centre,"440 Third Street East (Bag 300, T1R 1B3) BROOKS, Alberta T1R 0X8",Alberta Health Services,Alberta Health Services,False,False,False,False,True
35,Canmore,Canmore General Hospital [Golden Eagle View LTC],"1100 Hospital Place CANMORE, Alberta T1W 1N2",Alberta Health Services,Alberta Health Services,False,False,False,True,False
36,Edmonton,CapitalCare Dickinsfield,"14225 94 Street NW EDMONTON, Alberta T5E 6C6",Capital Care Group Inc.,Alberta Health Services,False,False,False,True,True
38,Edmonton,CapitalCare Grandview,"6215 124 Street EDMONTON, Alberta T6H 3V1",Capital Care Group Inc.,Alberta Health Services,False,False,False,True,False
40,Edmonton,CapitalCare Lynnwood,"8740 165 Street EDMONTON, Alberta, T5R2R8",Capital Care Group Inc.,Alberta Health Services,False,False,False,True,True
43,Edmonton,CapitalCare Norwood,"10410 111 Avenue EDMONTON, Alberta T5G 3A2",Capital Care Group Inc.,Alberta Health Services,False,False,False,True,False
45,Sherwood Park,CapitalCare Strathcona (LTC),"12 Brower Drive SHERWOOD PARK, Alberta T8H 1V3",Capital Care Group Inc.,Alberta Health Services,False,False,False,False,True
46,Cardston,Cardston Health Centre,"144 2 Street West PO Box 1440 CARDSTON, Alberta T0K 0K0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
48,Calgary,Carewest Colonel Belcher (LTC),"1939 Veterans Way NW CALGARY, Alberta T3B 5Y8",Carewest,Alberta Health Services,False,False,False,True,False
49,Calgary,Carewest Dr. Vernon Fanning Centre,"722 16th Avenue NE CALGARY, Alberta T2E6V7",Carewest,Alberta Health Services,False,False,False,True,False
50,Calgary,Carewest Garrison Green,"3108 Don Ethell Boulevard SW CALGARY, Alberta T3E 6Z5",Carewest,Alberta Health Services,False,False,False,False,True
51,Calgary,Carewest George Boyack,"1203 Centre Avenue NE CALGARY, Alberta T2E 0A5",Carewest,Alberta Health Services,False,False,False,False,True
53,Calgary,Carewest Rouleau Manor,"2208 2 Street SW CALGARY, Alberta T2S 3C3",Carewest,Alberta Health Services,False,False,False,False,True
54,Calgary,Carewest Royal Park,"4222 Sarcee Road SW CALGARY, Alberta T3E 7J8",Carewest,Alberta Health Services,False,False,False,False,True
55,Calgary,Carewest Signal Pointe,"6363 Simcoe Road SW CALGARY, Alberta T3H 4M3",Carewest,Alberta Health Services,False,False,False,False,True
56,Spirit River,Central Peace Health Complex,"5010 45 Avenue SPIRIT RIVER, Alberta T0H 3G0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
61,St. Albert,Citadel Care Centre,"25 Erin Ridge Road ST. ALBERT, Alberta T8N 7K8",Citadel Care Corporation [Qualicare Corporation],Private,False,False,False,False,True
65,Rocky Mountain House,Clearwater Centre (Rocky Mountain House) (LTC),"5615 60 St, Rocky Mountain House, Alberta T4T1W2",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,False,False,False,True
66,Calgary,Clifton Manor,"4726 8 Avenue SE CALGARY, Alberta T2A 0A8",The Brenda Strafford Foundation,Private,False,False,False,False,True
67,Medicine Hat,Club Sierra at River Ridge (LTC),"4 River Ridge Drive NW MEDICINE HAT, Alberta T1A 8V1",Club Sierra Lifestyles At River Ridge Inc.,Private,False,False,False,False,True
68,Coaldale,Coaldale Health Centre,"2100 11 Street COALDALE, Alberta T1M 1L2",Alberta Health Services,Alberta Health Services,False,False,False,True,False
69,Cold Lake,Cold Lake Healthcare Centre,"314 25 Street COLD LAKE, Alberta T9M 1G6",Alberta Health  Services,Alberta Health Services,False,False,False,True,False
71,Consort,Consort Hospital And Care Centre,"5402 52 Avenue CONSORT, Alberta T0C 1B0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
73,Coronation,Coronation Hospital And Care Centre,"5000 Municipal Road CORONATION, Alberta T0C 1C0",Alberta Health Services,Alberta Health Services,True,False,False,True,False
76,Blairmore,Crowsnest Pass Health Centre,"2001 107 Street BLAIRMORE, Alberta T0K 0E0",Alberta Health Services,Alberta Health Services,False,False,False,True,True
78,Devon,Devon General Hospital,"101 Erie Street South DEVON, Alberta T9G 1A6",Alberta Health Services,Alberta Health Services,False,False,False,True,False
79,Edmonton,Devonshire Care Centre,"1808 142 Street NW EDMONTON, Alberta T6R 3H2",Park Place Seniors Living Inc.,Private,False,False,False,False,True
81,Didsbury,Didsbury District Health Services,"1210 20 Avenue DIDSBURY, Alberta T0M 0W0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
82,Lloydminster,Dr. Cooke Extended Care Centre,"3915 56 Avenue LLOYDMINSTER, Alberta T9V 1N9",Prairie North Regional Health Authority,RHA,False,False,False,True,False
83,Barrhead,Dr. W.R. Keir - Barrhead Continuing Care Centre,"5336 59 Avenue BARRHEAD, Alberta T7N 1L2",Alberta Health Services,Alberta Health Services,False,False,False,False,True
84,Drayton Valley,Drayton Valley Hospital And Care Centre,"4550 Madsen Avenue DRAYTON VALLEY, Alberta T7A 1N8",Alberta Health Services,Alberta Health Services,False,False,False,True,True
85,Drumheller,Drumheller Health Centre,"351 9 Street NW DRUMHELLER, Alberta T0J 0Y1",Alberta Health Services,Alberta Health Services,False,False,False,True,False
90,Lethbridge,Edith Cavell Care Centre,"1255 5 Avenue South LETHBRIDGE, Alberta T1J 0V6",Chantelle Management Ltd.,Private,False,False,False,False,True
92,Edmonton,Edmonton General Continuing Care Centre,"11111 Jasper Avenue EDMONTON, Alberta T5K 0L4",Covenant Health,Voluntary,False,False,False,True,False
95,Elk Point,Elk Point Healthcare Centre,"5310 50 Avenue ELK POINT, Alberta T0A 1A0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
99,Athabasca,Extendicare Athabasca,"4517 53 Street ATHABASCA, Alberta T9S 1K4",Extendicare (Canada) Inc.,Private,False,False,False,False,True
100,Bonnyville,Extendicare Bonnyville,"4602 47 Avenue BONNYVILLE, Alberta T9N 2E8",Extendicare (Canada) Inc.,Private,False,False,False,False,True
101,Calgary,Extendicare Cedars Villa,"3330 8 Avenue SW CALGARY, Alberta T3C 0E7",Extendicare (Canada) Inc.,Private,False,False,False,False,True
102,Edmonton,Extendicare Eaux Claires,"16503 95 Street EDMONTON, Alberta T5Z 0G7",Extendicare (Canada) Inc.,Private,False,False,False,False,True
104,Fort MacLeod,Extendicare Fort MacLeod,"654 29 Street Box 189 FORT MACLEOD, Alberta T0L 0Z0",Extendicare (Canada) Inc.,Private,False,False,False,False,True
105,Calgary,Extendicare Hillcrest,"1512 8 Avenue NW CALGARY, Alberta T2N 1C1",Extendicare (Canada) Inc.,Private,False,False,False,False,True
106,Edmonton,Extendicare Holyrood [Extendicare Holyrood (South)],"8008 95 Avenue EDMONTON, Alberta T6C 2T1",Extendicare (Canada) Inc.,Private,False,False,False,False,True
107,Leduc,Extendicare Leduc,"4309 50 Street Box 280 LEDUC, Alberta T9E 6K6",Extendicare (Canada) Inc.,Private,False,False,False,False,True
108,Mayerthorpe,Extendicare Mayerthorpe,"4706 54 Street MAYERTHORPE, Alberta T0E 1N0",Extendicare (Canada) Inc.,Private,False,False,False,False,True
110,Red Deer,Extendicare Michener Hill (LTC),"12 Michener Boulevard RED DEER, Alberta T4P 0M1",Extendicare (Canada) Inc.,Private,False,False,False,False,True
111,St Paul,Extendicare St. Paul,"4614 47 Avenue ST. PAUL, Alberta T0A 3A3",Extendicare (Canada) Inc.,Private,False,False,False,False,True
112,Viking,Extendicare Viking,"5020 57 Avenue Box 430 VIKING, Alberta T0B 4N0",Extendicare (Canada) Inc.,Private,False,False,False,False,True
113,Vulcan,Extendicare Vulcan,"715 2 Avenue South VULCAN, Alberta T0L 2B0",Extendicare (Canada) Inc.,Private,False,False,False,False,True
114,Fairview,Fairview Health Complex [Continuing Care Centre],"10628 110 Street FAIRVIEW, Alberta T0H 1L0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
116,Calgary,Father Lacombe Care Centre,"270 Providence Boulevard SE, CALGARY, Alberta T2X0V6",The Father Albert Lacombe Home,Voluntary,False,False,False,False,True
117,St. Albert,Foyer Lacombe,"1 St. Vital Avenue ST. ALBERT, Alberta T8N1K1",Convenant Care,Voluntary,False,False,False,False,True
118,Edmonton,Good Samaritan Society Southgate Care Centre,"4225 107 Street, EDMONTON, Alberta T6J2P1",The Good Samaritan Alberta Health Society (A Lutheran Social Service Organization),Voluntary,False,False,False,False,True
119,Evansburg,Good Samaritan Society Pembina Village,"5225 50 Street Evansburg, Alberta T0E0T0",The Good Samaritan Alberta Health Society (A Lutheran Social Service Organization),Voluntary,False,False,False,False,True
120,Galahad,Galahad Care Centre,"1 Main St GALAHAD, Alberta T0B 1R0",Alberta Health Services,Alberta Health Services,False,False,False,False,True
122,Smoky Lake,George McDougall - Smoky Lake Healthcare Centre,"4212 55 Avenue SMOKY LAKE, Alberta T0A 3C0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
123,Calgary,Glamorgan Care Centre,"105 Galbraith Drive SW CALGARY, Alberta T3E 4Z5",Travois Holdings Ltd.,Private,False,False,False,False,True
126,Edmonton,Good Samaritan Dr. Gerald Zetter Care Centre,"9649 71 Avenue NW EDMONTON, Alberta T6E 5J2",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,False,False,True,False
131,Edmonton,Good Samaritan Society Millwoods Centre,"101 Youville Drive East EDMONTON, Alberta T6L 7A4",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,False,False,False,True
134,Stony Plain,Good Samaritan Society Stony Plain Care Centre (LTC),"4800 55 Avenue STONY PLAIN, Alberta T7Z 1P9",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,False,False,False,True
138,Medicine Hat,Good Samaritan South Ridge Village (LTC),"550 Spruce Way SE MEDICINE HAT, Alberta T1B 4P1",The Good Samaritan Society (A Lutheran Social Service Organization),Voluntary,False,False,False,False,True
142,Grande Prairie,Grande Prairie Care Centre,"9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2",Chantelle Management Ltd.,Private,False,False,False,False,True
143,Grande Prairie,Grande Prairie Care Centre (LTC),"9705 94 Avenue GRANDE PRAIRIE, Alberta T8V3A2",Chantelle Management Ltd.,Private,False,False,False,False,True
144,Grimshaw,Grimshaw/Berwyn And District Community Health Centre,"5621 Wilcox Road GRIMSHAW, Alberta T0H 1W0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
145,Hanna,Hanna Health Centre,"904 Centre Street N, Box 830 HANNA, Alberta T0J 1P0",Alberta Health Services,Alberta Health Services,False,False,False,False,True
146,Edmonton,Hardisty Care Centre,"6420 101 Avenue EDMONTON, Alberta T6A 0H5",Hardisty Care Centre Ltd.,Private,False,False,False,False,True
147,Hardisty,Hardisty Health Centre,"4531 47 Avenue, Box 269 HARDISTY, Alberta T0B1V0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
150,High River,High River General Hospital,"560 9 Avenue SW HIGH RIVER, Alberta T1V 1B3",Alberta Health Services,Alberta Health Services,False,False,False,True,False
153,Hythe,Hythe Continuing Care Centre,"10307 100 Street PO Box 100 HYTHE, Alberta T0H 2C0",Alberta Health Services,Alberta Health Services,False,False,False,False,True
154,Innisfail,Innisfail Health Centre,"5023 42 Street INNISFAIL, Alberta T4G 1A9",Alberta Health Services,Alberta Health Services,False,False,False,True,False
155,Calgary,Intercare Brentwood Care Centre,"2727 16 Avenue NW CALGARY, Alberta T2N 3Y6",Intercare Corporate Group Inc.,Private,False,False,False,False,True
156,Calgary,Intercare Chinook Care Centre,"1261 Glenmore Trail SW CALGARY, Alberta T2V 4Y8",Intercare Corporate Group Inc.,Private,False,False,False,False,True
157,Calgary,Intercare Southwood Care Centre,"211 Heritage Drive, SE CALGARY, Alberta T2H 1M9",Intercare Corporate Group Inc.,Private,False,False,False,False,True
159,High Prairie,J.B. Wood Continuing Care Centre,"46206 53 Avenue HIGH PRAIRIE, Alberta T0G1E0",Alberta Health Services,Alberta Health Services,False,False,False,False,True
160,Edmonton,Jasper Place Continuing Care Centre,"8903 168 Street EDMONTON, Alberta T5R 2V6",Revera Long Term Care Inc,Private,False,False,False,False,True
161,Edmonton,Jubilee Lodge Nursing Home,"10333 76 Street EDMONTON, Alberta T6A 3A8",Jubilee Lodge Nursing Home Ltd. [Qualicare Corporation],Private,False,False,False,False,True
162,Edmonton,Kensington Village Continuing Care Centre (LTC),"12603 135 Avenue EDMONTON, Alberta T5L 5B2",Shepherd's Care Foundation,Voluntary,False,False,False,False,True
163,Killam,Killam Health Care Centre,"5203 49 Avenue, Box 40 KILLAM, Alberta T0B 2L0",Covenant Health,Voluntary,False,False,False,True,False
165,La Crete,La Crete Continuing Care Centre,"10601 100 Avenue Box 295 LA CRETE, Alberta T0H 2H0",Alberta Health Services,Alberta Health Services,False,False,False,False,True
166,Lacombe,Lacombe Hospital And Care Centre,"5430 47 Avenue LACOMBE, Alberta T4L 1G8",Alberta Health Services,Alberta Health Services,False,False,False,True,False
167,Lamont,Lamont Health Care Centre,"5216 53 Street Bag 10 LAMONT, Alberta T0B 2R0",The United Church Of Canada,Voluntary,False,False,False,True,True
176,Lloydminster,Lloydminster Continuing Care Centre,"7402 – 29th Street, LLOYDMINSTER, Alberta, T9V 3N1",Prairie North Regional Health Authority,RHA,False,False,False,True,False
177,Camrose,Louise Jensen Care Centre,"5400 46 Avenue CAMROSE, Alberta T4V 4P8",The Bethany Group,Voluntary,False,False,False,True,False
179,Milk River,Milk River Health Centre,"517 Centre Avenue East MILK RIVER, Alberta T0K1M0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
180,Manning,Manning Community Health Centre,"600 2 Street NE MANNING, Alberta T0H 2M0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
181,Mannville,Mannville Care Centre,"5007 46 Street MANNVILLE, Alberta T0B 2W0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
183,McLennan,Manoir Du Lac (LTC),"164 3 Avenue NW MCLENNAN, Alberta T0H 2L0",Integrated Life Care Inc.,Private,False,False,False,False,True
184,Mundare,Mary Immaculate Hospital,"Polomark Drive and 53 Street Box 349 MUNDARE,  Alberta  T0B3H0",Convent Health,Voluntary,False,False,False,True,False
186,Mayerthorpe,Mayerthorpe Healthcare Centre,"4417 45 Street MAYERTHORPE, Alberta T0E1N0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
187,Calgary,Mayfair Care Centre,"8240 Collicut Street SW CALGARY, Alberta T2V 2X1",Travois Holdings Ltd.,Private,False,False,False,False,True
188,Calgary,McKenzie Towne Care Centre,"80 Promenade Way SE CALGARY,  Alberta  T2Z4G4",Revera Long Term Care Inc.,Private,False,False,False,False,True
192,Edmonton,Miller Crossing Care Centre,"14251 50 Street NW EDMONTON, Alberta T5A 5J4",Revera Long Term Care Inc.,Private,False,False,False,False,True
194,Calgary,Millrise Place (LTC),"14911 5 Street SW CALGARY, Alberta T2Y 5B9",Millrise Seniors Village LP,Private,False,False,False,False,True
195,Edmonton,Millwoods Shepherd’s Care Centre,"6620 28 Avenue EDMONTON, Alberta T6K 2R1",Shepherd's Care Foundation,Voluntary,False,False,False,True,True
196,Banff,Mineral Springs Hospital,"305 Lynx Street PO Box 1050 BANFF, Alberta T1L 1H7",Covenant Health,Voluntary,False,False,False,True,False
198,Calgary,Mount Royal Care Centre,"1813 9 Street SW CALGARY, Alberta T2T 3C2",Revera Long Term Care Inc.,Private,False,False,False,False,True
200,Calgary,Newport Harbour Care Centre,"10 Country Village Cove NE CALGARY, Alberta T3K 6B4",Park Place Seniors Living Inc.,Private,False,False,False,False,True
201,Ponoka,Northcott Care Centre (Ponoka),"4209 48 Avenue PONOKA, Alberta T5J 1P4",Northcott Lodge Nursing Home Ltd.,Private,False,False,False,False,True
202,Fort McMurray,Northern Lights Regional Health Centre,"7 Hospital Street FORT MCMURRAY, Alberta T9H 1P2",Alberta Health Services,Alberta Health Services,False,False,False,True,False
203,High Level,Northwest Health Centre,"11202 100 Avenue HIGH LEVEL, Alberta T0H 1Z0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
204,Black Diamond,Oilfields General Hospital,"717 Government Road BLACK DIAMOND, Alberta T0L 0H0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
205,Olds,Olds Hospital And Care Centre,"3901 57 Avenue OLDS, Alberta T4H 1T4",Alberta Health Services,Alberta Health Services,False,False,False,True,False
207,Castor,Our Lady Of The Rosary Hospital,"5402 47 Street CASTOR, Alberta T0C 0X0",Covenant Health,Voluntary,False,False,False,True,False
210,Peace River,Peace River Community Health Centre,"10101 68 Street PEACE RIVER, Alberta T8S 1T6",Alberta Health Services,Alberta Health Services,False,False,False,True,False
211,Pincher Creek,Pincher Creek Health Centre,"1222 Mill Ave PINCHER CREEK, Alberta T0K 1W0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
220,Grande Prairie,Points West Living Grande Prairie (LTC),"11460 104 Avenue GRANDE PRAIRIE, Alberta T8V 3G9",Points West Living Grande Prairie Inc. [Connecting Care],Private,False,False,False,False,True
226,Ponoka,Ponoka Hospital And Care Centre,"5800 57 Avenue PONOKA, Alberta T4J 1P1",Alberta Health Services,Alberta Health Services,False,False,False,True,False
231,Calgary,Providence Care Centre (LTC),"149 Providence Boulevard SE CALGARY, Alberta, T2X 0X2",The Father Albert Lacombe Home,Voluntary,False,False,False,False,True
233,Provost,Provost Health Centre,"5002 54 Avenue Box 270 PROVOST, Alberta T0B 3S0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
235,Camrose,Rosehaven Care Centre,"4612 53 Street CAMROSE,  Alberta  T4V1Y6",The Bethany Group,Voluntary,False,False,False,True,False
236,Radway,Radway Continuing Care Centre,"Hwy 28, Range Road 205 RADWAY, Alberta T0A 2V0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
237,Raymond,Raymond Health Centre,"150 N 4 Street East RAYMOND, Alberta T0K 2S0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
238,Redwater,Redwater Health Centre,"4812 58 Street REDWATER, Alberta T0A 2W0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
241,Rimbey,Rimbey Hospital And Care Centre,"5228 50 Avenue RIMBEY, Alberta T0C 2J0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
243,Fort Saskatchewan,Rivercrest Care Centre,"10104 101 Avenue FORT SASKATCHEWAN, Alberta T8L 2A5",Rivercrest Lodge Nursing Home Ltd. [Qualicare Corporation],Private,False,False,False,False,True
244,Medicine Hat,Riverview Care Centre,"603 Prospect Drive SW MEDICINE HAT, Alberta T1A 4C2",Revera Long Term Care Inc.,Private,False,False,False,False,True
251,Strathmore,Sagewood Seniors Community (LTC),"140 Cambridge Glen Drive STRATHMORE, Alberta T1P1N3",AgeCare Ltd.,Private,False,False,False,False,True
253,Leduc,Salem Manor Nursing Home,"4419 46 Street LEDUC, Alberta T9E 6L2",Salem Manor Society,Voluntary,False,False,False,False,True
258,Edmonton,Edmonton Chinatown Care Centre (LTC),"9539 102A Avenue EDMONTON, Alberta T5H 0G2",Hong Lok Management Services Ltd.,Voluntary,False,False,False,False,True
260,Calgary,Seton Seniors Community (LTC),"4963 Front Street SE CALGARY, Alberta, T3M 2M3",Age Care Health Services Inc.,Private,False,False,False,False,True
266,Sherwood Park,Sherwood Care,"2020 Brentwood Boulevard N SHERWOOD PARK, Alberta T8A 0X1",Sherwood Care [Adventists Health Systems Alberta],Voluntary,False,False,False,False,True
268,Slave Lake,Slave Lake Healthcare Centre,"309 6 Street NE SLAVE LAKE, Alberta T0G 2A2",Alberta Health Services,Alberta Health Services,False,False,False,True,False
270,Smoky Lake,Smoky Lake Continuing Care Centre,"4607 52 Avenue SMOKY LAKE, Alberta T0A 3C0",Alberta Health Services,Alberta Health Services,False,False,False,False,True
271,Edmonton,South Terrace Continuing Care Centre,"5905 112 Street EDMONTON, Alberta T6H 3J4",Revera Long Term Care Inc.,Private,False,False,False,False,True
275,Edmonton,St. Joseph's Auxiliary Hospital,"10707 29 Avenue EDMONTON, Alberta T6J 6W1",Covenant Health,Voluntary,False,False,False,True,False
278,Trochu,St. Mary's Health Care Centre,"451 Dechauney Avenue TROCHU, Alberta T0M 2C0",Covenant Health,Voluntary,False,False,False,True,False
279,Lethbridge,St. Michael's Health Centre,"1400 9 Avenue South LETHBRIDGE, Alberta T1J 4V5",Covenant Health,Voluntary,False,True,True,True,False
280,Edmonton,St. Michael's Long Term Care Centre,"7404 139 Avenue EDMONTON, Alberta T5C3H7",St. Michael's Health Group,Voluntary,False,False,False,True,True
282,Fort Vermilion,St. Theresa General Hospital,"4506 46 Avenue FORT VERMILION, Alberta T0H 1N0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
283,St Paul,St. Therese - St. Paul Healthcare Centre,"4713 48 Avenue ST. PAUL, Alberta T0A 3A3",Alberta Health Services,Alberta Health Services,False,False,False,True,False
285,Stettler,Stettler Hospital And Care Centre,"5912 47 Avenue STETTLER, Alberta T0C 2L0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
289,Sundre,Sundre Hospital And Care Centre,"709 1 Street NE SUNDRE, Alberta T0M 1X0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
292,Medicine Hat,Sunnyside Care Centre [South Country Village Campus]               (LTC),"1720 Bell Street SW MEDICINE HAT, Alberta T1A 5G1",Sunnyside Nursing Home Society,Voluntary,False,False,False,False,True
295,Drayton Valley,Sunrise Village Drayton Valley [Sunrise Village (Drayton) Holdings Ltd.],"3902 47 Street DRAYTON VALLEY, Alberta T7AA02",Seasons Retirement Communities (Drayton Valley) GP Inc.,Private,True,False,False,True,False
301,Taber,Taber Health Centre,"4326 50 Avenue TABER, Alberta T1G 1N9",Alberta Health Services,Alberta Health Services,False,False,False,True,False
302,Edmonton,The Dianne And Irving Kipnes Centre For Veterans,"4470 McCrae Avenue EDMONTON, Alberta T5E 6M8",Capital Care Group Inc.,Alberta Health Services,False,False,False,True,False
306,Medicine Hat,The Valleyview (LTC),"65 Valleyview Drive SW MEDICINE HAT, Alberta T1A 7K5",Age Care Investments Ltd.,Private,False,False,False,False,True
308,Three Hills,Three Hills Health Centre,"1504 2 Street North THREE HILLS, Alberta T0M 2A0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
309,Tofield,Tofield Health Centre,"5543 44 Street Box 1200 TOFIELD, Alberta T0B 4J0",Alberta Health Services,Alberta Health Services,False,False,False,True,True
310,Edmonton,Touchmark At Wedgewood,"18333 Lessard Road EDMONTON, Alberta T6M 2Y5",Touchmark at Wedgewood (Edmonton) Inc.,Private,False,False,False,False,True
312,Two Hills,Two Hills Health Centre,"4401 53 Avenue TWO HILLS, Alberta T0B 4K0",Alberta Health Services,Alberta Health Services,False,False,False,True,True
313,Valleyview,Valleyview Health Centre,"4802 Highway Street East VALLEYVIEW, Alberta T0H3N0",Alberta Health Alberta Health Services Services,Alberta Health Alberta Health Services Services,False,False,False,True,False
315,Vegreville,Vegreville Care Centre,"4525 50 Street VEGREVILLE, Alberta T9A0A1",Alberta Health Services,Alberta Health Services,False,False,False,True,False
317,Edmonton,Venta Care Centre,"13525 102 Street EDMONTON, Alberta T5E 4K3",Venta Nursing Home Ltd.,Private,False,False,False,False,True
318,Vermilion,Vermilion Health Centre,"5720 50 Avenue VERMILION, Alberta T9X 1K7",Alberta Health Services,Alberta Health Services,False,False,False,False,True
324,Vulcan,Vulcan Community Health Centre,"610 Elizabeth Street S VULCAN, Alberta T0L 2B0",Alberta Health Services,Alberta Health Services,False,False,False,True,False
325,Wainwright,Wainwright Health Centre,"530 6 Avenue WAINWRIGHT, Alberta T9W 1R6",Alberta Health Services,Alberta Health Services,False,False,False,True,False
327,Calgary,Walden Heights Seniors Community (LTC),"250 Walden Drive SE CALGARY, Alberta T2X 0V1",Age Care Health Services Inc.,Private,False,False,False,False,True
