HCC_CODE,FACILITY_NAME,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER
9C094,Bastion Place,Interior Health,HA,700 11 St. NE,Salmon Arm,V1E4P9,(250) 833-3616,Interior Health,1991,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Long Term Care Coordinator / Manager,(250) 803-4539 / (250) 803-4538,Yes,Operator,Yes,$8.12,$9.28,"English, Croatian, German, Russian, Ukrainian, Filipino, Tagalog",2.84,0.32,3.16,3.09,0.59,3.68,No,No,No,"Medical Alert, and clothing labelling",0,80,80,69,2,3,0,0,0,2,6,0,0,0,3,1,0.0,2.5,7.5,0.0,0.0,0.0,3.8,1.3,not applicable,82,67.6%,46.3%,9.4%,"1,040",30.1%,39.1%,28.9%,53.8%,4.5%,3.2,42.5%,0.62,18.4%,0.4%,4.1%,55.3%,23.9%,10.7%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Bastion%20Place,https://surveybcseniors.org/carehomeresults/bastion-place-iha/,,No,No,No,No,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91B60,Beacon Hill Villa,Vancouver Island Health,PFP,635 Superior St,Victoria,V8V1V1,(250) 383-5447,Retirement Concepts,1991,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,February 2022,General Manager / Director of Care,(250) 383-5447,Yes,Outside Contractor,Yes,$6.40,$6.11,n/a,2.86,0.23,3.09,2.94,0.22,3.16,No,No,No,"ID bracelet, clothing labeling ",0,80,80,66,7,0,4,3,0,2,9,0,0,2,0,4,0.0,2.5,11.3,0.0,0.0,2.5,0.0,5.0,not applicable,84,72.3%,57.6%,6.1%,945,19.5%,24.8%,38.1%,52.2%,6.3%,2.7,51.1%,0.53,0.6%,29.9%,4.4%,47.8%,30.1%,5.3%,https://www.retirementconcepts.com/locations/beacon-hill-villa/,https://surveybcseniors.org/carehomeresults/beacon-hill-villa-island/,,Yes,Yes,Yes,Yes,$223.34,$229.66,5,7,0,3,0,0,1,0,0,1,0,0,0,0
9AB20,Beckley Farm Lodge,Vancouver Island Health,PNP,530 Simcoe St,Victoria,V8V4W4,(250) 381-4421,Broadmead Care Society,1982,Resident & Family Council (combined),Scheduled as needed,No ,Community Care & Assisted Living Act,Accredited,November 2020,Home Manager,(250) 381-4421,Yes,Operator,Yes,$9.02,$8.96,n/a,3.06,0.18,3.24,3.13,0.28,3.41,No,No,No,Foot care; Hairdressing; Enhanced wheelchair and walker cleaning Program enhancement; One-time clothing labeling fee; Dentist and Dental Hygiene Services on a fee-for-service basis,0,64,64,65,0,0,0,0,1,0,5,0,0,0,0,0,1.6,0.0,7.8,0.0,0.0,0.0,0.0,0.0,not applicable,83,55.0%,50.7%,2.9%,849,27.7%,53.0%,42.0%,63.3%,11.4%,2.3,58.3%,0.58,1.9%,0.4%,0.4%,64.8%,12.0%,22.3%,https://www.broadmeadcare.com/care-programs/beckley-farm-lodge,https://surveybcseniors.org/carehomeresults/beckley-farm-lodge-island/,,No,No,No,No,$210.69,$230.14,2,1,0,0,1,0,0,0,0,0,0,0,0,0
9A8DC,Bella Coola General Hospital,Vancouver Coastal Health,HA,1025 Elcho Street,Bella Coola,V0T1C0,(250) 799-5311,Vancouver Coastal Health,1980,"Resident Council, Family Council",Scheduled as needed,Yes (no fee),Hospital Act,Accredited,September 2020,Program Manager,(250) 799-5311,No,Operator,Yes,$16.85,$18.69,English,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,No,n/a,0,5,5,5,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,not applicable,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,http://www.vch.ca/locations-services/result?res_id=140,,Residential care survey results for facilities with fewer than 10 respondents are not accessible.,n/a,n/a,n/a,n/a,n/a,n/a,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9BG96,Belvedere Care Centre,Fraser Health,PFP,739 Alderson Avenue,Coquitlam,V3K7B3,(604) 939-5991,Belvedere Seniors Living,2006,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Operations Manager / Resident Services Manager,(604) 939-5991,No,Outside Contractor,Yes,$7.70,$9.16,"English, French, Hindi, Tagalog, German, Romanian, Cantonese, Mandarin",2.49,0.29,2.78,2.66,0.29,2.95,No,No,No,Clothing labelling fee,67,56,123,146,2,0,5,1,0,1,7,0,0,0,3,0,0.0,0.8,5.7,0.0,0.0,0.0,2.4,0.0,not applicable,88,75.7%,69.6%,0.4%,660,22.4%,33.3%,29.4%,62.5%,8.8%,3.9,26.5%,0.58,8.1%,75.0%,0.9%,45.8%,12.1%,3.3%,https://belvederebc.com/belvedere-care-centre,https://surveybcseniors.org/carehomeresults/belvedere-care-centre-fha/,,No,No,n/a,n/a,$205.97,$215.56,4,2,0,0,0,0,1,1,0,0,0,0,0,0
91GB3,Berkley Care Centre,Vancouver Coastal Health,HA,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,Vancouver Coastal Health,1998,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2020,Manager,(604) 924-8356,Yes,Outside Contractor,Yes,$7.95,$8.11,"English, Farsi, Tagalog, French, Spanish, Korean, Polish, Taiwanese, Greek, Italian, Cantonese, Vietnamese, Malay",3.26,0.24,3.50,3.26,0.24,3.50,No,No,No,Clothing labelling fee,0,177,177,159,9,0,0,0,1,0,5,0,0,0,0,1,0.6,0.0,2.8,0.0,0.0,0.0,0.0,0.6,not applicable,84,60.5%,57.9%,6.5%,"1,296",22.9%,49.3%,51.8%,66.1%,10.8%,2.1,66.3%,0.58,16.0%,65.6%,4.9%,56.4%,32.0%,28.0%,http://www.vch.ca/locations-services/result?res_id=36,https://surveybcseniors.org/carehomeresults/kiwanis-care-centre-vcha/,,No,No,Yes,No,n/a,n/a,1,4,1,1,0,0,2,0,0,0,0,0,1,0
93A60,Berkley Care Centre - Special Unit,Vancouver Coastal Health,HA,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,Vancouver Coastal Health,1998,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2020,Manager,(604) 924-8356,Yes,Operator,Yes,$7.95,$8.11,"English, Tagalog, Spanish, Korean, Cantonese, Mandarin, Greek, Romanian, Khmer, Gujarati, Slovene, Hindi, Punjabi, Serbian, Bengali, Polish, Russian, Italian",3.26,0.24,3.50,3.26,0.24,3.50,No,No,No,Clothing labelling fee,0,12,12,12,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,not applicable,78,39.7%,13.8%,13.8%,317,30.0%,18.0%,70.0%,86.0%,32.0%,1.5,70.0%,0.53,0.0%,50.0%,0.0%,84.0%,71.3%,21.7%,http://www.vch.ca/locations-services/result?res_id=36,https://surveybcseniors.org/carehomeresults/kiwanis-care-centre-vcha/,,No,No,Yes,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
923E0,Bevan Village,Fraser Health,PFP,33386 Bevan Ave.,Abbotsford,V2S5G6,(604) 850-5416,Trillium Communities,1989,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Executive Director,(604) 850-5416 x 122,Yes,Operator,Yes,$5.80,$6.14,"English, Punjabi, French, Hindi, Cantonese. Tagalog",2.43,0.31,2.73,2.64,0.31,2.95,No,No,No,n/a,100,22,122,105,5,0,1,1,0,0,6,0,0,0,3,1,0.0,0.0,4.9,0.0,0.0,0.0,2.5,0.8,not applicable,88,65.5%,73.4%,1.4%,802,40.3%,41.5%,11.9%,71.6%,15.3%,3.2,26.1%,0.60,2.3%,0.0%,0.0%,56.3%,29.4%,8.7%,https://www.trilliumcommunities.com/location/bevan-village/,https://surveybcseniors.org/carehomeresults/bevan-lodge-residential-fha/,,No,No,No,No,$215.10,$226.63,1,3,0,1,0,0,1,0,0,0,0,1,0,0
93GDH,Birchview Residences,Northern Health,PNP,7780 Hart Highway,Prince George,V2K3B3,(778) 415-9790,Birchview Residence Ltd.,2016,Family Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Deborah Schofield,(778) 415-9790,Yes,Operator,Yes,$5.62,$9.98,"English, French",2.78,0.00,2.78,3.78,0.00,3.78,No,No,Yes,n/a,14,7,21,18,1,0,0,0,0,0,3,0,0,0,2,0,0.0,0.0,14.3,0.0,0.0,0.0,9.5,0.0,not applicable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://birchviewresidences.com/,,Residential care survey results for facilities with fewer than 10 respondents are not accessible.,No,No,No,No,$216.51,$224.88,1,3,0,0,1,1,0,0,0,1,0,0,0,0
999BD,Blenheim Lodge,Vancouver Coastal Health,PNP,3263 Blenheim Street,Vancouver,V6L2X7,(604) 732-8717,Calling Foundation,1969,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Department Manager,(604) 732-8717,Yes,Operator,Yes,$7.26,$7.22,"English, Tagalog, Cantonese, Mandarin, Punjabi, Hindi, Hungarian, Greek, Spanish, Russian, German, Ukranian",2.57,0.18,2.75,2.66,0.18,2.84,No,No,No,n/a,6,94,100,65,17,0,2,1,0,1,24,0,0,3,0,9,0.0,1.0,24.0,0.0,0.0,3.0,0.0,9.0,not applicable,88,83.5%,67.0%,0.0%,"1,154",22.5%,46.2%,44.9%,69.5%,4.7%,2.2,59.3%,0.60,0.0%,89.6%,0.0%,45.7%,17.0%,2.4%,http://callingfoundation.org/blenheim-lodge/,https://surveybcseniors.org/carehomeresults/blenheim-lodge-vcha/,,No,No,No,No,$210.85,$219.85,6,4,0,1,1,0,2,0,0,0,0,0,0,0
91997,Braddan Private Hospital,Vancouver Coastal Health,PFP,2450 West 2nd Ave,Vancouver,V6K1J6,(604) 731-2127,The Care Group,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Not Accredited,not applicable,Care Coordinator / Administrator,(604) 731-2121x3,Yes,Operator,Yes,$7.16,$7.17,"English, Spanish, Tagalog, Mandarin, Cantonese, Vietnamese, French, Greek, Polish",2.69,0.12,2.81,2.72,0.12,2.84,No,No,No,"Hairdressing, foot care",2,60,62,22,20,0,0,0,0,1,3,0,1,2,0,0,0.0,1.6,4.8,0.0,1.6,3.2,0.0,0.0,not applicable,85,78.7%,63.6%,1.6%,"1,111",13.3%,26.1%,17.8%,54.4%,3.3%,2.1,61.0%,0.54,0.0%,71.8%,0.0%,36.9%,8.0%,14.7%,http://tcgcare.com/braddanprivatehospital,https://surveybcseniors.org/carehomeresults/braddan-private-hospital-vcha/,,Yes,No,No,Yes,$213.96,$216.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9A6JG,Bradley Center,Fraser Health,HA,45600 Menholm Rd,Chilliwack,V2P1P7,(604) 795-4102,Fraser Health,n/a,Resident Council,Regular Schedule,Yes (fee charged),Hospital Act,Unknown,not available,Manager - Kim Norman,(604) 795-4103,Yes,Outside Contractor,Yes,$8.88,$8.20,"English, Cantonese, Mandarin, Punjabi",3.02,0.23,3.25,3.02,0.23,3.25,No,No,Yes,Escorts to medical appointments if required,0,90,90,8,1,20,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,not applicable,87,69.3%,69.5%,5.2%,648,19.0%,25.2%,19.7%,48.0%,4.1%,2.7,46.9%,0.59,0.3%,41.8%,0.7%,51.4%,25.4%,9.0%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/C/7/residential-care----bradley-centre#.XROIuUmouUk,https://surveybcseniors.org/carehomeresults/bradley-center-fha/,,No,No,Yes,No,n/a,n/a,1,5,0,0,1,1,1,1,0,1,0,0,0,0
