,FACILITY_NAME,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,residents_council,family_council,accreditation,home_type,years_operating,facility_name,latitude,longitude
17,Acropolis Manor,0.0,9A8ID,Northern Health,1325 Summit Avenue,Prince Rupert,V8J4C1,(250) 622-6400,2009,"Resident Council, Family Council",Accredited,0,61,61,49,6,0,1,1,1,1,8,0,0,3,1,3,1.6,1.6,13.1,0,0,4.9,1.6,4.9,83,0.592,0.507,0.044,2,0.108,0.368,0.354,0.613,0.198,1.5,0.807,0.58,0.005,0.259,0.009,0.377,0.251,0.088,4.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,no,yes,yes,yes,health_authority,11.0,acropolis manor,54.304055,-130.33
18,Adanac Park Lodge,0.0,919G3,Vancouver Coastal Health,851 Boundary Road,Vancouver,V5K4T2,(604) 299-7567,2000,Resident Council,Not Accredited,0,73,73,67,3,0,0,0,2,0,11,0,0,2,2,2,2.7,0,15.1,0,0,2.7,2.7,2.7,63,0.248,0.071,0.553,3225,0.191,0.147,0.085,0.396,0.078,2.4,0.611,0.49,0,0.724,0,0.597,0.589,0.033,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,no,non-profit,20.0,adanac park lodge,49.2770771,-123.0245958
19,Agassiz Seniors Community,0.0,936E0,Fraser Health,1525 MacKay Crescent,Agassiz,V0M1A3,(604) 796-3886,2008,"Resident Council, Family Council",Unknown,11,63,74,68,0,0,1,0,1,0,3,0,0,1,0,3,1.4,0,4.1,0,0,1.4,0,4.1,85,0.593,0.593,0.028,1144,0.058,0.342,0.374,0.605,0.116,2.7,0.458,0.56,0.042,0.942,0,0.153,0.031,0,2.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,for-profit,12.0,agassiz seniors community,49.2335015,-121.7681608
20,Arbutus Care Centre,0.0,9B814,Vancouver Coastal Health,4505 Valley Drive,Vancouver,V6L2L1,(604) 261-4292,1986,"Resident Council, Family Council, Quality Council",Accredited,4,152,156,58,49,0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0,0,3.2,0,1.9,86,0.714,0.643,0.04,914,0.153,0.31,0.202,0.619,0.03,1.5,0.793,0.55,0.197,0.002,0.006,0.248,0.228,0.001,7.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,no,yes,yes,yes,for-profit,34.0,arbutus care centre,49.2478819,-123.1579085
21,Arrowsmith Lodge,0.0,995A3,Vancouver Island Health,266 Moilliet St,Parksville,V9P1M9,(250) 248-4331,2005,"Resident Council, Family Council",Accredited,0,75,75,75,0,0,6,4,0,3,6,0,0,4,0,3,0,4,8,0,0,5.3,0,4,84,0.566,0.544,0.041,1121,0.311,0.338,0.401,0.798,0.096,2.2,0.568,0.61,0.116,0,0.063,0.609,0.214,0.149,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,no,yes,yes,yes,non-profit,15.0,arrowsmith lodge,49.316385,-124.32359
22,Ayre Manor,0.0,9357A,Vancouver Island Health,6764 Ayre Rd,Sooke,V9Z1K1,(250) 642-1750,2008,Resident & Family Council (combined),Accredited,1,32,33,32,0,0,0,0,1,0,1,0,0,0,0,1,3,0,3,0,0,0,0,3,82,0.597,0.38,0.062,784,0.371,0.411,0.306,0.75,0.145,2.4,0.532,0.59,0,0,0,0.766,0.479,0.242,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,non-profit,12.0,ayre manor,48.378338,-123.72716
23,Banfield Pavilion - Vancouver General Hospital,0.0,9A52F,Vancouver Coastal Health,2785 Ash Street,Vancouver,V5Z1M9,(604) 875-4111,1972,"Resident Council, Family Council",Accredited,0,156,156,17,13,36,3,0,0,0,5,0,0,1,2,6,0,0,3.2,0,0,0.6,1.3,3.8,82,0.54,0.498,0.075,916,0.257,0.441,0.323,0.477,0.063,2.6,0.526,0.64,0.235,0.006,0.407,0.397,0.133,0.108,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,health_authority,48.0,banfield pavilion - vancouver general hospital,49.2611939,-123.1187682
24,Bastion Place,0.0,9C094,Interior Health,700 11 St. NE,Salmon Arm,V1E4P9,(250) 833-3616,1991,"Resident Council, Family Council",Accredited,0,80,80,69,2,3,0,0,0,2,6,0,0,0,3,1,0,2.5,7.5,0,0,0,3.8,1.3,82,0.676,0.463,0.094,1040,0.301,0.391,0.289,0.538,0.045,3.2,0.425,0.62,0.184,0.004,0.041,0.553,0.239,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,29.0,bastion place,50.7378252,-119.2720293
25,Beacon Hill Villa,0.0,91B60,Vancouver Island Health,635 Superior St,Victoria,V8V1V1,(250) 383-5447,1991,"Resident Council, Family Council",Accredited,0,80,80,66,7,0,4,3,0,2,9,0,0,2,0,4,0,2.5,11.3,0,0,2.5,0,5,84,0.723,0.576,0.061,945,0.195,0.248,0.381,0.522,0.063,2.7,0.511,0.53,0.006,0.299,0.044,0.478,0.301,0.053,5.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,29.0,beacon hill villa,48.4180655,-123.3670916
26,Beckley Farm Lodge,0.0,9AB20,Vancouver Island Health,530 Simcoe St,Victoria,V8V4W4,(250) 381-4421,1982,Resident & Family Council (combined),Accredited,0,64,64,65,0,0,0,0,1,0,5,0,0,0,0,0,1.6,0,7.8,0,0,0,0,0,83,0.55,0.507,0.029,849,0.277,0.53,0.42,0.633,0.114,2.3,0.583,0.58,0.019,0.004,0.004,0.648,0.12,0.223,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,non-profit,38.0,beckley farm lodge,48.415112,-123.37239
27,Bella Coola General Hospital,0.0,9A8DC,Vancouver Coastal Health,1025 Elcho Street,Bella Coola,V0T1C0,(250) 799-5311,1980,"Resident Council, Family Council",Accredited,0,5,5,5,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,40.0,bella coola general hospital,52.3741762,-126.75795
28,Belvedere Care Centre,0.0,9BG96,Fraser Health,739 Alderson Avenue,Coquitlam,V3K7B3,(604) 939-5991,2006,"Resident Council, Family Council",Unknown,67,56,123,146,2,0,5,1,0,1,7,0,0,0,3,0,0,0.8,5.7,0,0,0,2.4,0,88,0.757,0.696,0.004,660,0.224,0.333,0.294,0.625,0.088,3.9,0.265,0.58,0.081,0.75,0.009,0.458,0.121,0.033,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,for-profit,14.0,belvedere care centre,49.24008325,-122.8785698229799
29,Berkley Care Centre - Special Unit,0.0,93A60,Vancouver Coastal Health,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,1998,"Resident Council, Family Council",Accredited,0,12,12,12,0,0,,,,,,,,,,,,,,,,,,,78,0.397,0.138,0.138,317,0.3,0.18,0.7,0.86,0.32,1.5,0.7,0.53,0,0.5,0,0.84,0.713,0.217,,,,,,,,,,,,,,,no,yes,yes,yes,health_authority,22.0,berkley care centre - special unit,49.1415955,-122.9054267
30,Bevan Village,0.0,923E0,Fraser Health,33386 Bevan Ave.,Abbotsford,V2S5G6,(604) 850-5416,1989,Resident & Family Council (combined),Not Accredited,100,22,122,105,5,0,1,1,0,0,6,0,0,0,3,1,0,0,4.9,0,0,0,2.5,0.8,88,0.655,0.734,0.014,802,0.403,0.415,0.119,0.716,0.153,3.2,0.261,0.6,0.023,0,0,0.563,0.294,0.087,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,no,for-profit,31.0,bevan village,49.0413325,-122.2992395
31,Birchview Residences,0.0,93GDH,Northern Health,7780 Hart Highway,Prince George,V2K3B3,(778) 415-9790,2016,Family Council,Not Accredited,14,7,21,18,1,0,0,0,0,0,3,0,0,0,2,0,0,0,14.3,0,0,0,9.5,0,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no,no,yes,no,non-profit,4.0,birchview residences,53.999924,-122.8011
32,Blenheim Lodge,0.0,999BD,Vancouver Coastal Health,3263 Blenheim Street,Vancouver,V6L2X7,(604) 732-8717,1969,Resident & Family Council (combined),Not Accredited,6,94,100,65,17,0,2,1,0,1,24,0,0,3,0,9,0,1,24,0,0,3,0,9,88,0.835,0.67,0,1154,0.225,0.462,0.449,0.695,0.047,2.2,0.593,0.6,0,0.896,0,0.457,0.17,0.024,6.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,no,non-profit,51.0,blenheim lodge,49.2572761,-123.1791189
33,Braddan Private Hospital,0.0,91997,Vancouver Coastal Health,2450 West 2nd Ave,Vancouver,V6K1J6,(604) 731-2127,1979,"Resident Council, Family Council",Not Accredited,2,60,62,22,20,0,0,0,0,1,3,0,1,2,0,0,0,1.6,4.8,0,1.6,3.2,0,0,85,0.787,0.636,0.016,1111,0.133,0.261,0.178,0.544,0.033,2.1,0.61,0.54,0,0.718,0,0.369,0.08,0.147,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,no,for-profit,41.0,braddan private hospital,49.2697848,-123.1610416529879
34,Bradley Center,0.0,9A6JG,Fraser Health,45600 Menholm Rd,Chilliwack,V2P1P7,(604) 795-4102,,Resident Council,Unknown,0,90,90,8,1,20,0,0,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,87,0.693,0.695,0.052,648,0.19,0.252,0.197,0.48,0.041,2.7,0.469,0.59,0.003,0.418,0.007,0.514,0.254,0.09,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,no,yes,no,unknown,health_authority,,bradley center,49.16730645,-121.96485716719084
35,Brandt's Creek Mews,0.0,937BA,Interior Health,2081 Cross Rd,Kelowna,V1V2G2,(778) 478-8800,2009,Resident & Family Council (combined),Accredited,2,100,102,102,0,0,0,0,2,0,11,0,1,0,0,4,2,0,10.8,0,1,0,0,3.9,84,0.705,0.508,0.047,715,0.573,0.261,0.338,0.813,0.249,2.8,0.48,0.59,0.177,0.59,0.153,0.597,0.068,0.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,11.0,brandt's creek mews,49.9200841,-119.4354247
36,Brentwood House,0.0,93290,Vancouver Island Health,1167 Stelly's Cross Road,Brentwood Bay,V8M1H4,(250) 652-0634,2007,Resident & Family Council (combined),Accredited,2,15,17,17,0,0,3,1,0,0,2,0,0,0,1,1,0,0,11.8,0,0,0,5.9,5.9,86,0.682,0.545,0,237,0.15,0,0.083,0.983,0,5.2,0.033,0.5,0,0,0,0.433,0.077,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,non-profit,13.0,brentwood house,48.5794252,-123.4509233
37,Broadway Pentecostal Lodge,0.0,9A9CE,Vancouver Coastal Health,1377 Lamey's Mill Rd,Vancouver,V6H3S9,(604) 733-1441,1981,Resident Council,Not Accredited,0,114,114,114,0,0,3,2,0,0,14,0,0,8,0,2,0,0,12.3,0,0,7,0,1.8,82,0.445,0.401,0.055,753,0.254,0.282,0.289,0.653,0.059,2.7,0.451,0.53,0.004,0.646,0,0.397,0.38,0.071,6.0,8.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,no,non-profit,39.0,broadway pentecostal lodge,49.2674372,-123.1343725
38,Brocklehurst Gemstone Care Centre,0.0,93E9A,Interior Health,1955 Tranquille Road,Kamloops,V2B3M4,(778) 470-2596,2013,"Resident Council, Family Council",Accredited,5,125,130,126,4,0,0,0,0,0,31,0,1,0,6,3,0,0,23.8,0,0.8,0,4.6,2.3,85,0.688,0.584,0.028,918,0.257,0.285,0.188,0.681,0.093,2.7,0.475,0.55,0,0.004,0,0.547,0.28,0.103,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,for-profit,7.0,brocklehurst gemstone care centre,50.6997303,-120.3999925
39,Brookhaven Care Centre,0.0,917I9,Interior Health,1775 Shannon Lake Rd,West Kelowna,V4T2N7,(250) 862-4040,1995,"Resident Council, Family Council",Accredited,0,84,84,0,0,0,0,0,1,1,16,0,0,0,3,2,1.2,1.2,19,0,0,0,3.6,2.4,83,0.566,0.552,0.079,645,0.28,0.36,0.325,0.728,0.102,2.5,0.548,0.59,0.081,0.675,0.516,0.637,0.268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,health_authority,25.0,brookhaven care centre,49.8648276,-119.5896005
