facility_name,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,point,latitude_x,longitude_x,residents_council,family_council,accreditation,home_type,years_operating,source_facility_type,odhf_facility_type,provider,province,CSDname,Pruid
valhaven rest home,1.0,98H9F,Fraser Health,4212 Balmoral St,Abbotsford,V4X1Y5,(604) 856-2812,1969,"Resident Council, Family Council",Accredited,4.0,22.0,26.0,26.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,7.7,0,0,0,0,0,91,0.737,0.825,0.015,1063,0.043,0.277,0.213,0.745,0.106,3.8,0.287,0.62,0.149,0,0,0.532,0.293,0.053,3.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,yes,"(55.8786791, -4.3526229, 0.0)",55.8786791,-4.352622900000001,yes,yes,yes,non-profit,51.0,,,,,,
windermere care centre,1.0,9C2G9,Vancouver Coastal Health,900 West 12th Avenue,Vancouver,V5Z1N3,(604) 736-8676,1992,Resident & Family Council (combined),Not Accredited,6.0,204.0,210.0,170.0,22.0,0.0,0,0,2,0,26,0,0,0,2,0,1,0,12.4,0,0,0,1,0,87,0.782,0.61,0.005,959,0.229,0.268,0.07,0.64,0.026,4.6,0.004,0.54,0.058,0.026,0,0.418,0.153,0.044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,"(49.2603188, -123.12495952055919, 0.0)",49.26031879999999,-123.1249595205592,yes,yes,no,for-profit,28.0,,,,,,
acacia ty mawr,0.0,99549,Vancouver Island Health,2655 E Shawnigan Lake Rd,Shawnigan Lake,V0R2W0,(250) 743-2124,1990,Family Council,Accredited,0.0,35.0,35.0,31.0,2.0,0.0,1,0,0,0,2,0,0,0,1,3,0,0,5.7,0,0,0,2.9,8.6,84,0.698,0.522,0.025,862,0.104,0.306,0.389,0.951,0.104,2,0.653,0.56,0,0,0,0.542,0.378,0.02,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(48.6494471, -123.6241121, 0.0)",48.6494471,-123.6241121,no,yes,yes,for-profit,30.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,,59.0
acropolis manor,0.0,9A8ID,Northern Health,1325 Summit Avenue,Prince Rupert,V8J4C1,(250) 622-6400,2009,"Resident Council, Family Council",Accredited,0.0,61.0,61.0,49.0,6.0,0.0,1,1,1,1,8,0,0,3,1,3,1.6,1.6,13.1,0,0,4.9,1.6,4.9,83,0.592,0.507,0.044,2,0.108,0.368,0.354,0.613,0.198,1.5,0.807,0.58,0.005,0.259,0.009,0.377,0.251,0.088,4.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,no,"(32.74538109356488, -97.34172021920251, 0.0)",32.74538109356488,-97.34172021920251,yes,yes,yes,health_authority,11.0,,,,,,
adanac park lodge,0.0,919G3,Vancouver Coastal Health,851 Boundary Road,Vancouver,V5K4T2,(604) 299-7567,2000,Resident Council,Not Accredited,0.0,73.0,73.0,67.0,3.0,0.0,0,0,2,0,11,0,0,2,2,2,2.7,0,15.1,0,0,2.7,2.7,2.7,63,0.248,0.071,0.553,3225,0.191,0.147,0.085,0.396,0.078,2.4,0.611,0.49,0,0.724,0,0.597,0.589,0.033,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(-33.7951906, 150.9980146, 0.0)",-33.795190600000005,150.9980146,yes,no,no,non-profit,20.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Vancouver,59.0
agassiz seniors community,0.0,936E0,Fraser Health,1525 MacKay Crescent,Agassiz,V0M1A3,(604) 796-3886,2008,"Resident Council, Family Council",Unknown,11.0,63.0,74.0,68.0,0.0,0.0,1,0,1,0,3,0,0,1,0,3,1.4,0,4.1,0,0,1.4,0,4.1,85,0.593,0.593,0.028,1144,0.058,0.342,0.374,0.605,0.116,2.7,0.458,0.56,0.042,0.942,0,0.153,0.031,0,2.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no,"(-34.7966277, 138.6156633, 0.0)",-34.7966277,138.61566330000002,yes,yes,unknown,for-profit,12.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,,59.0
arbutus care centre,0.0,9B814,Vancouver Coastal Health,4505 Valley Drive,Vancouver,V6L2L1,(604) 261-4292,1986,"Resident Council, Family Council, Quality Council",Accredited,4.0,152.0,156.0,58.0,49.0,0.0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0,0,3.2,0,1.9,86,0.714,0.643,0.04,914,0.153,0.31,0.202,0.619,0.03,1.5,0.793,0.55,0.197,0.002,0.006,0.248,0.228,0.001,7.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,no,"(42.899499249815406, -87.97438174776812, 0.0)",42.899499249815406,-87.97438174776812,yes,yes,yes,for-profit,34.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Vancouver,59.0
arrowsmith lodge,0.0,995A3,Vancouver Island Health,266 Moilliet St,Parksville,V9P1M9,(250) 248-4331,2005,"Resident Council, Family Council",Accredited,0.0,75.0,75.0,75.0,0.0,0.0,6,4,0,3,6,0,0,4,0,3,0,4,8,0,0,5.3,0,4,84,0.566,0.544,0.041,1121,0.311,0.338,0.401,0.798,0.096,2.2,0.568,0.61,0.116,0,0.063,0.609,0.214,0.149,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,no,"(49.3233591, -124.3237393, 0.0)",49.323359100000005,-124.32373929999999,yes,yes,yes,non-profit,15.0,,,,,,
ayre manor,0.0,9357A,Vancouver Island Health,6764 Ayre Rd,Sooke,V9Z1K1,(250) 642-1750,2008,Resident & Family Council (combined),Accredited,1.0,32.0,33.0,32.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,3,0,3,0,0,0,0,3,82,0.597,0.38,0.062,784,0.371,0.411,0.306,0.75,0.145,2.4,0.532,0.59,0,0,0,0.766,0.479,0.242,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(19.2106728, 73.0847576, 0.0)",19.2106728,73.08475759999999,yes,yes,yes,non-profit,12.0,,,,,,
bastion place,0.0,9C094,Interior Health,700 11 St. NE,Salmon Arm,V1E4P9,(250) 833-3616,1991,"Resident Council, Family Council",Accredited,0.0,80.0,80.0,69.0,2.0,3.0,0,0,0,2,6,0,0,0,3,1,0,2.5,7.5,0,0,0,3.8,1.3,82,0.676,0.463,0.094,1040,0.301,0.391,0.289,0.538,0.045,3.2,0.425,0.62,0.184,0.004,0.041,0.553,0.239,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(51.1062197, -114.0364542, 0.0)",51.106219700000004,-114.03645420000001,yes,yes,yes,health_authority,29.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Salmon Arm,59.0
beacon hill villa,0.0,91B60,Vancouver Island Health,635 Superior St,Victoria,V8V1V1,(250) 383-5447,1991,"Resident Council, Family Council",Accredited,0.0,80.0,80.0,66.0,7.0,0.0,4,3,0,2,9,0,0,2,0,4,0,2.5,11.3,0,0,2.5,0,5,84,0.723,0.576,0.061,945,0.195,0.248,0.381,0.522,0.063,2.7,0.511,0.53,0.006,0.299,0.044,0.478,0.301,0.053,5.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no,"(48.27102590111197, -116.55599920930993, 0.0)",48.27102590111196,-116.55599920930992,yes,yes,yes,for-profit,29.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Victoria,59.0
beckley farm lodge,0.0,9AB20,Vancouver Island Health,530 Simcoe St,Victoria,V8V4W4,(250) 381-4421,1982,Resident & Family Council (combined),Accredited,0.0,64.0,64.0,65.0,0.0,0.0,0,0,1,0,5,0,0,0,0,0,1.6,0,7.8,0,0,0,0,0,83,0.55,0.507,0.029,849,0.277,0.53,0.42,0.633,0.114,2.3,0.583,0.58,0.019,0.004,0.004,0.648,0.12,0.223,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(42.95075115, -81.8787404, 0.0)",42.95075115,-81.87874040000001,yes,yes,yes,non-profit,38.0,,,,,,
belvedere care centre,0.0,9BG96,Fraser Health,739 Alderson Avenue,Coquitlam,V3K7B3,(604) 939-5991,2006,"Resident Council, Family Council",Unknown,67.0,56.0,123.0,146.0,2.0,0.0,5,1,0,1,7,0,0,0,3,0,0,0.8,5.7,0,0,0,2.4,0,88,0.757,0.696,0.004,660,0.224,0.333,0.294,0.625,0.088,3.9,0.265,0.58,0.081,0.75,0.009,0.458,0.121,0.033,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(49.24008325, -122.8785698229799, 0.0)",49.24008325,-122.87856982297991,yes,yes,unknown,for-profit,14.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Coquitlam,59.0
berkley care centre - special unit,0.0,93A60,Vancouver Coastal Health,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,1998,"Resident Council, Family Council",Accredited,0.0,12.0,12.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,78,0.397,0.138,0.138,317,0.3,0.18,0.7,0.86,0.32,1.5,0.7,0.53,0,0.5,0,0.84,0.713,0.217,,,,,,,,,,,,,,,no,"(40.0116905, -105.2384121, 0.0)",40.0116905,-105.2384121,yes,yes,yes,health_authority,22.0,,,,,,
bevan village,0.0,923E0,Fraser Health,33386 Bevan Ave.,Abbotsford,V2S5G6,(604) 850-5416,1989,Resident & Family Council (combined),Not Accredited,100.0,22.0,122.0,105.0,5.0,0.0,1,1,0,0,6,0,0,0,3,1,0,0,4.9,0,0,0,2.5,0.8,88,0.655,0.734,0.014,802,0.403,0.415,0.119,0.716,0.153,3.2,0.261,0.6,0.023,0,0,0.563,0.294,0.087,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(49.04130255, -122.29928450311597, 0.0)",49.04130255,-122.29928450311596,yes,yes,no,for-profit,31.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Abbotsford,59.0
birchview residences,0.0,93GDH,Northern Health,7780 Hart Highway,Prince George,V2K3B3,(778) 415-9790,2016,Family Council,Not Accredited,14.0,7.0,21.0,18.0,1.0,0.0,0,0,0,0,3,0,0,0,2,0,0,0,14.3,0,0,0,9.5,0,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no,"(53.9430172, -122.7612395, 0.0)",53.9430172,-122.7612395,no,yes,no,non-profit,4.0,,,,,,
blenheim lodge,0.0,999BD,Vancouver Coastal Health,3263 Blenheim Street,Vancouver,V6L2X7,(604) 732-8717,1969,Resident & Family Council (combined),Not Accredited,6.0,94.0,100.0,65.0,17.0,0.0,2,1,0,1,24,0,0,3,0,9,0,1,24,0,0,3,0,9,88,0.835,0.67,0,1154,0.225,0.462,0.449,0.695,0.047,2.2,0.593,0.6,0,0.896,0,0.457,0.17,0.024,6.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(51.5141328, -0.1463837, 0.0)",51.5141328,-0.14638370000000003,yes,yes,no,non-profit,51.0,,,,,,
bradley center,0.0,9A6JG,Fraser Health,45600 Menholm Rd,Chilliwack,V2P1P7,(604) 795-4102,,Resident Council,Unknown,0.0,90.0,90.0,8.0,1.0,20.0,0,0,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,87,0.693,0.695,0.052,648,0.19,0.252,0.197,0.48,0.041,2.7,0.469,0.59,0.003,0.418,0.007,0.514,0.254,0.09,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,no,"(49.16730645, -121.96485716719084, 0.0)",49.16730645,-121.96485716719084,yes,no,unknown,health_authority,,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Chilliwack,59.0
brandt's creek mews,0.0,937BA,Interior Health,2081 Cross Rd,Kelowna,V1V2G2,(778) 478-8800,2009,Resident & Family Council (combined),Accredited,2.0,100.0,102.0,102.0,0.0,0.0,0,0,2,0,11,0,1,0,0,4,2,0,10.8,0,1,0,0,3.9,84,0.705,0.508,0.047,715,0.573,0.261,0.338,0.813,0.249,2.8,0.48,0.59,0.177,0.59,0.153,0.597,0.068,0.106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(-33.8243275, 18.5131252, 0.0)",-33.8243275,18.513125199999998,yes,yes,yes,for-profit,11.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Kelowna,59.0
brentwood house,0.0,93290,Vancouver Island Health,1167 Stelly's Cross Road,Brentwood Bay,V8M1H4,(250) 652-0634,2007,Resident & Family Council (combined),Accredited,2.0,15.0,17.0,17.0,0.0,0.0,3,1,0,0,2,0,0,0,1,1,0,0,11.8,0,0,0,5.9,5.9,86,0.682,0.545,0,237,0.15,0,0.083,0.983,0,5.2,0.033,0.5,0,0,0,0.433,0.077,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(48.5797443, -123.4169463, 0.0)",48.579744299999994,-123.41694629999999,yes,yes,yes,non-profit,13.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,,59.0
broadway pentecostal lodge,0.0,9A9CE,Vancouver Coastal Health,1377 Lamey's Mill Rd,Vancouver,V6H3S9,(604) 733-1441,1981,Resident Council,Not Accredited,0.0,114.0,114.0,114.0,0.0,0.0,3,2,0,0,14,0,0,8,0,2,0,0,12.3,0,0,7,0,1.8,82,0.445,0.401,0.055,753,0.254,0.282,0.289,0.653,0.059,2.7,0.451,0.53,0.004,0.646,0,0.397,0.38,0.071,6.0,8.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(49.267437400000006, -123.13439636612904, 0.0)",49.26743740000001,-123.13439636612905,yes,no,no,non-profit,39.0,,,,,,
brocklehurst gemstone care centre,0.0,93E9A,Interior Health,1955 Tranquille Road,Kamloops,V2B3M4,(778) 470-2596,2013,"Resident Council, Family Council",Accredited,5.0,125.0,130.0,126.0,4.0,0.0,0,0,0,0,31,0,1,0,6,3,0,0,23.8,0,0.8,0,4.6,2.3,85,0.688,0.584,0.028,918,0.257,0.285,0.188,0.681,0.093,2.7,0.475,0.55,0,0.004,0,0.547,0.28,0.103,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(50.6992587, -120.3995771, 0.0)",50.69925870000001,-120.3995771,yes,yes,yes,for-profit,7.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Kamloops,59.0
brookhaven care centre,0.0,917I9,Interior Health,1775 Shannon Lake Rd,West Kelowna,V4T2N7,(250) 862-4040,1995,"Resident Council, Family Council",Accredited,0.0,84.0,84.0,0.0,0.0,0.0,0,0,1,1,16,0,0,0,3,2,1.2,1.2,19,0,0,0,3.6,2.4,83,0.566,0.552,0.079,645,0.28,0.36,0.325,0.728,0.102,2.5,0.548,0.59,0.081,0.675,0.516,0.637,0.268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(49.8648276, -119.5896005, 0.0)",49.8648276,-119.58960049999999,yes,yes,yes,health_authority,25.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,,59.0
brookhaven care centre,0.0,917I9,Interior Health,1775 Shannon Lake Rd,West Kelowna,V4T2N7,(250) 862-4040,1995,"Resident Council, Family Council",Accredited,0.0,84.0,84.0,0.0,0.0,0.0,0,0,1,1,16,0,0,0,3,2,1.2,1.2,19,0,0,0,3.6,2.4,83,0.566,0.552,0.079,645,0.28,0.36,0.325,0.728,0.102,2.5,0.548,0.59,0.081,0.675,0.516,0.637,0.268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(49.8648276, -119.5896005, 0.0)",49.8648276,-119.58960049999999,yes,yes,yes,health_authority,25.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,West Kelowna,59.0
brookside lodge,0.0,937F0,Fraser Health,19550 Fraser Highway,Surrey,V3S6K5,(604) 530-6595,2009,"Resident Council, Family Council",Unknown,14.0,89.0,103.0,93.0,5.0,0.0,0,0,1,1,8,0,0,3,0,1,1,1,7.8,0,0,2.9,0,1,80,0.595,0.471,0.151,946,0.115,0.184,0.191,0.665,0.089,2.9,0.419,0.6,0.124,0.538,0.017,0.543,0.214,0.042,8.0,13.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(49.12366, -122.7017848, 0.0)",49.12366,-122.7017848,yes,yes,unknown,for-profit,11.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Langley,59.0
