facility_name,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,location,point,latitude,longitude,residents_council,family_council,accreditation,home_type,years_operating,LONGITUDE,LATITUDE
eden care centre,1.0,9AB4F,Fraser Health,9100 Charles Street,Chilliwack,V2P5K6,(604) 792-8166,1973,"Resident Council, Family Council",Not Accredited,0.0,89.0,89.0,89.0,0.0,0.0,7,3,4,0,12,0,0,2,0,1,4.5,0,13.5,0,0,2.2,0,1.1,88,0.646,0.661,0.002,586,0.168,0.035,0.204,0.571,0.027,2.5,0.646,0.48,0,0.761,0,0.434,0.359,0.085,7.0,8.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,yes,"Charles Street, Five Corners, Chilliwack, British Columbia, V2P 2P0, Canada","(49.1724611, -121.9428348, 0.0)",49.17246110000001,-121.9428348,yes,yes,no,for-profit,47.0,-121.9419001,49.167238299999994
new vista care home,1.0,99C37,Fraser Health,7550 Rosewood Street,Burnaby,V5E3Z3,(604) 521-7764,1975,"Resident Council, Family Council",Accredited,0.0,236.0,236.0,236.0,0.0,0.0,3,1,0,1,27,1,0,7,4,17,0,0.4,11.4,0.4,0,3,1.7,7.2,83,0.625,0.493,0.047,1087,0.144,0.295,0.319,0.729,0.133,2.7,0.488,0.52,0.21,0.376,0,0.524,0.328,0.081,5.0,16.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,yes,"New Vista Care Home, 7550, Rosewood Street, Eastburn, Burnaby, Metro Vancouver Regional District, British Columbia, V5E 0B1, Canada","(49.2239438, -122.94541269093861, 0.0)",49.223943799999994,-122.94541269093858,yes,yes,yes,non-profit,45.0,-122.94401859999999,49.2237295
valhaven rest home,1.0,98H9F,Fraser Health,4212 Balmoral St,Abbotsford,V4X1Y5,(604) 856-2812,1969,"Resident Council, Family Council",Accredited,4.0,22.0,26.0,26.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,7.7,0,0,0,0,0,91,0.737,0.825,0.015,1063,0.043,0.277,0.213,0.745,0.106,3.8,0.287,0.62,0.149,0,0,0.532,0.293,0.053,3.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,yes,"Balmoral Street, Abbotsford, British Columbia, V2T 5W5, Canada","(49.0778603, -122.3844974, 0.0)",49.0778603,-122.38449740000001,yes,yes,yes,non-profit,51.0,-122.38571529999999,49.0789671
windermere care centre,1.0,9C2G9,Vancouver Coastal Health,900 West 12th Avenue,Vancouver,V5Z1N3,(604) 736-8676,1992,Resident & Family Council (combined),Not Accredited,6.0,204.0,210.0,170.0,22.0,0.0,0,0,2,0,26,0,0,0,2,0,1,0,12.4,0,0,0,1,0,87,0.782,0.61,0.005,959,0.229,0.268,0.07,0.64,0.026,4.6,0.004,0.54,0.058,0.026,0,0.418,0.153,0.044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,"Windermere Care Centre, 900, West 12th Avenue, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V5Z 1N3, Canada","(49.2603188, -123.12495952055919, 0.0)",49.26031879999999,-123.1249595205592,yes,yes,no,for-profit,28.0,-123.1252814,49.2602777
aberdeen hospital,0.0,9A616,Vancouver Island Health,1450 Hillside Ave.,Victoria,V8T2B7,(250) 370-5648,1982,Resident & Family Council (combined),Accredited,0.0,100.0,100.0,19.0,4.0,25.0,7,4,,,,,,,,,,,,,,,,,69,0.516,0.217,0.433,844,0.243,0.456,0.16,0.068,0.005,4,0.16,0.77,0.092,0.515,0.451,0.481,0.227,0.039,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Aberdeen Hospital, 1450, Hillside Avenue, Oaklands, Victoria, Capital Regional District, British Columbia, V8T 3B1, Canada","(48.4421967, -123.34324160465658, 0.0)",48.442196700000004,-123.34324160465658,yes,yes,yes,health_authority,38.0,-123.342568,48.4425235
acacia ty mawr,0.0,99549,Vancouver Island Health,2655 E Shawnigan Lake Rd,Shawnigan Lake,V0R2W0,(250) 743-2124,1990,Family Council,Accredited,0.0,35.0,35.0,31.0,2.0,0.0,1,0,0,0,2,0,0,0,1,3,0,0,5.7,0,0,0,2.9,8.6,84,0.698,0.522,0.025,862,0.104,0.306,0.389,0.951,0.104,2,0.653,0.56,0,0,0,0.542,0.378,0.02,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"29 Avenue, Vernon, Regional District of North Okanagan, British Columbia, V1T6T7, Canada","(50.2627916, -119.2456394, 0.0)",50.2627916,-119.2456394,no,yes,yes,for-profit,30.0,-123.62411029999998,48.649450099999996
acropolis manor,0.0,9A8ID,Northern Health,1325 Summit Avenue,Prince Rupert,V8J4C1,(250) 622-6400,2009,"Resident Council, Family Council",Accredited,0.0,61.0,61.0,49.0,6.0,0.0,1,1,1,1,8,0,0,3,1,3,1.6,1.6,13.1,0,0,4.9,1.6,4.9,83,0.592,0.507,0.044,2,0.108,0.368,0.354,0.613,0.198,1.5,0.807,0.58,0.005,0.259,0.009,0.377,0.251,0.088,4.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,no,"Acropolis Manor, 1325, Summit Avenue, Prince Rupert, North Coast Regional District, British Columbia, V8J 4C1, Canada","(54.30447555, -130.32958813306823, 0.0)",54.30447555,-130.32958813306823,yes,yes,yes,health_authority,11.0,-130.3295787,54.304385200000006
adanac park lodge,0.0,919G3,Vancouver Coastal Health,851 Boundary Road,Vancouver,V5K4T2,(604) 299-7567,2000,Resident Council,Not Accredited,0.0,73.0,73.0,67.0,3.0,0.0,0,0,2,0,11,0,0,2,2,2,2.7,0,15.1,0,0,2.7,2.7,2.7,63,0.248,0.071,0.553,3225,0.191,0.147,0.085,0.396,0.078,2.4,0.611,0.49,0,0.724,0,0.597,0.589,0.033,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Adanac Lodge, 851, Boundary Road, Vancouver, Metro Vancouver Regional District, British Columbia, V5K 4T2, Canada","(49.2770962, -123.02455718325932, 0.0)",49.2770962,-123.02455718325932,yes,no,no,non-profit,20.0,-123.02459579999999,49.2770771
agassiz seniors community,0.0,936E0,Fraser Health,1525 MacKay Crescent,Agassiz,V0M1A3,(604) 796-3886,2008,"Resident Council, Family Council",Unknown,11.0,63.0,74.0,68.0,0.0,0.0,1,0,1,0,3,0,0,1,0,3,1.4,0,4.1,0,0,1.4,0,4.1,85,0.593,0.593,0.028,1144,0.058,0.342,0.374,0.605,0.116,2.7,0.458,0.56,0.042,0.942,0,0.153,0.031,0,2.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no,"MacKay Crescent, Agassiz, British Columbia, V0M 1A2, Canada","(49.2358844, -121.7619622, 0.0)",49.235884399999996,-121.7619622,yes,yes,unknown,for-profit,12.0,-121.7681608,49.2335015
arbutus care centre,0.0,9B814,Vancouver Coastal Health,4505 Valley Drive,Vancouver,V6L2L1,(604) 261-4292,1986,"Resident Council, Family Council, Quality Council",Accredited,4.0,152.0,156.0,58.0,49.0,0.0,1,0,1,1,10,0,0,5,0,3,0.6,0.6,6.4,0,0,3.2,0,1.9,86,0.714,0.643,0.04,914,0.153,0.31,0.202,0.619,0.03,1.5,0.793,0.55,0.197,0.002,0.006,0.248,0.228,0.001,7.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,no,"Valley Drive, Arbutus Ridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6L","(49.2478819, -123.1579085, 0.0)",49.247881899999996,-123.15790849999999,yes,yes,yes,for-profit,34.0,-123.15790849999999,49.247881899999996
arrowsmith lodge,0.0,995A3,Vancouver Island Health,266 Moilliet St,Parksville,V9P1M9,(250) 248-4331,2005,"Resident Council, Family Council",Accredited,0.0,75.0,75.0,75.0,0.0,0.0,6,4,0,3,6,0,0,4,0,3,0,4,8,0,0,5.3,0,4,84,0.566,0.544,0.041,1121,0.311,0.338,0.401,0.798,0.096,2.2,0.568,0.61,0.116,0,0.063,0.609,0.214,0.149,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,no,"Eastleigh Crescent, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 4S9, Canada","(49.106144, -122.6498551, 0.0)",49.106144,-122.6498551,yes,yes,yes,non-profit,15.0,-124.32361759999999,49.3159185
ayre manor,0.0,9357A,Vancouver Island Health,6764 Ayre Rd,Sooke,V9Z1K1,(250) 642-1750,2008,Resident & Family Council (combined),Accredited,1.0,32.0,33.0,32.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,3,0,3,0,0,0,0,3,82,0.597,0.38,0.062,784,0.371,0.411,0.306,0.75,0.145,2.4,0.532,0.59,0,0,0,0.766,0.479,0.242,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Ayre Road, Sunriver Estates, Sooke, Capital Regional District, British Columbia, V9Z 0A0, Canada","(48.3787853, -123.7247885, 0.0)",48.3787853,-123.7247885,yes,yes,yes,non-profit,12.0,-123.7275791,48.3772566
banfield pavilion - vancouver general hospital,0.0,9A52F,Vancouver Coastal Health,2785 Ash Street,Vancouver,V5Z1M9,(604) 875-4111,1972,"Resident Council, Family Council",Accredited,0.0,156.0,156.0,17.0,13.0,36.0,3,0,0,0,5,0,0,1,2,6,0,0,3.2,0,0,0.6,1.3,3.8,82,0.54,0.498,0.075,916,0.257,0.441,0.323,0.477,0.063,2.6,0.526,0.64,0.235,0.006,0.407,0.397,0.133,0.108,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Banfield Pavilion, 2785, Ash Street, Cambie Village, Vancouver, Metro Vancouver Regional District, British Columbia, V5Z 4B4, Canada","(49.26115165, -123.11846150894834, 0.0)",49.26115165,-123.11846150894834,yes,yes,yes,health_authority,48.0,-123.1187682,49.2611939
bastion place,0.0,9C094,Interior Health,700 11 St. NE,Salmon Arm,V1E4P9,(250) 833-3616,1991,"Resident Council, Family Council",Accredited,0.0,80.0,80.0,69.0,2.0,3.0,0,0,0,2,6,0,0,0,3,1,0,2.5,7.5,0,0,0,3.8,1.3,82,0.676,0.463,0.094,1040,0.301,0.391,0.289,0.538,0.045,3.2,0.425,0.62,0.184,0.004,0.041,0.553,0.239,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"11 Street Northeast, Canoe, Salmon Arm, Columbia-Shuswap Regional District, British Columbia, V1E 2G3, Canada","(50.7378252, -119.2720293, 0.0)",50.7378252,-119.2720293,yes,yes,yes,health_authority,29.0,-119.2720293,50.7378252
beacon hill villa,0.0,91B60,Vancouver Island Health,635 Superior St,Victoria,V8V1V1,(250) 383-5447,1991,"Resident Council, Family Council",Accredited,0.0,80.0,80.0,66.0,7.0,0.0,4,3,0,2,9,0,0,2,0,4,0,2.5,11.3,0,0,2.5,0,5,84,0.723,0.576,0.061,945,0.195,0.248,0.381,0.522,0.063,2.7,0.511,0.53,0.006,0.299,0.044,0.478,0.301,0.053,5.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no,"Beacon Hill Villa, 635, Superior Street, James Bay, Victoria, Capital Regional District, British Columbia, V8V 1V1, Canada","(48.418100249999995, -123.36708484214168, 0.0)",48.41810025,-123.36708484214168,yes,yes,yes,for-profit,29.0,-123.3670916,48.418065500000004
beckley farm lodge,0.0,9AB20,Vancouver Island Health,530 Simcoe St,Victoria,V8V4W4,(250) 381-4421,1982,Resident & Family Council (combined),Accredited,0.0,64.0,64.0,65.0,0.0,0.0,0,0,1,0,5,0,0,0,0,0,1.6,0,7.8,0,0,0,0,0,83,0.55,0.507,0.029,849,0.277,0.53,0.42,0.633,0.114,2.3,0.583,0.58,0.019,0.004,0.004,0.648,0.12,0.223,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Beckley Farm Lodge, 530, Simcoe Street, James Bay, Victoria, Capital Regional District, British Columbia, V8V 2G0, Canada","(48.4150602, -123.37264757617712, 0.0)",48.4150602,-123.37264757617712,yes,yes,yes,non-profit,38.0,-123.3724942,48.4150343
bella coola general hospital,0.0,9A8DC,Vancouver Coastal Health,1025 Elcho Street,Bella Coola,V0T1C0,(250) 799-5311,1980,"Resident Council, Family Council",Accredited,0.0,5.0,5.0,5.0,0.0,0.0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Elcho Street, Area E (West Bella Coola/Clayton Falls/Tallheo), Central Coast Regional District, British Columbia, V0T 1C0, Canada","(52.3739965, -126.7562434, 0.0)",52.373996500000004,-126.75624340000002,yes,yes,yes,health_authority,40.0,-126.75624340000002,52.373996500000004
belvedere care centre,0.0,9BG96,Fraser Health,739 Alderson Avenue,Coquitlam,V3K7B3,(604) 939-5991,2006,"Resident Council, Family Council",Unknown,67.0,56.0,123.0,146.0,2.0,0.0,5,1,0,1,7,0,0,0,3,0,0,0.8,5.7,0,0,0,2.4,0,88,0.757,0.696,0.004,660,0.224,0.333,0.294,0.625,0.088,3.9,0.265,0.58,0.081,0.75,0.009,0.458,0.121,0.033,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Belvedere Care Centre, 739, Alderson Avenue, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 7B3, Canada","(49.24008325, -122.8785698229799, 0.0)",49.24008325,-122.87856982297991,yes,yes,unknown,for-profit,14.0,-122.87856982297991,49.24008325
berkley care centre - special unit,0.0,93A60,Vancouver Coastal Health,2444 Burr Place,North Vancouver,V7H3A5,(604) 924-8300,1998,"Resident Council, Family Council",Accredited,0.0,12.0,12.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,78,0.397,0.138,0.138,317,0.3,0.18,0.7,0.86,0.32,1.5,0.7,0.53,0,0.5,0,0.84,0.713,0.217,,,,,,,,,,,,,,,no,"Burr Place, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 1V4, Canada","(49.1415955, -122.9054267, 0.0)",49.1415955,-122.90542669999999,yes,yes,yes,health_authority,22.0,-123.00604740000001,49.3121351
bevan village,0.0,923E0,Fraser Health,33386 Bevan Ave.,Abbotsford,V2S5G6,(604) 850-5416,1989,Resident & Family Council (combined),Not Accredited,100.0,22.0,122.0,105.0,5.0,0.0,1,1,0,0,6,0,0,0,3,1,0,0,4.9,0,0,0,2.5,0.8,88,0.655,0.734,0.014,802,0.403,0.415,0.119,0.716,0.153,3.2,0.261,0.6,0.023,0,0,0.563,0.294,0.087,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Trillium at Bevan Village, 33386, Bevan Avenue, Mill Lake, Abbotsford, British Columbia, V2S 5G6, Canada","(49.04130255, -122.29928450311597, 0.0)",49.04130255,-122.29928450311596,yes,yes,no,for-profit,31.0,-122.2992395,49.0413325
