,Facility,Location,Prov.,Number of dead,Number of beds (appx),%,Public or private,Link,Street address,city/postal,phone,Health authority,Accreditation status,Councils,Private beds (not publicly funded),Publicly funded beds (short- and long-term),Total beds,Private rooms,Semi-private rooms,Multi-person rooms,Total direct care hours (hours per resident per day),Number of licensing complaints,Number substantiated licensing complaints,Number of Inspections,Number of licensing infractions found,Hygiene & communicable disease control,Average age of population,outbreak_status,residents_council,family_council,accreditation
16,Aberdeen Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A616, 1450 Hillside Ave., Victoria V8T2B7, (250) 370-5648,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,100,100,19,4,25,4.74,7,4,1,2,0,69,no,yes,yes,yes
17,Adanac Park Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/919G3, 851 Boundary Road, Vancouver V5K4T2, (604) 299-7567,Vancouver Coastal Health,Not Accredited,Resident Council,0,73,73,67,3,0,3.43,0,0,2,2,0,63,no,yes,no,no
18,Acacia Ty Mawr,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99549, 2655 E Shawnigan Lake Rd, Shawnigan Lake V0R2W0, (250) 743-2124,Vancouver Island Health,Accredited,Family Council,0,35,35,31,2,0,2.8,1,0,2,1,0,84,no,no,yes,yes
19,Ayre Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9357A, 6764 Ayre Rd, Sooke V9Z1K1, (250) 642-1750,Vancouver Island Health,Accredited,Resident & Family Council (combined),1,32,33,32,0,0,3.13,0,0,3,3,0,82,no,yes,yes,yes
20,Agassiz Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/936E0, 1525 MacKay Crescent, Agassiz V0M1A3, (604) 796-3886,Fraser Health,Unknown,"Resident Council, Family Council",11,63,74,68,0,0,2.87,1,0,2,5,0,85,no,yes,yes,unknown
21,Arrowsmith Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/995A3, 266 Moilliet St, Parksville V9P1M9, (250) 248-4331,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,75,75,75,0,0,3.14,6,4,3,4,0,84,no,yes,yes,yes
22,Arbutus Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B814, 4505 Valley Drive, Vancouver V6L2L1, (604) 261-4292,Vancouver Coastal Health,Accredited,"Resident Council, Family Council, Quality Council",4,152,156,58,49,0,2.8,1,0,7,9,0,86,no,yes,yes,yes
23,Banfield Pavilion - Vancouver General Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A52F, 2785 Ash Street, Vancouver V5Z1M9, (604) 875-4111,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,156,156,17,13,36,3.06,3,0,4,1,0,82,no,yes,yes,yes
24,Beacon Hill Villa,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91B60, 635 Superior St, Victoria V8V1V1, (250) 383-5447,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,80,80,66,7,0,3.09,4,3,5,7,0,84,no,yes,yes,yes
25,Bastion Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C094, 700 11 St. NE, Salmon Arm V1E4P9, (250) 833-3616,Interior Health,Accredited,"Resident Council, Family Council",0,80,80,69,2,3,3.16,0,0,0,0,0,82,no,yes,yes,yes
26,Belvedere Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BG96, 739 Alderson Avenue, Coquitlam V3K7B3, (604) 939-5991,Fraser Health,Unknown,"Resident Council, Family Council",67,56,123,146,2,0,2.78,5,1,4,2,1,88,no,yes,yes,unknown
27,Bella Coola General Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A8DC, 1025 Elcho Street, Bella Coola V0T1C0, (250) 799-5311,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,5,5,5,0,0,n/a,suppressed,suppressed,1,0,0,suppressed,no,yes,yes,yes
28,Beckley Farm Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AB20, 530 Simcoe St, Victoria V8V4W4, (250) 381-4421,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,64,64,65,0,0,3.24,0,0,2,1,0,83,no,yes,yes,yes
29,Bevan Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/923E0, 33386 Bevan Ave., Abbotsford V2S5G6, (604) 850-5416,Fraser Health,Not Accredited,Resident & Family Council (combined),100,22,122,105,5,0,2.73,1,1,1,3,0,88,no,yes,yes,no
30,Blenheim Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999BD, 3263 Blenheim Street, Vancouver V6L2X7, (604) 732-8717,Vancouver Coastal Health,Not Accredited,Resident & Family Council (combined),6,94,100,65,17,0,2.75,2,1,6,4,0,88,no,yes,yes,no
31,Birchview Residences,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93GDH, 7780 Hart Highway, Prince George V2K3B3, (778) 415-9790,Northern Health,Not Accredited,Family Council,14,7,21,18,1,0,2.78,0,0,1,3,0,n/a,no,no,yes,no
32,Berkley Care Centre - Special Unit,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93A60, 2444 Burr Place, North Vancouver V7H3A5, (604) 924-8300,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,12,12,12,0,0,3.5,n/a,n/a,n/a,n/a,n/a,78,no,yes,yes,yes
33,Brandt's Creek Mews,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/937BA, 2081 Cross Rd, Kelowna V1V2G2, (778) 478-8800,Interior Health,Accredited,Resident & Family Council (combined),2,100,102,102,0,0,3.15,0,0,1,0,0,84,no,yes,yes,yes
34,Braddan Private Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91997, 2450 West 2nd Ave, Vancouver V6K1J6, (604) 731-2127,Vancouver Coastal Health,Not Accredited,"Resident Council, Family Council",2,60,62,22,20,0,2.81,0,0,2,0,0,85,no,yes,yes,no
35,Bradley Center,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6JG, 45600 Menholm Rd, Chilliwack V2P1P7, (604) 795-4102,Fraser Health,Unknown,Resident Council,0,90,90,8,1,20,3.25,0,0,1,5,1,87,no,yes,no,unknown
36,Brentwood House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93290, 1167 Stelly's Cross Road, Brentwood Bay V8M1H4, (250) 652-0634,Vancouver Island Health,Accredited,Resident & Family Council (combined),2,15,17,17,0,0,2.9,3,1,1,0,0,86,no,yes,yes,yes
37,Brookhaven Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/917I9, 1775 Shannon Lake Rd, West Kelowna V4T2N7, (250) 862-4040,Interior Health,Accredited,"Resident Council, Family Council",0,84,84,0,0,0,3.16,0,0,0,0,0,83,no,yes,yes,yes
38,Broadway Pentecostal Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A9CE, 1377 Lamey's Mill Rd, Vancouver V6H3S9, (604) 733-1441,Vancouver Coastal Health,Not Accredited,Resident Council,0,114,114,114,0,0,2.95,3,2,6,8,0,82,no,yes,no,no
39,Brookside Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/937F0, 19550 Fraser Highway, Surrey V3S6K5, (604) 530-6595,Fraser Health,Unknown,"Resident Council, Family Council",14,89,103,93,5,0,2.89,0,0,8,13,0,80,no,yes,yes,unknown
40,Brocklehurst Gemstone Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93E9A, 1955 Tranquille Road, Kamloops V2B3M4, (778) 470-2596,Interior Health,Accredited,"Resident Council, Family Council",5,125,130,126,4,0,3.15,0,0,1,2,0,85,no,yes,yes,yes
41,Capilano Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C414, 525 Clyde Avenue, West Vancouver V7T1C4, (604) 926-6856,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,205,205,76,48,11,2.78,2,0,3,3,0,84,no,yes,yes,yes
42,Cairnsmore Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5F3, 250 Cairnsmore Street, Duncan V9L4H2, (250) 709-3080,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,100,100,8,4,21,3.22,2,0,1,1,0,83,no,yes,yes,yes
43,Buchanan Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A500, 409 Blair Ave, New Westminster V3L4A4, (604) 522-7033,Fraser Health,Unknown,"Resident Council, Family Council",0,112,112,104,4,0,3.06,1,0,3,3,1,86,no,yes,yes,unknown
44,Bulkley Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BDH1, 3668 11th Avenue, Smithers V0J2N0, (250) 847-4443,Northern Health,Accredited,"Resident Council, Family Council",0,70,70,67,3,0,3.85,0,0,4,6,0,82,no,yes,yes,yes
45,Cartier House Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/992EJ, 1419 Cartier St, Coquitlam V3K2C6, (604) 939-4654,Fraser Health,Unknown,"Resident Council, Family Council",0,78,78,30,24,0,2.73,1,1,2,5,0,88,no,yes,yes,unknown
46,Cariboo Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93GGE, 185 Fourth Ave N, Williams Lake V2G2C8, (778) 417-0275,Interior Health,Accredited,Resident & Family Council (combined),2,70,72,72,0,0,n/a,n/a,n/a,1,0,0,n/a,no,yes,yes,yes
47,Carlton Gardens Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99FE5, 4108 Norfolk Street, Burnaby V5G0B4, (604) 419-3000,Fraser Health,Accredited,"Resident Council, Family Council",11,117,128,120,4,0,2.82,0,0,3,6,1,84,no,yes,yes,yes
48,CareLife Fleetwood,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5AD, 8265 159th Street, Surrey V4N5T5, (604) 598-7200,Fraser Health,Unknown,Resident Council,0,191,191,167,12,0,4.19,1,0,1,0,0,80,no,yes,no,unknown
49,Castleview Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C017, 2300 14th Ave., Castlegar V1N4A6, (250) 365-7277,Interior Health,Unknown,Resident & Family Council (combined),16,45,61,61,0,0,3.15,0,0,1,2,0,85,no,yes,yes,unknown
50,Cedarview Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AF9E, 1200 Cedar Village Close, North Vancouver V7J3P3, (604) 904-6400,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,89,89,89,0,0,3.04,0,0,0,0,0,84,no,yes,yes,yes
51,Central City Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99A78, 415 West Pender St, Vancouver V6B1V2, (604) 681-9111,Vancouver Coastal Health,Not Accredited,Resident Council,0,100,100,84,8,0,2.91,0,0,2,0,0,70,no,yes,no,no
52,Cerwydden Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9244A, 3243 Cowichan Lake R, Duncan V9L4B8, (250) 746-4432,Vancouver Island Health,Unknown,"Resident Council, Family Council",4,52,56,44,6,0,3.14,1,1,4,2,0,87,no,yes,yes,unknown
53,Cherington Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B889, 13453 111A Ave, Surrey V3R2C5, (604) 581-2885,Fraser Health,Unknown,Resident Council,0,75,75,33,21,0,2.79,3,1,8,0,0,87,no,yes,no,unknown
54,Chetwynd Hospital and Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/922CD, 5500 Hospital road, Chetwynd V0C1J0, (250) 788-2236,Northern Health,Accredited,No Councils,0,7,7,7,0,0,3.55,n/a,n/a,1,8,0,79,no,no,no,yes
55,Christenson Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92I30, 585 Shaw Road, Gibsons V0N1V8, (604) 886-8747,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,80,80,80,0,0,3.22,0,0,2,4,0,86,no,yes,yes,yes
56,Chemainus Health Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BF66, 9909 Esplanade Street, Chemainus V0R1K1, (250) 737-2040,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,75,75,55,10,0,3.16,1,0,1,2,0,86,no,yes,yes,yes
57,Columbia Garden Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93DHA," 800-10 Ave., Box 578", Invermere V0A1K0, (250) 341-3350,Interior Health,Accredited,Resident Council,0,34,34,34,0,0,3.15,1,0,1,4,0,81,no,yes,no,yes
58,Columbia House - Invermere District Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/915C7, 1030 - 10th Street, Invermere V0A1K0, (250) 342-2329,Interior Health,Accredited,"Resident Council, Family Council",0,35,35,35,0,0,3.14,0,0,0,0,0,84,no,yes,yes,yes
59,Columbus Residence,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BHG7, 704 West 69th Avenue, Vancouver V6P2W3, (604) 321-4405,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,76,76,74,1,0,2.86,1,0,3,0,0,85,no,yes,yes,yes
60,Columbia View Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98H3C, 2920 Laburnum Dr, Trail V1R4N2, (250) 364-1271,Interior Health,Accredited,"Resident Council, Family Council",0,76,76,76,0,0,3.2,0,0,0,0,0,85,no,yes,yes,yes
61,Cormorant Island Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A72D, 49 School Road, Alert Bay V0N1A0, (250) 974-5585,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,10,10,10,0,0,3.7,0,0,1,4,0,80,no,yes,yes,yes
62,Comox Valley Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/936F0, 4640 Headquarters Rd., Courtenay V9N7J3, (250) 897-1033,Vancouver Island Health,Accredited,"Resident Council, Family Council",15,121,136,128,4,0,3.11,17,4,3,1,0,83,no,yes,yes,yes
63,Cottonwoods Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6EF, 2255 Ethel Street, Kelowna V1Y2Z9, (250) 862-4100,Interior Health,Accredited,Resident & Family Council (combined),0,221,221,34,29,33,3.2,0,0,1,5,1,85,no,yes,yes,yes
64,Cumberland Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/995I0, 2696 Windermere Ave, Cumberland V0R1S0, (250) 331-8505 x 68321,Vancouver Island Health,Accredited,Resident Council,0,66,66,40,13,0,3.2,1,0,3,2,0,87,no,yes,no,yes
65,Crescent Gardens,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91GD7, 1222 King George Boulevard, Surrey V4A9W6, (604) 541-8861,Fraser Health,Unknown,"Resident Council, Family Council",22,53,75,69,3,0,2.79,2,0,3,4,0,89,no,yes,yes,unknown
66,Creekside Landing,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/934BA, 6190 Okanagan Landing Rd, Vernon V1H1M3, (250) 549-9550,Interior Health,Accredited,Resident & Family Council (combined),0,70,70,70,0,0,3.15,1,1,2,6,0,84,no,yes,yes,yes
67,Crest View Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92DG0, 800 Cavell Street, Creston V0B1G4, (250) 428-9986,Interior Health,Accredited,"Resident Council, Family Council",2,30,32,32,0,0,3.15,0,0,0,0,0,88,no,yes,yes,yes
68,Czorny Alzheimer Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9327A, 16850 66th Avenue, Surrey V3S5M1, (604) 575-6700,Fraser Health,Unknown,No Councils,0,72,72,72,0,0,3.5,0,0,2,1,0,83,no,no,no,unknown
69,Delta View Habilitation Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C280, 9341 Burns Drive, Delta V4K3N3, (604) 596-8842,Fraser Health,Accredited,"Resident Council, Family Council",9,71,80,72,4,0,n/a,0,0,1,0,0,79,no,yes,yes,yes
70,David Lloyd Jones Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99127, 934 Bernard Ave, Kelowna V1Y6P8, (250) 762-2706,Interior Health,Accredited,Resident & Family Council (combined),0,64,64,64,0,0,3.18,0,0,1,4,0,86,no,yes,yes,yes
71,Dania Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99C1E, 4175 Norland Avenue, Burnaby V5G3S7, (604) 299-2414,Fraser Health,Accredited,"Resident Council, Family Council",0,102,102,102,0,0,3.21,1,0,3,2,1,83,no,yes,yes,yes
72,Discovery Harbour Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9353A, 850 14th Avenue, Campbell River V9W4H4, (250) 287-7166,Vancouver Island Health,Unknown,"Resident Council, Family Council",0,142,142,90,4,0,3.15,16,9,5,6,0,84,no,yes,yes,unknown
73,Dogwood Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999F1, 500 West 57th Avenue, Vancouver V6P6E8, (604) 324-6882,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,83,83,83,0,0,2.85,0,0,1,0,0,84,no,yes,yes,yes
74,Delta View Life Enrichment Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9940H, 9321 Burns Drive, Delta V4K3N3, (604) 501-6700,Fraser Health,Accredited,"Resident Council, Family Council",62,150,212,172,20,0,3.13,0,0,1,0,0,85,no,yes,yes,yes
75,Deni House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93B40, 517 6th Ave N., Williams Lake V2G2G8, (250) 302-3208,Interior Health,Accredited,Resident Council (family can attend),0,28,28,13,0,5,3.25,0,0,1,1,0,80,no,yes,no,yes
76,Dr. F. W. Green Memorial Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98F1A, 1700 4th Street St. South, Cranbrook V1C6E1, (250) 426-3710,Interior Health,Accredited,Family Council,0,58,58,60,0,0,3.26,0,0,0,0,0,84,no,no,yes,yes
77,Dr. Andrew Pavilion - Summerland Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AJF4, 12815 Atkinson Rd., Summerland V0H1Z0, (250)  404-8020,Interior Health,Accredited,"Resident Council, Family Council",0,50,50,4,5,8,3.15,0,0,0,1,0,89,no,yes,yes,yes
78,Dufferin Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6D2, 1200 Dufferin Crescent, Nanaimo V9S2B7, (250) 755-7632,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,146,146,14,8,29,3.26,1,0,1,1,0,84,no,yes,yes,yes
79,Eagle Park Health Care Facility,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9154A, 777 Jones St, Qualicum Beach V9K2L1, (250) 947-8220,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,75,75,55,20,0,3.16,1,0,1,4,1,83,no,yes,yes,yes
80,Dunrovin Park Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99617, 900 St Laurent Avenue, Quesnel V2J3S3, (250) 985-5800,Northern Health,Accredited,"Resident Council, Family Council",0,117,117,107,3,0,3.56,1,1,1,13,0,82,no,yes,yes,yes
81,Eagle Ridge Manor - Port Hardy,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/923C0, 9120 Granville Street, Port Hardy V0N2P0, (250) 902-6043,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,22,22,22,0,0,3.49,0,0,1,3,0,83,no,yes,yes,yes
82,Eagle Ridge Manor - Port Moody,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C6EC, 475 Guildford Way, Port Moody V3H3W9, (604) 469-3211,Fraser Health,Unknown,Resident & Family Council (combined),0,75,75,39,18,0,3.46,1,1,0,0,0,86,no,yes,yes,unknown
83,Eden Gardens,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9951E, 1917 Northfield Road, Nanaimo V9S3B6, (250) 758-4676,Vancouver Island Health,Unknown,"Resident Council, Family Council",0,130,130,130,0,0,3,8,2,4,3,0,83,no,yes,yes,unknown
84,Elim Village - The Harrison / Harrison West,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9371A, 9025 160 Street, Surrey V4N2X7, (604) 587-8999,Fraser Health,Accredited,"Resident Council, Family Council",18,176,194,181,6,0,3.19,2,0,6,0,0,87,no,yes,yes,yes
85,Echo Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C2F7, 4200 10th Avenue, Port Alberni V9Y4X3, (250) 724-1090,Vancouver Island Health,Accredited,Resident Council,2,65,67,67,0,0,3.17,2,0,1,2,0,83,no,yes,no,yes
86,Evergreen - The Terraces / The Pointe,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99420, 1550 Oxford St, White Rock V4B3R5, (604) 536-3344,Fraser Health,Accredited,"Resident Council, Family Council",3,249,252,252,0,0,3.25,4,1,12,3,0,87,no,yes,yes,yes
87,Evergreen Seniors Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92J70, 635 Evergreen Rd, Campbell River V9W3R7, (250) 286-7274,Vancouver Island Health,Accredited,"Resident Council, Family Council",42,22,64,60,1,0,3.19,0,0,4,0,0,84,no,yes,yes,yes
88,Evergreen Extended Care - Powell River Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A551, 4970 Joyce Ave., Powell River V8A5P2, (604) 485-2208,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,75,75,6,4,15,2.98,0,0,2,4,0,84,no,yes,yes,yes
89,Fair Haven - Vancouver,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999HG, 2720 East 48th Ave., Vancouver V5S1G7, (604) 433-2939,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,82,82,70,6,0,2.93,1,1,3,8,0,84,no,yes,yes,yes
