,1,2,3,4,5,6,Count
23-Mar-20,Policy: COVID-19 Emergency Measures,Memo: Long-term care home placements for  patients in hospitals memo,Memo: Call for Applications    LTC Development:  Deadline Extension Memo,FAQs: Call for Applications LTC Development:  Deadline Extension FAQs,Directive: CMOH Directive for long-term care  homes,Emergency Order: Emergency Management and Civil Protection Act - Ontario Regulation 79/10 - Work deployment measures in long-term care homes,0
20-Mar-20,Memo: Ministry of Long-Term Care Memo Amendments  to Ontario Regulation 79/10,QAs: Urgent Amendments to Ontario Regulation  79/10,,,,,4
19-Mar-20,COVID-19 Guidance: LTC Homes (Amended) (PDF),"FAQs: Ontario Enhancing COVID-19 Protections for  Long-Term Care for Residents, Families and Staff",Memo: Minister's Memo: 2019 Application for  Long-Term Care Home Development – Deadline Extension,Memo: CMOH Memo: Health Worker Illness and  Return to Work,,,2
17-Mar-20,COVID-19 Guidance: LTC Homes,ADM Letter: Emergency LTC Funding,Minister`s Letter: Minister's Funding Letter:  Emergency LTC Funding,Long-Term  Care Homes COVID-19 Screening Checklist (PDF),,,2
16-Mar-20,"Statement: Ontario Committed to Protecting Long-Term Care Residents, Families and Staff",,,,,,5
13-Mar-20,Case Definition: Novel Coronavirus (COVID-19), Chief Medical Officer of Health Memo- COVID-19 Updates: Visitors (PDF),,,,,4
11-Mar-20,"Memo: COVID-19 Active Screening from the Assistant Deputy  Minister, Operations of Health","Statement: Ontario Enhancing COVID-19 Protections for Long-Term Care Residents, Families and Staff",,,,,4
09-Mar-20,Memo: Active Screening ADM Memo to Sector,Poster: What you need to know to help you and your family stay healthy (PDF),,,,,4
11-Feb-20,,Novel Coronavirus (2019-nCoV) Fact Guidance for Long-Term  Care - Version 2,,,,,3
31-Jan-20,,Novel Coronavirus (2019-nCoV) Fact Guidance for Long-Term  Care,,,,,4
