index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
54,CAMILLA CARE COMMUNITY,2250 Hurontario Street,"Mississauga, L5B1M8",Mississauga Halton,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 237 beds,Yes,Yes,Yes,Yes,,Mississauga, L5B1M8,237,2010-08-17,57,29,15,27,13,7,17,6,3,9,7,4
55,CAREFREE LODGE,306 Finch Avenue East,"North York, M2N4S5",Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 127 beds,No,Yes,Yes,Yes,,North York, M2N4S5,127,2011-11-21,20,14,9,8,4,3,3,3,3,5,3,2
56,CARESSANT CARE ARTHUR NURSING HOME,215 Eliza Street P.O. Box 700,"Arthur, N0G1A0",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Arthur, N0G1A0,80,2010-08-31,66,29,10,31,12,3,23,10,4,12,8,5
57,CARESSANT CARE BOURGET,2279 Laval Street P.O. Box 99,"Bourget, K0A1E0",Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Bourget, K0A1E0,60,2010-11-17,116,56,24,52,26,14,30,12,8,22,6,
58,CARESSANT CARE COBDEN,12 Wren Drive P.O. Box 430,"Cobden, K0J1K0",Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Cobden, K0J1K0,64,2010-08-24,22,10,4,4,2,1,12,4,3,2,1,
59,CARESSANT CARE COURTLAND,4850 Hwy #59 P.O. Box 279,"Courtland, N0J1E0",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 55 beds,No,Yes,No,Yes,,Courtland, N0J1E0,55,2010-11-30,34,13,9,11,4,4,16,5,4,3,1,
60,CARESSANT CARE FERGUS NURSING HOME,450 Queen Street East,"Fergus, N1M2Y7",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 87 beds,No,Yes,Yes,Yes,,Fergus, N1M2Y7,87,2010-10-04,71,48,29,26,12,7,16,11,6,27,23,14
61,CARESSANT CARE HARRISTON,24 Louise Street P.O. Box 520,"Harriston, N0G1Z0",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Harriston, N0G1Z0,92,2011-03-22,28,11,5,7,1,1,13,5,3,2,1,
62,CARESSANT CARE LINDSAY NURSING HOME,240 Mary Street West,"Lindsay, K9V5K5",Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 124 beds,No,Yes,No,Yes,,Lindsay, K9V5K5,124,2010-08-12,51,27,14,23,9,5,17,11,6,6,4,3
63,CARESSANT CARE LISTOWEL NURSING HOME,710 Reserve Avenue South,"Listowel, N4W2L1",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 52 beds,Yes,Yes,No,Yes,,Listowel, N4W2L1,52,2010-11-17,29,14,5,11,3,,7,4,3,5,4,1
64,CARESSANT CARE MARMORA,58 Bursthall Street P.O. Box 429,"Marmora, K0K2M0",South East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Marmora, K0K2M0,84,2010-11-16,48,28,16,18,9,6,15,11,8,6,3,1
65,CARESSANT CARE ON BONNIE PLACE,15 Bonnie Place,"St Thomas, N5R5T8",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 116 beds,No,Yes,No,Yes,,St Thomas, N5R5T8,116,2010-07-08,90,37,18,33,17,5,45,13,10,12,9,6
66,CARESSANT CARE ON MARY BUCKE,4 Mary Bucke Street,"St. Thomas, N5R5J6",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,St. Thomas, N5R5J6,60,2010-08-19,39,16,10,13,,,16,8,7,8,7,2
67,CARESSANT CARE ON MCLAUGHLIN ROAD,114 McLaughlin Road,"Lindsay, K9V6L1",Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,,Lindsay, K9V6L1,96,2011-06-06,39,19,6,13,8,3,14,5,2,8,4,
68,CARESSANT CARE WOODSTOCK NURSING HOME,81 Fyfe Avenue,"Woodstock, N4S8Y2",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 163 beds,Yes,Yes,Yes,Yes,,Woodstock, N4S8Y2,163,2010-08-25,97,53,23,42,17,7,30,15,6,29,27,12
69,CARLETON LODGE,55 Lodge Road R. R. #2,"Nepean, K2C3H1",Champlain,City Of Ottawa,,Municipal,Home with approximately 161 beds,No,Yes,Yes,Yes,,Nepean, K2C3H1,161,2011-09-01,29,23,10,6,4,2,16,14,6,2,1,
70,CARLINGVIEW MANOR,2330 Carling Avenue,"Ottawa, K2B7H1",Champlain,Carlingview Manor Operating Inc.,,For-Profit,Home with approximately 303 beds,No,Yes,Yes,Yes,,Ottawa, K2B7H1,303,2010-08-25,107,59,33,52,30,16,40,19,11,14,7,6
71,CARVETH CARE CENTRE,375 James Street,"Gananoque, K7G2Z1",South East,Carveth Nursing Home Limited,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Gananoque, K7G2Z1,104,2011-07-12,31,21,8,13,7,3,7,6,4,4,3,
72,CASE MANOR CARE COMMUNITY,28 Boyd Street P.O. Box 670,"Bobcaygeon, K0M1A0",Central East,Specialty Care Case Manor Inc.,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,,Bobcaygeon, K0M1A0,96,2011-09-19,24,17,9,7,4,1,11,8,6,2,2,1
73,CASSELLHOLME,400 Olive Street,"North Bay, P1B6J4",North East,Board Of Management Of The District Of Nipissing East,,Municipal,Home with approximately 240 beds,Yes,Yes,Yes,Yes,,North Bay, P1B6J4,240,2011-04-12,49,27,18,20,9,7,18,9,8,10,8,3
74,CASTLEVIEW WYCHWOOD TOWERS,351 Christie Street,"Toronto, M6G3C3",Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 456 beds,Yes,Yes,Yes,Yes,,Toronto, M6G3C3,456,2010-10-05,80,29,14,37,13,6,21,9,6,21,6,1
75,CAWTHRA GARDENS,590 Lolita Gardens,"Mississauga, L5A4N8",Mississauga Halton,Delcare Ltc Inc.,Chartwell Seniors Housing Reit,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Mississauga, L5A4N8,192,2010-11-17,27,17,7,11,6,2,10,6,4,5,5,1
76,CEDARVALE LODGE RETIREMENT AND CARE COMMUNITY,121 Morton Avenue,"Keswick, L4P2M5",Central,Specialty Care Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Keswick, L4P2M5,60,2011-10-24,19,14,10,5,3,3,6,5,4,3,3,2
77,CEDARVALE TERRACE,429 Walmer Road,"Toronto, M5P2X9",Toronto Central,Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership,,For-Profit,Home with approximately 218 beds,Yes,Yes,Yes,Yes,,Toronto, M5P2X9,218,2010-09-02,65,25,16,40,14,10,11,6,5,16,7,6
78,CEDARWOOD LODGE,860 Great Northern Road,"Sault Ste. Marie, P6A5K7",North East,Autumnwood Mature Lifestyle Communities Inc.,Universalcare Canada Inc.,For-Profit,Home with approximately 50 beds,No,Yes,Yes,No,,Sault Ste. Marie, P6A5K7,50,2015-06-03,38,38,6,10,10,3,8,8,1,14,14,
79,CEDARWOOD VILLAGE,500 Queensway West,"Simcoe, N3Y4R4",Hamilton Niagara Haldimand Brant (Hnhb),Maplewood Nursing Home Limited,,For-Profit,Home with approximately 91 beds,Yes,Yes,Yes,Yes,,Simcoe, N3Y4R4,91,2010-11-08,36,27,15,14,8,5,7,7,4,15,13,7
80,CENTENNIAL PLACE LONG-TERM CARE HOME,2 Centennial Lane North,"Millbrook, L0A1G0",Central East,Centennial Place Millbrook Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,,Millbrook, L0A1G0,128,2011-08-04,30,20,8,9,5,3,12,8,3,5,4,2
81,CENTRE D'ACCUEIL CHAMPLAIN,275 Perrier Street,"Vanier, K1L5C6",Champlain,City Of Ottawa,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,,Vanier, K1L5C6,160,2010-09-09,128,92,50,34,20,6,64,42,28,22,22,12
82,CENTRE D'ACCUEIL ROGER SEGUIN,435 Lemay Street,"Clarence Creek, K0A1N0",Champlain,Centre D'accueil Roger Seguin,,Non-Profit,Home with approximately 110 beds,Yes,Yes,Yes,No,,Clarence Creek, K0A1N0,110,2011-11-01,51,30,20,8,2,,19,14,14,16,8,4
83,CHAMPLAIN LONG TERM CARE RESIDENCE,428 Front Road West,"L'Orignal, K0B1K0",Champlain,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,L'Orignal, K0B1K0,60,2011-10-25,30,19,10,2,,,11,8,6,6,4,2
84,CHARTWELL AURORA LONG TERM CARE RESIDENCE,32 Mill Street,"Aurora, L4G2R9",Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 235 beds,Yes,Yes,Yes,Yes,,Aurora, L4G2R9,235,2010-08-18,30,15,10,16,7,6,7,3,3,1,,
85,CHARTWELL AYLMER LONG TERM CARE RESIDENCE,465 Talbot Street West,"Aylmer, N5H1K8",South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Aylmer, N5H1K8,64,2010-09-27,30,10,5,4,1,1,16,3,1,4,2,1
86,CHARTWELL BALLYCLIFFE LONG TERM CARE RESIDENCE,70 Station Street,"Ajax, L1S1R9",Central East,Chartwell Master Care Lp,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,,Ajax, L1S1R9,100,2010-09-10,66,44,8,28,21,4,19,13,3,12,5,
87,CHARTWELL BRANT CENTRE LONG TERM CARE RESIDENCE,1182 Northshore Blvd. East,"Burlington, L7S1C5",Hamilton Niagara Haldimand Brant (Hnhb),Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 175 beds,No,Yes,Yes,Yes,,Burlington, L7S1C5,175,2010-10-05,43,14,7,21,7,4,16,3,3,2,1,
88,CHARTWELL ELMIRA LONG TERM CARE RESIDENCE,11 Herbert Street,"Elmira, N3B2B8",Waterloo Wellington,Chartwell Master Care Lp,,For-Profit,Home with approximately 48 beds,No,Yes,No,Yes,,Elmira, N3B2B8,48,2011-10-13,18,10,5,1,1,1,10,5,3,2,1,1
89,CHARTWELL GIBSON LONG TERM CARE RESIDENCE,1925 Steeles Avenue East,"North York, M2H2H3",Central,Chartwell Master Care Lp,,For-Profit,Home with approximately 202 beds,No,Yes,No,Yes,,North York, M2H2H3,202,2010-12-13,58,11,6,20,2,1,21,4,4,9,1,
90,CHARTWELL LONDON LONG TERM CARE RESIDENCE,2000 Blackwater Road,"London, N5X4K6",South West,Chartwell Master Care Lp,,For-Profit,Home with approximately 95 beds,No,Yes,No,Yes,,London, N5X4K6,95,2010-07-20,44,20,9,10,6,2,27,10,6,1,,
