,LTC_Home,Beds
19297,Dufferin Oaks,160.0
19298,Dundurn Place Care Centre,201.0
19299,Eagle Terrace,70.0
19300,Earls Court Village,128.0
19301,Eastholme Home for the Aged,128.0
19302,Eatonville Care Centre,247.0
19303,Ehatare Nursing Home,32.0
19304,Elgin Abbey Nursing Home,27.0
19305,Elizabeth Centre,128.0
19306,Elm Grove Living Centre,126.0
19307,Elmwood Place,90.0
19308,Erin Mills Lodge Nursing Home,86.0
19309,Exeter Villa,47.0
19310,Extendicare Bayview,205.0
19311,Extendicare Brampton,150.0
19312,Extendicare Guildwood,169.0
19313,Extendicare Halton Hills,130.0
19314,Extendicare Hamilton,160.0
19315,Extendicare Lakefield,100.0
19316,Extendicare Laurier Manor,242.0
19317,Extendicare Maple View of Sault Ste. Marie,256.0
19318,Extendicare Medex,193.0
19319,Extendicare Oshawa,175.0
19320,Extendicare Rouge Valley,192.0
19321,Extendicare Scarborough,154.0
19322,Extendicare Southwood Lakes,150.0
19323,Extendicare Starwood,192.0
19324,Extendicare Tecumseh,128.0
19325,Extendicare Timmins,180.0
19326,Extendicare West End Villa,242.0
19327,Extendicare York,288.0
19328,Fairview Lodge,198.0
19329,Fairview Nursing Home,108.0
19330,Faith Manor Nursing Home,120.0
19331,Fenelon Court,67.0
19332,Fieldstone Commons Care Community,224.0
19333,Finlandia Hoivakoti Nursing Home,112.0
19334,Forest Heights,240.0
19335,Fountain View Care Community,158.0
19336,Foyer St-Viateur Nursing Home,57.0
19337,Franklin Gardens Long Term Care Home,120.0
19338,Fudger House,250.0
19339,Garden Court Nursing Home,45.0
19340,Garden Terrace,160.0
19341,Gardenview Long Term Care Home,64.0
19342,Garry J. Armstrong Home,180.0
19343,Glebe Centre,254.0
19344,Glen Hill Strathaven,210.0
19345,Golden Dawn Nursing Home,45.0
19346,Golden Manor,177.0
19347,Golden Years Nursing Home,88.0
19348,Grace Manor,120.0
19349,Grace Villa Nursing Home,184.0
19350,Greenwood Court,45.0
19351,Hallowell House,97.0
19352,Hampton Terrace Care Centre,101.0
19353,Harmony Hills Care Community,160.0
19354,Harold and Grace Baker Centre,120.0
19355,Hastings Manor Home for the Aged,253.0
19356,Hawthorne Place Care Centre,269.0
19357,Hellenic Care for Seniors (Toronto),81.0
19358,Hellenic Home - Scarborough,128.0
19359,Henley Place,192.0
19360,Heritage Green Nursing Home,167.0
19361,Heron Terrace Long Term Care Community,140.0
19362,Hillsdale Estates,300.0
19363,Hillsdale Terraces,200.0
19364,Hillside Manor,90.0
19365,Hogarth Riverview Manor,543.0
19366,Humber Valley Terrace,158.0
19367,Idlewyld Manor,192.0
19368,Ina Grafton Gage Home,128.0
19369,IOOF Seniors Home,182.0
19370,Isabel and Arthur Meighen Manor,168.0
19371,Ivan Franko Home (Etobicoke),85.0
19372,Kennedy Lodge,289.0
19373,Kensington Village,78.0
19374,Kilean Lodge,50.0
19375,Kipling Acres,337.0
19376,Kristus Darzs Latvian Home,100.0
19377,Labdara Lithuanian Nursing Home,90.0
19378,Lakeshore Lodge,150.0
19379,Lakeview Manor,149.0
19380,Lambton Meadowview Villa,125.0
19381,Lanark Heights Long Term Care Centre,160.0
19382,Lanark Lodge,163.0
19383,Leamington Mennonite Home Long Term Care Residence,84.0
19384,Linhaven,248.0
19385,Macassa  Lodge,270.0
19386,Mackenzie Health Long Term Care Facility,168.0
19387,MacKenzie Place,93.0
19388,Madonna Care Community,160.0
19389,Main Street Terrace,150.0
19390,Maitland Manor,91.0
19391,Malton Village Long Term Care Centre,160.0
19392,Manitoulin Lodge,62.0
19393,Manoir Marochel,64.0
19394,Maple Grove Care Community,160.0
19395,Maple View,29.0
19396,Maple View Lodge,60.0
19397,Maplewood,49.0
19398,Markhaven,96.0
19399,Marshall Gowland Manor,126.0
19400,Maxville Manor,122.0
19401,Maynard Nursing Home,77.0
19402,McCall Centre Long Term Care Interim Unit,21.0
19403,Meadow Park (London),126.0
19404,Mennonite Brethren Senior Citizens Home,128.0
19405,Midland Gardens Care Community,299.0
19406,Miramichi Lodge,166.0
19407,Moira Place Long-Term Care Home,128.0
19408,Mon Sheong Home for the Aged,105.0
19409,Mon Sheong Scarborough Long Term Care Centre,160.0
19410,Montfort,128.0
19411,Mount Hope Centre for Long Term Care,394.0
19412,North Park Nursing Home,75.0
19413,Northridge,133.0
19414,Northview Nursing Home,48.0
19415,Norview Lodge,179.0
19416,Norwood Nursing Home,60.0
19417,Orchard Villa,233.0
19418,Owen Hill Care Community,57.0
19419,Parkview Manor Health Care Centre,34.0
19420,Parkwood Mennonite Home,96.0
19421,Peel Manor,177.0
19422,peopleCare A.R. Goudie Kitchener,80.0
19423,peopleCare Hilltop Manor Cambridge,185.0
19424,peopleCare Oakcrossing London,160.0
19425,Peter D. Clark Centre,216.0
19426,Pinecrest (Plantagenet),60.0
19427,Pinecrest Nursing Home (Bobcaygeon),65.0
19428,Pinehaven Nursing Home,84.0
19429,Post Inn Village,228.0
19430,Providence Healthcare,288.0
19431,Providence Manor,243.0
19432,Regency Park Long Term Care Home,72.0
19433,Regina Gardens,128.0
19434,Residence Saint-Louis,198.0
19435,River Glen Haven Nursing Home,119.0
19436,Riverside Place,96.0
19437,Riverview Gardens,320.0
19438,Riverview Manor Nursing Home,124.0
19439,Rockcliffe Care Community,204.0
19440,Royal Rose Place,96.0
19441,Royal Terrace,67.0
19442,Saint Luke's Place,114.0
19443,Secord Trails Care Community,80.0
19444,Seven Oaks,249.0
19445,Shalom Manor Long Term Care Home,144.0
19446,Shelburne Long Term Care Home,60.0
19447,Shepherd Lodge,252.0
19448,Sherbourne Place,126.0
19449,Sheridan Villa,142.0
19450,Sherwood Court Long Term Care Centre,96.0
19451,Silverthorn Care Community,160.0
19452,Simcoe Manor Home for the Aged,126.0
19453,South Centennial Manor,69.0
19454,Spencer House,160.0
19455,Sprucedale Care Centre,96.0
19456,St. Andrew's Terrace Long Term Care Community,128.0
19457,St. Clair O'Connor Community Nursing Home,25.0
19458,St. Gabriel's Villa of Sudbury,128.0
19459,St. George Care Community,238.0
19460,St. Joseph's at Fleming,200.0
19461,St. Joseph's Continuing Care Centre,150.0
19462,St. Joseph's Lifecare Centre,205.0
19463,"St. Joseph's Villa, Dundas",425.0
19464,"St. Joseph's Villa, Sudbury",128.0
19465,Stayner Care Centre,49.0
19466,Stirling Heights,110.0
19467,Stoneridge Manor,60.0
19468,Strathcona Long Term Care,87.0
19469,Sumac Lodge,100.0
19470,Sun Parlor Home for Senior Citizens,206.0
19471,Sunnycrest Nursing Home,136.0
19472,Sunnyside Home,263.0
19473,Tall Pines Long Term Care Centre,160.0
19474,Telfer Place,45.0
19475,Temiskaming Lodge,83.0
19476,The Elliott Long Term Care Residence,85.0
19477,The Henley House,160.0
19478,The Jewish Home for the Aged,472.0
19479,The Kensington Gardens,350.0
19480,The Norfolk Hospital Nursing Home,80.0
19481,The O'Neill Centre,162.0
19482,The Perley and Rideau Veterans' Health Centre,450.0
19483,The Village at St. Clair,256.0
19484,The Village at University Gates,192.0
19485,The Village of Aspen Lake,192.0
19486,The Village of Erin Meadows,180.0
19487,The Village of Humber Heights,192.0
19488,The Village of Sandalwood Park,120.0
19489,The Village of Taunton Mills,120.0
19490,The Village of Wentworth Heights,120.0
19491,The Village of Winston Park,95.0
19492,The Wexford,166.0
19493,The Woodlands of Sunset,121.0
19494,Thompson House,136.0
19495,Thorntonview,154.0
19496,Tony Stacey Centre for Veterans' Care,100.0
19497,Trinity Village Care Centre,150.0
19498,True Davidson Acres,187.0
19499,Tufford Nursing Home,64.0
19500,Tullamore Care Community,159.0
19501,Twin Oaks of Maryhill,31.0
19502,Ukrainian Canadian Care Centre,152.0
19503,Union Villa,160.0
19504,Valleyview Residence,174.0
19505,Vermont Square,130.0
19506,Villa Colombo Seniors Centre (Vaughan),160.0
19507,Villa Forum,160.0
19508,Villa Marconi,128.0
19509,Vision Nursing Home,146.0
19510,Waters Edge Care Community,148.0
19511,Wellesley Central Place,150.0
19512,Wellington Terrace Long-Term Care Home,176.0
19513,Wentworth Lodge,160.0
19514,Wesburn Manor,192.0
19515,West Oak Village,133.0
19516,West Park Health Centre,101.0
19517,West Park Long Term Care Centre,200.0
19518,Westmount Gardens Long Term Care Home,160.0
19519,Weston Terrace Care Community,224.0
19520,Westside,242.0
19521,Wikwemikong Nursing Home,59.0
19522,Winbourne Park,110.0
19523,Woodbridge Vista Care Community,224.0
19524,Woodhall Park Care Community,147.0
19525,Woodland Villa,111.0
19526,Woods Park Care Centre,123.0
19527,Wyndham Manor Long Term Care Centre,128.0
19528,Yee Hong Centre - Markham,200.0
19529,Yee Hong Centre - Mississauga,200.0
19530,Yee Hong Centre - Scarborough Finch,250.0
19531,Yee Hong Centre - Scarborough McNicoll,155.0
